state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Alabama,3/15/2020,11,0,4,0,1
Alabama,3/16/2020,29,0,18,0,2
Alabama,3/17/2020,39,0,10,0,3
Alabama,3/18/2020,51,0,12,0,4
Alabama,3/19/2020,78,0,27,0,5
Alabama,3/20/2020,106,0,28,0,6
Alabama,3/21/2020,131,0,25,0,7
Alabama,3/22/2020,157,0,26,0,8
Alabama,3/23/2020,196,0,39,0,9
Alabama,3/24/2020,242,0,46,0,10
Alabama,3/25/2020,381,1,139,1,11
Alabama,3/26/2020,517,1,136,0,12
Alabama,3/27/2020,587,4,70,3,13
Alabama,3/28/2020,694,4,107,0,14
Alabama,3/29/2020,825,10,131,6,15
Alabama,3/30/2020,899,10,74,0,16
Alabama,3/31/2020,987,23,88,13,17
Alabama,4/1/2020,1060,27,73,4,18
Alabama,4/2/2020,1233,32,173,5,19
Alabama,4/3/2020,1495,38,262,6,20
Alabama,4/4/2020,1614,44,119,6,21
Alabama,4/5/2020,1765,45,151,1,22
Alabama,4/6/2020,1952,49,187,4,23
Alabama,4/7/2020,2169,64,217,15,24
Alabama,4/8/2020,2328,66,159,2,25
Alabama,4/9/2020,2703,70,375,4,26
Alabama,4/10/2020,2947,80,244,10,27
Alabama,4/11/2020,3217,92,270,12,28
Alabama,4/12/2020,3563,93,346,1,29
Alabama,4/13/2020,3734,99,171,6,30
Alabama,4/14/2020,3953,114,219,15,31
Alabama,4/15/2020,4075,118,122,4,32
Alabama,4/16/2020,4345,133,270,15,33
Alabama,4/17/2020,4571,148,226,15,34
