state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Arizona,3/17/20,20,0,2,0,1
Arizona,3/18/20,27,0,7,0,2
Arizona,3/19/20,45,0,18,0,3
Arizona,3/20/20,68,0,23,0,4
Arizona,3/21/20,104,1,36,1,5
Arizona,3/22/20,152,2,48,1,6
Arizona,3/23/20,235,2,83,0,7
Arizona,3/24/20,326,5,91,3,8
Arizona,3/25/20,401,6,75,1,9
Arizona,3/26/20,508,8,107,2,10
Arizona,3/27/20,665,13,157,5,11
Arizona,3/28/20,773,15,108,2,12
Arizona,3/29/20,919,17,146,2,13
Arizona,3/30/20,1157,20,238,3,14
Arizona,3/31/20,1289,24,132,4,15
Arizona,4/1/20,1530,29,241,5,16
Arizona,4/2/20,1715,32,185,3,17
Arizona,4/3/20,1937,41,222,9,18
Arizona,4/4/20,2187,52,250,11,19
Arizona,4/5/20,2486,64,299,12,20
Arizona,4/6/20,2732,65,246,1,21
Arizona,4/7/20,2870,73,138,8,22
Arizona,4/8/20,3036,80,166,7,23
Arizona,4/9/20,3018,89,-18,9,24
Arizona,4/10/20,3112,97,94,8,25
Arizona,4/11/20,3393,108,281,11,26
Arizona,4/12/20,3542,115,149,7,27
Arizona,4/13/20,3705,122,163,7,28
Arizona,4/14/20,3809,131,104,9,29
Arizona,4/15/20,3964,142,155,11,30
Arizona,4/16/20,4237,150,273,8,31
Arizona,4/17/20,4511,169,274,19,32
