state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
California,3/2/20,21,0,9,0,1
California,3/3/20,25,0,4,0,2
California,3/4/20,35,1,10,1,3
California,3/5/20,51,1,16,0,4
California,3/6/20,59,1,8,0,5
California,3/7/20,81,1,22,0,6
California,3/8/20,95,1,14,0,7
California,3/9/20,101,1,6,0,8
California,3/10/20,144,2,43,1,9
California,3/11/20,178,4,34,2,10
California,3/12/20,221,4,43,0,11
California,3/13/20,281,4,60,0,12
California,3/14/20,372,3,91,-1,13
California,3/15/20,373,5,1,2,14
California,3/16/20,557,7,184,2,15
California,3/17/20,700,12,143,5,16
California,3/18/20,828,16,128,4,17
California,3/19/20,1005,18,177,2,18
California,3/20/20,1243,24,238,6,19
California,3/21/20,1405,25,162,1,20
California,3/22/20,1646,30,241,5,21
California,3/23/20,2108,39,462,9,22
California,3/24/20,2538,50,430,11,23
California,3/25/20,2998,65,460,15,24
California,3/26/20,3899,81,901,16,25
California,3/27/20,4657,94,758,13,26
California,3/28/20,5095,110,438,16,27
California,3/29/20,5852,124,757,14,28
California,3/30/20,7138,146,1286,22,29
California,3/31/20,8210,173,1072,27,30
California,4/1/20,9399,199,1189,26,31
California,4/2/20,10773,238,1374,39,32
California,4/3/20,12004,265,1231,27,33
California,4/4/20,12837,289,833,24,34
California,4/5/20,15034,348,2197,59,35
California,4/6/20,16019,380,985,32,36
California,4/7/20,17351,432,1332,52,37
California,4/8/20,18897,495,1546,63,38
California,4/9/20,19710,544,813,49,39
California,4/10/20,21081,583,1371,39,40
California,4/11/20,21706,604,625,21,41
California,4/12/20,22795,640,1089,36,42
California,4/13/20,23931,714,1136,74,43
California,4/14/20,25356,767,1425,53,44
California,4/15/20,26686,860,1330,93,45
California,4/16/20,27677,956,991,96,46
California,4/17/20,29157,1037,1480,81,47
