state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Guam,3/22/20,27,1,12,1,1
Guam,3/23/20,29,1,2,0,2
Guam,3/24/20,32,1,3,0,3
Guam,3/25/20,37,1,5,0,4
Guam,3/26/20,45,1,8,0,5
Guam,3/27/20,51,1,6,0,6
Guam,3/28/20,55,1,4,0,7
Guam,3/29/20,56,1,1,0,8
Guam,3/30/20,58,1,2,0,9
Guam,3/31/20,69,2,11,1,10
Guam,4/1/20,77,3,8,1,11
Guam,4/2/20,82,3,5,0,12
Guam,4/3/20,84,4,2,1,13
Guam,4/4/20,93,4,9,0,14
Guam,4/5/20,112,4,19,0,15
Guam,4/6/20,113,4,1,0,16
Guam,4/7/20,121,4,8,0,17
Guam,4/8/20,121,4,0,0,18
Guam,4/9/20,128,4,7,0,19
Guam,4/10/20,130,4,2,0,20
Guam,4/11/20,133,5,3,1,21
Guam,4/12/20,133,5,0,0,22
Guam,4/13/20,133,5,0,0,23
Guam,4/14/20,133,5,0,0,24
Guam,4/15/20,135,5,2,0,25
Guam,4/16/20,135,5,0,0,26
Guam,4/17/20,136,5,1,0,27
