state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Hawaii,3/19/20,25,0,10,0,1
Hawaii,3/20/20,36,0,11,0,2
Hawaii,3/21/20,36,0,0,0,3
Hawaii,3/22/20,53,0,17,0,4
Hawaii,3/23/20,56,0,3,0,5
Hawaii,3/24/20,90,1,34,1,6
Hawaii,3/25/20,91,0,1,-1,7
Hawaii,3/26/20,95,0,4,0,8
Hawaii,3/27/20,106,0,11,0,9
Hawaii,3/28/20,149,0,43,0,10
Hawaii,3/29/20,149,0,0,0,11
Hawaii,3/30/20,175,0,26,0,12
Hawaii,3/31/20,204,0,29,0,13
Hawaii,4/1/20,224,1,20,1,14
Hawaii,4/2/20,256,1,32,0,15
Hawaii,4/3/20,319,3,63,2,16
Hawaii,4/4/20,351,3,32,0,17
Hawaii,4/5/20,371,4,20,1,18
Hawaii,4/6/20,387,5,16,1,19
Hawaii,4/7/20,410,5,23,0,20
Hawaii,4/8/20,410,5,0,0,21
Hawaii,4/9/20,442,6,32,1,22
Hawaii,4/10/20,442,6,0,0,23
Hawaii,4/11/20,465,8,23,2,24
Hawaii,4/12/20,499,9,34,1,25
Hawaii,4/13/20,504,9,5,0,26
Hawaii,4/14/20,511,9,7,0,27
Hawaii,4/15/20,524,9,13,0,28
Hawaii,4/16/20,530,9,6,0,29
Hawaii,4/17/20,541,9,11,0,30
