state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Kentucky,3/12/2020,10,0,2,0,1
Kentucky,3/13/2020,14,0,4,0,2
Kentucky,3/14/2020,16,0,2,0,3
Kentucky,3/15/2020,18,0,2,0,4
Kentucky,3/16/2020,21,1,3,1,5
Kentucky,3/17/2020,26,1,5,0,6
Kentucky,3/18/2020,28,1,2,0,7
Kentucky,3/19/2020,50,2,22,1,8
Kentucky,3/20/2020,64,2,14,0,9
Kentucky,3/21/2020,87,3,23,1,10
Kentucky,3/22/2020,103,3,16,0,11
Kentucky,3/23/2020,123,4,20,1,12
Kentucky,3/24/2020,162,4,39,0,13
Kentucky,3/25/2020,197,5,35,1,14
Kentucky,3/26/2020,247,5,50,0,15
Kentucky,3/27/2020,301,7,54,2,16
Kentucky,3/28/2020,380,9,79,2,17
Kentucky,3/29/2020,438,9,58,0,18
Kentucky,3/30/2020,479,11,41,2,19
Kentucky,3/31/2020,628,11,149,0,20
Kentucky,4/1/2020,632,18,4,7,21
Kentucky,4/2/2020,770,31,138,13,22
Kentucky,4/3/2020,770,34,0,3,23
Kentucky,4/4/2020,917,40,147,6,24
Kentucky,4/5/2020,955,45,38,5,25
Kentucky,4/6/2020,955,45,0,0,26
Kentucky,4/7/2020,1149,65,194,20,27
Kentucky,4/8/2020,1149,65,0,0,28
Kentucky,4/9/2020,1341,73,192,8,29
Kentucky,4/10/2020,1693,90,352,17,30
Kentucky,4/11/2020,1693,90,0,0,31
Kentucky,4/12/2020,1963,97,270,7,32
Kentucky,4/13/2020,2018,113,55,16,33
Kentucky,4/14/2020,2048,106,30,-7,34
Kentucky,4/15/2020,2210,115,162,9,35
Kentucky,4/16/2020,2435,129,225,14,36
Kentucky,4/17/2020,2522,137,87,8,37
