state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Michigan,3/13/2020,16,0,14,0,1
Michigan,3/14/2020,25,0,9,0,2
Michigan,3/15/2020,32,0,7,0,3
Michigan,3/16/2020,54,0,22,0,4
Michigan,3/17/2020,63,0,9,0,5
Michigan,3/18/2020,119,1,56,1,6
Michigan,3/19/2020,259,1,140,0,7
Michigan,3/20/2020,402,1,143,0,8
Michigan,3/21/2020,540,3,138,2,9
Michigan,3/22/2020,1035,9,495,6,10
Michigan,3/23/2020,1329,15,294,6,11
Michigan,3/24/2020,1793,24,464,9,12
Michigan,3/25/2020,2296,43,503,19,13
Michigan,3/26/2020,2845,61,549,18,14
Michigan,3/27/2020,3634,92,789,31,15
Michigan,3/28/2020,4650,111,1016,19,16
Michigan,3/29/2020,5488,132,838,21,17
Michigan,3/30/2020,6498,184,1010,52,18
Michigan,3/31/2020,7615,259,1117,75,19
Michigan,4/1/2020,9315,335,1700,76,20
Michigan,4/2/2020,10791,417,1476,82,21
Michigan,4/3/2020,12744,479,1953,62,22
Michigan,4/4/2020,14225,540,1481,61,23
Michigan,4/5/2020,15718,617,1493,77,24
Michigan,4/6/2020,17221,727,1503,110,25
Michigan,4/7/2020,18970,845,1749,118,26
Michigan,4/8/2020,20346,959,1376,114,27
Michigan,4/9/2020,21504,1076,1158,117,28
Michigan,4/10/2020,22434,1276,930,200,29
Michigan,4/11/2020,23605,1384,1171,108,30
Michigan,4/12/2020,24244,1479,639,95,31
Michigan,4/13/2020,25635,1602,1391,123,32
Michigan,4/14/2020,27001,1768,1366,166,33
Michigan,4/15/2020,28059,1921,1058,153,34
Michigan,4/16/2020,28809,1996,750,75,35
Michigan,4/17/2020,30023,2227,1214,231,36
