state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Mississippi,3/16/2020,12,0,6,0,1
Mississippi,3/17/2020,21,0,9,0,2
Mississippi,3/18/2020,34,0,13,0,3
Mississippi,3/19/2020,50,1,16,1,4
Mississippi,3/20/2020,80,1,30,0,5
Mississippi,3/21/2020,140,1,60,0,6
Mississippi,3/22/2020,207,1,67,0,7
Mississippi,3/23/2020,249,1,42,0,8
Mississippi,3/24/2020,320,1,71,0,9
Mississippi,3/25/2020,377,3,57,2,10
Mississippi,3/26/2020,485,6,108,3,11
Mississippi,3/27/2020,579,8,94,2,12
Mississippi,3/28/2020,663,13,84,5,13
Mississippi,3/29/2020,759,14,96,1,14
Mississippi,3/30/2020,847,16,88,2,15
Mississippi,3/31/2020,937,20,90,4,16
Mississippi,4/1/2020,1073,22,136,2,17
Mississippi,4/2/2020,1177,26,104,4,18
Mississippi,4/3/2020,1358,29,181,3,19
Mississippi,4/4/2020,1455,35,97,6,20
Mississippi,4/5/2020,1638,43,183,8,21
Mississippi,4/6/2020,1738,51,100,8,22
Mississippi,4/7/2020,1915,60,177,9,23
Mississippi,4/8/2020,2003,67,88,7,24
Mississippi,4/9/2020,2260,76,257,9,25
Mississippi,4/10/2020,2469,82,209,6,26
Mississippi,4/11/2020,2642,93,173,11,27
Mississippi,4/12/2020,2781,96,139,3,28
Mississippi,4/13/2020,2942,98,161,2,29
Mississippi,4/14/2020,3087,111,145,13,30
Mississippi,4/15/2020,3360,122,273,11,31
Mississippi,4/16/2020,3624,129,264,7,32
Mississippi,4/17/2020,3793,140,169,11,33
