state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Nebraska,3/12/2020,10,0,5,0,1
Nebraska,3/13/2020,14,0,4,0,2
Nebraska,3/14/2020,18,0,4,0,3
Nebraska,3/15/2020,17,0,-1,0,4
Nebraska,3/16/2020,18,0,1,0,5
Nebraska,3/17/2020,23,0,5,0,6
Nebraska,3/18/2020,24,0,1,0,7
Nebraska,3/19/2020,29,0,5,0,8
Nebraska,3/20/2020,37,0,8,0,9
Nebraska,3/21/2020,38,0,1,0,10
Nebraska,3/22/2020,51,0,13,0,11
Nebraska,3/23/2020,51,0,0,0,12
Nebraska,3/24/2020,66,0,15,0,13
Nebraska,3/25/2020,71,0,5,0,14
Nebraska,3/26/2020,74,0,3,0,15
Nebraska,3/27/2020,82,0,8,0,16
Nebraska,3/28/2020,96,2,14,2,17
Nebraska,3/29/2020,108,2,12,0,18
Nebraska,3/30/2020,145,2,37,0,19
Nebraska,3/31/2020,172,3,27,1,20
Nebraska,4/1/2020,210,4,38,1,21
Nebraska,4/2/2020,246,5,36,1,22
Nebraska,4/3/2020,279,6,33,1,23
Nebraska,4/4/2020,321,6,42,0,24
Nebraska,4/5/2020,364,8,43,2,25
Nebraska,4/6/2020,417,9,53,1,26
Nebraska,4/7/2020,447,10,30,1,27
Nebraska,4/8/2020,519,12,72,2,28
Nebraska,4/9/2020,568,14,49,2,29
Nebraska,4/10/2020,635,15,67,1,30
Nebraska,4/11/2020,699,17,64,2,31
Nebraska,4/12/2020,791,17,92,0,32
Nebraska,4/13/2020,814,17,23,0,33
Nebraska,4/14/2020,897,20,83,3,34
Nebraska,4/15/2020,901,20,4,0,35
Nebraska,4/16/2020,952,21,51,1,36
Nebraska,4/17/2020,1066,24,114,3,37
