state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Northern Mariana Islands,4/8/2020,11,2,3,0,1
Northern Mariana Islands,4/9/2020,11,2,0,0,2
Northern Mariana Islands,4/10/2020,11,2,0,0,3
Northern Mariana Islands,4/11/2020,11,2,0,0,4
Northern Mariana Islands,4/12/2020,11,2,0,0,5
Northern Mariana Islands,4/13/2020,11,2,0,0,6
Northern Mariana Islands,4/14/2020,11,2,0,0,7
Northern Mariana Islands,4/15/2020,13,2,2,0,8
Northern Mariana Islands,4/16/2020,13,2,0,0,9
Northern Mariana Islands,4/17/2020,13,2,0,0,10
