state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Oklahoma,3/19/20,44,1,27,1,1
Oklahoma,3/20/20,49,1,5,0,2
Oklahoma,3/21/20,53,1,4,0,3
Oklahoma,3/22/20,67,2,14,1,4
Oklahoma,3/23/20,81,2,14,0,5
Oklahoma,3/24/20,106,3,25,1,6
Oklahoma,3/25/20,164,5,58,2,7
Oklahoma,3/26/20,248,7,84,2,8
Oklahoma,3/27/20,322,8,74,1,9
Oklahoma,3/28/20,377,15,55,7,10
Oklahoma,3/29/20,429,16,52,1,11
Oklahoma,3/30/20,481,16,52,0,12
Oklahoma,3/31/20,568,23,87,7,13
Oklahoma,4/1/20,721,30,153,7,14
Oklahoma,4/2/20,881,34,160,4,15
Oklahoma,4/3/20,990,38,109,4,16
Oklahoma,4/4/20,1161,42,171,4,17
Oklahoma,4/5/20,1254,46,93,4,18
Oklahoma,4/6/20,1329,51,75,5,19
Oklahoma,4/7/20,1474,67,145,16,20
Oklahoma,4/8/20,1526,79,52,12,21
Oklahoma,4/9/20,1686,80,160,1,22
Oklahoma,4/10/20,1794,88,108,8,23
Oklahoma,4/11/20,1868,94,74,6,24
Oklahoma,4/12/20,1970,96,102,2,25
Oklahoma,4/13/20,2069,99,99,3,26
Oklahoma,4/14/20,2184,108,115,9,27
Oklahoma,4/15/20,2263,123,79,15,28
Oklahoma,4/16/20,2357,131,94,8,29
Oklahoma,4/17/20,2465,136,108,5,30
