state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Puerto Rico,3/20/2020,14,0,9,0,1
Puerto Rico,3/21/2020,21,1,7,1,2
Puerto Rico,3/22/2020,23,1,2,0,3
Puerto Rico,3/23/2020,31,2,8,1,4
Puerto Rico,3/24/2020,39,2,8,0,5
Puerto Rico,3/25/2020,51,2,12,0,6
Puerto Rico,3/26/2020,64,2,13,0,7
Puerto Rico,3/27/2020,79,3,15,1,8
Puerto Rico,3/28/2020,100,3,21,0,9
Puerto Rico,3/29/2020,127,3,27,0,10
Puerto Rico,3/30/2020,174,6,47,3,11
Puerto Rico,3/31/2020,239,8,65,2,12
Puerto Rico,4/1/2020,286,11,47,3,13
Puerto Rico,4/2/2020,316,12,30,1,14
Puerto Rico,4/3/2020,316,15,0,3,15
Puerto Rico,4/4/2020,452,18,136,3,16
Puerto Rico,4/5/2020,475,20,23,2,17
Puerto Rico,4/6/2020,513,21,38,1,18
Puerto Rico,4/7/2020,573,23,60,2,19
Puerto Rico,4/8/2020,620,24,47,1,20
Puerto Rico,4/9/2020,683,33,63,9,21
Puerto Rico,4/10/2020,725,39,42,6,22
Puerto Rico,4/11/2020,788,42,63,3,23
Puerto Rico,4/12/2020,897,44,109,2,24
Puerto Rico,4/13/2020,903,45,6,1,25
Puerto Rico,4/14/2020,923,45,20,0,26
Puerto Rico,4/15/2020,974,51,51,6,27
Puerto Rico,4/16/2020,1043,56,69,5,28
Puerto Rico,4/17/2020,1068,58,25,2,29
