state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Vermont,3/16/2020,12,0,7,0,1
Vermont,3/17/2020,12,0,0,0,2
Vermont,3/18/2020,13,0,1,0,3
Vermont,3/19/2020,22,2,9,2,4
Vermont,3/20/2020,29,2,7,0,5
Vermont,3/21/2020,49,2,20,0,6
Vermont,3/22/2020,52,2,3,0,7
Vermont,3/23/2020,75,5,23,3,8
Vermont,3/24/2020,95,7,20,2,9
Vermont,3/25/2020,125,8,30,1,10
Vermont,3/26/2020,158,9,33,1,11
Vermont,3/27/2020,184,10,26,1,12
Vermont,3/28/2020,211,12,27,2,13
Vermont,3/29/2020,235,12,24,0,14
Vermont,3/30/2020,256,12,21,0,15
Vermont,3/31/2020,293,13,37,1,16
Vermont,4/1/2020,321,16,28,3,17
Vermont,4/2/2020,338,17,17,1,18
Vermont,4/3/2020,389,17,51,0,19
Vermont,4/4/2020,461,20,72,3,20
Vermont,4/5/2020,512,22,51,2,21
Vermont,4/6/2020,543,23,31,1,22
Vermont,4/7/2020,575,23,32,0,23
Vermont,4/8/2020,605,23,30,0,24
Vermont,4/9/2020,628,23,23,0,25
Vermont,4/10/2020,679,24,51,1,26
Vermont,4/11/2020,711,25,32,1,27
Vermont,4/12/2020,727,27,16,2,28
Vermont,4/13/2020,748,28,21,1,29
Vermont,4/14/2020,752,29,4,1,30
Vermont,4/15/2020,759,29,7,0,31
Vermont,4/16/2020,774,33,15,4,32
Vermont,4/17/2020,779,35,5,2,33
