state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Virgin Islands,3/24/2020,17,0,10,0,1
Virgin Islands,3/25/2020,17,0,0,0,2
Virgin Islands,3/26/2020,17,0,0,0,3
Virgin Islands,3/27/2020,19,0,2,0,4
Virgin Islands,3/28/2020,22,0,3,0,5
Virgin Islands,3/29/2020,23,0,1,0,6
Virgin Islands,3/30/2020,30,0,7,0,7
Virgin Islands,3/31/2020,30,0,0,0,8
Virgin Islands,4/1/2020,30,0,0,0,9
Virgin Islands,4/2/2020,30,0,0,0,10
Virgin Islands,4/3/2020,37,0,7,0,11
Virgin Islands,4/4/2020,40,0,3,0,12
Virgin Islands,4/5/2020,42,1,2,1,13
Virgin Islands,4/6/2020,43,1,1,0,14
Virgin Islands,4/7/2020,43,1,0,0,15
Virgin Islands,4/8/2020,45,1,2,0,16
Virgin Islands,4/9/2020,45,1,0,0,17
Virgin Islands,4/10/2020,50,1,5,0,18
Virgin Islands,4/11/2020,51,1,1,0,19
Virgin Islands,4/12/2020,51,1,0,0,20
Virgin Islands,4/13/2020,51,1,0,0,21
Virgin Islands,4/14/2020,51,1,0,0,22
Virgin Islands,4/15/2020,51,1,0,0,23
Virgin Islands,4/16/2020,51,1,0,0,24
Virgin Islands,4/17/2020,51,2,0,1,25
