state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Wyoming,3/17/2020,11,0,9,0,1
Wyoming,3/18/2020,16,0,5,0,2
Wyoming,3/19/2020,18,0,2,0,3
Wyoming,3/20/2020,21,0,3,0,4
Wyoming,3/21/2020,23,0,2,0,5
Wyoming,3/22/2020,26,0,3,0,6
Wyoming,3/23/2020,26,0,0,0,7
Wyoming,3/24/2020,29,0,3,0,8
Wyoming,3/25/2020,44,0,15,0,9
Wyoming,3/26/2020,53,0,9,0,10
Wyoming,3/27/2020,70,0,17,0,11
Wyoming,3/28/2020,82,0,12,0,12
Wyoming,3/29/2020,86,0,4,0,13
Wyoming,3/30/2020,94,0,8,0,14
Wyoming,3/31/2020,109,0,15,0,15
Wyoming,4/1/2020,130,0,21,0,16
Wyoming,4/2/2020,150,0,20,0,17
Wyoming,4/3/2020,162,0,12,0,18
Wyoming,4/4/2020,187,0,25,0,19
Wyoming,4/5/2020,197,0,10,0,20
Wyoming,4/6/2020,210,0,13,0,21
Wyoming,4/7/2020,216,0,6,0,22
Wyoming,4/8/2020,221,0,5,0,23
Wyoming,4/9/2020,230,0,9,0,24
Wyoming,4/10/2020,239,0,9,0,25
Wyoming,4/11/2020,261,0,22,0,26
Wyoming,4/12/2020,270,0,9,0,27
Wyoming,4/13/2020,275,1,5,1,28
Wyoming,4/14/2020,282,1,7,0,29
Wyoming,4/15/2020,287,1,5,0,30
Wyoming,4/16/2020,296,2,9,1,31
Wyoming,4/17/2020,305,2,9,0,32
