state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Delaware,3/17/20,16,0,8,0,1
Delaware,3/18/20,19,0,3,0,2
Delaware,3/19/20,30,0,11,0,3
Delaware,3/20/20,39,0,9,0,4
Delaware,3/21/20,45,0,6,0,5
Delaware,3/22/20,56,0,11,0,6
Delaware,3/23/20,68,0,12,0,7
Delaware,3/24/20,104,0,36,0,8
Delaware,3/25/20,119,0,15,0,9
Delaware,3/26/20,130,1,11,1,10
Delaware,3/27/20,163,2,33,1,11
Delaware,3/28/20,214,5,51,3,12
Delaware,3/29/20,232,6,18,1,13
Delaware,3/30/20,264,6,32,0,14
Delaware,3/31/20,319,10,55,4,15
Delaware,4/1/20,368,11,49,1,16
Delaware,4/2/20,393,12,25,1,17
Delaware,4/3/20,450,14,57,2,18
Delaware,4/4/20,593,14,143,0,19
Delaware,4/5/20,673,14,80,0,20
Delaware,4/6/20,783,15,110,1,21
Delaware,4/7/20,928,16,145,1,22
Delaware,4/8/20,1116,19,188,3,23
Delaware,4/9/20,1209,23,93,4,24
Delaware,4/10/20,1326,32,117,9,25
Delaware,4/11/20,1479,33,153,1,26
Delaware,4/12/20,1625,35,146,2,27
Delaware,4/13/20,1758,41,133,6,28
Delaware,4/14/20,1926,43,168,2,29
Delaware,4/15/20,2014,46,88,3,30
Delaware,4/16/20,2070,55,56,9,31
Delaware,4/17/20,2317,61,247,6,32
Delaware,4/18/20,2538,67,221,6,33
Delaware,4/19/20,2538,67,0,0,34
Delaware,4/20/20,2745,72,207,5,35
Delaware,4/21/20,2931,82,186,10,36
Delaware,4/22/20,3200,89,269,7,37
Delaware,4/23/20,3308,92,108,3,38
Delaware,4/24/20,3442,100,134,8,39
Delaware,4/25/20,3576,112,134,12,40
Delaware,4/26/20,4034,120,458,8,41
Delaware,4/27/20,4162,125,128,5,42
Delaware,4/28/20,4575,137,413,12,43
Delaware,4/29/20,4655,144,80,7,44
Delaware,4/30/20,4734,152,79,8,45
Delaware,5/1/20,4918,159,184,7,46
Delaware,5/2/20,5038,168,120,9,47
Delaware,5/3/20,5208,177,170,9,48
Delaware,5/4/20,5288,182,80,5,49
Delaware,5/5/20,5371,187,83,5,50
Delaware,5/6/20,5778,193,407,6,51
Delaware,5/7/20,5939,202,161,9,52
Delaware,5/8/20,6111,213,172,11,53
