state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
West Virginia,3/21/20,12,0,4,0,1
West Virginia,3/22/20,16,0,4,0,2
West Virginia,3/23/20,16,0,0,0,3
West Virginia,3/24/20,22,0,6,0,4
West Virginia,3/25/20,39,0,17,0,5
West Virginia,3/26/20,52,0,13,0,6
West Virginia,3/27/20,76,0,24,0,7
West Virginia,3/28/20,96,0,20,0,8
West Virginia,3/29/20,113,0,17,0,9
West Virginia,3/30/20,145,1,32,1,10
West Virginia,3/31/20,162,1,17,0,11
West Virginia,4/1/20,191,1,29,0,12
West Virginia,4/2/20,216,2,25,1,13
West Virginia,4/3/20,237,2,21,0,14
West Virginia,4/4/20,282,2,45,0,15
West Virginia,4/5/20,324,3,42,1,16
West Virginia,4/6/20,345,4,21,1,17
West Virginia,4/7/20,412,4,67,0,18
West Virginia,4/8/20,483,4,71,0,19
West Virginia,4/9/20,514,5,31,1,20
West Virginia,4/10/20,574,5,60,0,21
West Virginia,4/11/20,577,5,3,0,22
West Virginia,4/12/20,593,6,16,1,23
West Virginia,4/13/20,611,8,18,2,24
West Virginia,4/14/20,640,9,29,1,25
West Virginia,4/15/20,702,10,62,1,26
West Virginia,4/16/20,728,12,26,2,27
West Virginia,4/17/20,775,16,47,4,28
West Virginia,4/18/20,785,16,10,0,29
West Virginia,4/19/20,890,18,105,2,30
West Virginia,4/20/20,902,24,12,6,31
West Virginia,4/21/20,908,26,6,2,32
West Virginia,4/22/20,939,27,31,1,33
West Virginia,4/23/20,981,31,42,4,34
West Virginia,4/24/20,1010,32,29,1,35
West Virginia,4/25/20,1010,32,0,0,36
West Virginia,4/26/20,1055,34,45,2,37
West Virginia,4/27/20,1063,34,8,0,38
West Virginia,4/28/20,1095,38,32,4,39
West Virginia,4/29/20,1110,38,15,0,40
West Virginia,4/30/20,1125,41,15,3,41
West Virginia,5/1/20,1152,46,27,5,42
West Virginia,5/2/20,1185,48,33,2,43
West Virginia,5/3/20,1195,48,10,0,44
West Virginia,5/4/20,1224,48,29,0,45
West Virginia,5/5/20,1246,48,22,0,46
West Virginia,5/6/20,1242,50,-4,2,47
West Virginia,5/7/20,1287,51,45,1,48
West Virginia,5/8/20,1323,52,36,1,49
West Virginia,5/9/20,1323,52,0,0,50
West Virginia,5/10/20,1360,54,37,2,51
West Virginia,5/11/20,1366,54,6,0,52
West Virginia,5/12/20,1378,58,12,4,53
West Virginia,5/13/20,1398,58,20,0,54
West Virginia,5/14/20,1427,60,29,2,55
West Virginia,5/15/20,1447,64,20,4,56
West Virginia,5/16/20,1470,64,23,0,57
