state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Oregon,3/8/20,14,0,8,0,1
Oregon,3/9/20,14,0,0,0,2
Oregon,3/10/20,14,0,0,0,3
Oregon,3/11/20,19,0,5,0,4
Oregon,3/12/20,24,0,5,0,5
Oregon,3/13/20,30,0,6,0,6
Oregon,3/14/20,36,0,6,0,7
Oregon,3/15/20,36,1,0,1,8
Oregon,3/16/20,39,1,3,0,9
Oregon,3/17/20,66,1,27,0,10
Oregon,3/18/20,75,3,9,2,11
Oregon,3/19/20,88,3,13,0,12
Oregon,3/20/20,114,3,26,0,13
Oregon,3/21/20,137,4,23,1,14
Oregon,3/22/20,161,5,24,1,15
Oregon,3/23/20,191,5,30,0,16
Oregon,3/24/20,210,8,19,3,17
Oregon,3/25/20,266,10,56,2,18
Oregon,3/26/20,316,11,50,1,19
Oregon,3/27/20,416,12,100,1,20
Oregon,3/28/20,479,13,63,1,21
Oregon,3/29/20,548,13,69,0,22
Oregon,3/30/20,606,16,58,3,23
Oregon,3/31/20,690,18,84,2,24
Oregon,4/1/20,736,19,46,1,25
Oregon,4/2/20,826,21,90,2,26
Oregon,4/3/20,899,22,73,1,27
Oregon,4/4/20,899,22,0,0,28
Oregon,4/5/20,1068,27,169,5,29
Oregon,4/6/20,1068,27,0,0,30
Oregon,4/7/20,1132,29,64,2,31
Oregon,4/8/20,1181,33,49,4,32
Oregon,4/9/20,1321,44,140,11,33
Oregon,4/10/20,1322,44,1,0,34
Oregon,4/11/20,1371,48,49,4,35
Oregon,4/12/20,1527,52,156,4,36
Oregon,4/13/20,1584,53,57,1,37
Oregon,4/14/20,1633,55,49,2,38
Oregon,4/15/20,1663,58,30,3,39
Oregon,4/16/20,1736,64,73,6,40
Oregon,4/17/20,1785,70,49,6,41
Oregon,4/18/20,1844,72,59,2,42
Oregon,4/19/20,1910,74,66,2,43
Oregon,4/20/20,1957,75,47,1,44
Oregon,4/21/20,2004,78,47,3,45
Oregon,4/22/20,2059,78,55,0,46
Oregon,4/23/20,2127,83,68,5,47
Oregon,4/24/20,2177,86,50,3,48
Oregon,4/25/20,2253,87,76,1,49
Oregon,4/26/20,2311,92,58,5,50
Oregon,4/27/20,2354,92,43,0,51
Oregon,4/28/20,2385,99,31,7,52
Oregon,4/29/20,2446,101,61,2,53
Oregon,4/30/20,2510,103,64,2,54
Oregon,5/1/20,2579,104,69,1,55
Oregon,5/2/20,2635,109,56,5,56
Oregon,5/3/20,2680,109,45,0,57
Oregon,5/4/20,2759,109,79,0,58
Oregon,5/5/20,2839,113,80,4,59
Oregon,5/6/20,2916,115,77,2,60
Oregon,5/7/20,2989,121,73,6,61
Oregon,5/8/20,3068,124,79,3,62
Oregon,5/9/20,3160,127,92,3,63
Oregon,5/10/20,3228,127,68,0,64
Oregon,5/11/20,3286,130,58,3,65
Oregon,5/12/20,3358,130,72,0,66
Oregon,5/13/20,3416,134,58,4,67
Oregon,5/14/20,3479,137,63,3,68
Oregon,5/15/20,3541,137,62,0,69
Oregon,5/16/20,3612,137,71,0,70
Oregon,5/17/20,3623,137,11,0,71
Oregon,5/18/20,3687,138,64,1,72
