state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Connecticut,3/13/20,11,0,6,0,1
Connecticut,3/14/20,23,0,12,0,2
Connecticut,3/15/20,24,0,1,0,3
Connecticut,3/16/20,41,0,17,0,4
Connecticut,3/17/20,68,0,27,0,5
Connecticut,3/18/20,96,1,28,1,6
Connecticut,3/19/20,159,3,63,2,7
Connecticut,3/20/20,194,4,35,1,8
Connecticut,3/21/20,194,4,0,0,9
Connecticut,3/22/20,327,8,133,4,10
Connecticut,3/23/20,415,10,88,2,11
Connecticut,3/24/20,618,12,203,2,12
Connecticut,3/25/20,875,19,257,7,13
Connecticut,3/26/20,1012,21,137,2,14
Connecticut,3/27/20,1291,27,279,6,15
Connecticut,3/28/20,1524,33,233,6,16
Connecticut,3/29/20,1993,34,469,1,17
Connecticut,3/30/20,2571,36,578,2,18
Connecticut,3/31/20,3128,69,557,33,19
Connecticut,4/1/20,3557,85,429,16,20
Connecticut,4/2/20,3824,112,267,27,21
Connecticut,4/3/20,4914,131,1090,19,22
Connecticut,4/4/20,5276,165,362,34,23
Connecticut,4/5/20,5675,189,399,24,24
Connecticut,4/6/20,6906,206,1231,17,25
Connecticut,4/7/20,7781,277,875,71,26
Connecticut,4/8/20,7781,326,0,49,27
Connecticut,4/9/20,9784,380,2003,54,28
Connecticut,4/10/20,10538,448,754,68,29
Connecticut,4/11/20,11510,494,972,46,30
Connecticut,4/12/20,12035,554,525,60,31
Connecticut,4/13/20,13381,602,1346,48,32
Connecticut,4/14/20,13989,671,608,69,33
Connecticut,4/15/20,14755,868,766,197,34
Connecticut,4/16/20,15884,971,1129,103,35
Connecticut,4/17/20,16809,1036,925,65,36
Connecticut,4/18/20,17550,1086,741,50,37
Connecticut,4/19/20,17962,1127,412,41,38
Connecticut,4/20/20,19815,1331,1853,204,39
Connecticut,4/21/20,20360,1423,545,92,40
Connecticut,4/22/20,22469,1544,2109,121,41
Connecticut,4/23/20,23100,1639,631,95,42
Connecticut,4/24/20,23936,1767,836,128,43
Connecticut,4/25/20,24583,1865,647,98,44
Connecticut,4/26/20,25269,1924,686,59,45
Connecticut,4/27/20,25997,2012,728,88,46
Connecticut,4/28/20,26312,2087,315,75,47
Connecticut,4/29/20,26767,2169,455,82,48
Connecticut,4/30/20,27700,2257,933,88,49
Connecticut,5/1/20,28764,2339,1064,82,50
Connecticut,5/2/20,29287,2436,523,97,51
Connecticut,5/3/20,29287,2436,0,0,52
Connecticut,5/4/20,29973,2556,686,120,53
Connecticut,5/5/20,30621,2633,648,77,54
Connecticut,5/6/20,30995,2718,374,85,55
Connecticut,5/7/20,31784,2797,789,79,56
Connecticut,5/8/20,32411,2874,627,77,57
Connecticut,5/9/20,32984,2932,573,58,58
Connecticut,5/10/20,33554,2967,570,35,59
Connecticut,5/11/20,33765,3008,211,41,60
Connecticut,5/12/20,34333,3041,568,33,61
Connecticut,5/13/20,34855,3125,522,84,62
Connecticut,5/14/20,35464,3219,609,94,63
Connecticut,5/15/20,36085,3285,621,66,64
Connecticut,5/16/20,36703,3339,618,54,65
Connecticut,5/17/20,37419,3408,716,69,66
Connecticut,5/18/20,38116,3450,697,42,67
Connecticut,5/19/20,38430,3472,314,22,68
Connecticut,5/20/20,39017,3529,587,57,69
Connecticut,5/21/20,39208,3583,191,54,70
Connecticut,5/22/20,39640,3637,432,54,71
Connecticut,5/23/20,40022,3675,382,38,72
Connecticut,5/24/20,40468,3693,446,18,73
Connecticut,5/25/20,40873,3742,405,49,74
Connecticut,5/26/20,41303,3769,430,27,75
