state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Maryland,3/12/20,12,0,3,0,1
Maryland,3/13/20,18,0,6,0,2
Maryland,3/14/20,27,0,9,0,3
Maryland,3/15/20,24,0,-3,0,4
Maryland,3/16/20,42,0,18,0,5
Maryland,3/17/20,60,0,18,0,6
Maryland,3/18/20,85,0,25,0,7
Maryland,3/19/20,107,1,22,1,8
Maryland,3/20/20,149,2,42,1,9
Maryland,3/21/20,193,2,44,0,10
Maryland,3/22/20,244,3,51,1,11
Maryland,3/23/20,290,3,46,0,12
Maryland,3/24/20,349,4,59,1,13
Maryland,3/25/20,425,4,76,0,14
Maryland,3/26/20,583,4,158,0,15
Maryland,3/27/20,775,5,192,1,16
Maryland,3/28/20,995,5,220,0,17
Maryland,3/29/20,1239,10,244,5,18
Maryland,3/30/20,1413,15,174,5,19
Maryland,3/31/20,1660,18,247,3,20
Maryland,4/1/20,1986,31,326,13,21
Maryland,4/2/20,2331,36,345,5,22
Maryland,4/3/20,2758,43,427,7,23
Maryland,4/4/20,3125,54,367,11,24
Maryland,4/5/20,3617,67,492,13,25
Maryland,4/6/20,4045,91,428,24,26
Maryland,4/7/20,4371,103,326,12,27
Maryland,4/8/20,5529,124,1158,21,28
Maryland,4/9/20,6185,138,656,14,29
Maryland,4/10/20,6968,171,783,33,30
Maryland,4/11/20,7694,206,726,35,31
Maryland,4/12/20,8225,236,531,30,32
Maryland,4/13/20,8936,262,711,26,33
Maryland,4/14/20,9472,302,536,40,34
Maryland,4/15/20,10032,311,560,9,35
Maryland,4/16/20,10784,319,752,8,36
Maryland,4/17/20,11572,334,788,15,37
Maryland,4/18/20,12326,421,754,87,38
Maryland,4/19/20,12847,461,521,40,39
Maryland,4/20/20,13684,582,837,121,40
Maryland,4/21/20,14193,652,509,70,41
Maryland,4/22/20,14775,698,582,46,42
Maryland,4/23/20,15737,748,962,50,43
Maryland,4/24/20,16616,798,879,50,44
Maryland,4/25/20,17766,875,1150,77,45
Maryland,4/26/20,18581,910,815,35,46
Maryland,4/27/20,19487,945,906,35,47
Maryland,4/28/20,20113,1016,626,71,48
Maryland,4/29/20,20849,1078,736,62,49
Maryland,4/30/20,21742,1140,893,62,50
Maryland,5/1/20,23472,1080,1730,-60,51
Maryland,5/2/20,24473,1251,1001,171,52
Maryland,5/3/20,25462,1281,989,30,53
Maryland,5/4/20,26408,1317,946,36,54
Maryland,5/5/20,27117,1390,709,73,55
Maryland,5/6/20,28163,1437,1046,47,56
Maryland,5/7/20,29374,1503,1211,66,57
Maryland,5/8/20,30485,1560,1111,57,58
Maryland,5/9/20,31534,1614,1049,54,59
Maryland,5/10/20,32587,1644,1053,30,60
Maryland,5/11/20,33373,1683,786,39,61
Maryland,5/12/20,34061,1756,688,73,62
Maryland,5/13/20,34812,1809,751,53,63
Maryland,5/14/20,35903,1866,1091,57,64
Maryland,5/15/20,36986,1911,1083,45,65
Maryland,5/16/20,37968,1957,982,46,66
Maryland,5/17/20,38804,1992,836,35,67
Maryland,5/18/20,39762,2023,958,31,68
Maryland,5/19/20,41546,2081,1784,58,69
Maryland,5/20/20,42323,2123,777,42,70
Maryland,5/21/20,43531,2159,1208,36,71
Maryland,5/22/20,44424,2207,893,48,72
Maryland,5/23/20,45495,2243,1071,36,73
Maryland,5/24/20,46313,2277,818,34,74
Maryland,5/25/20,47152,2302,839,25,75
Maryland,5/26/20,47687,2333,535,31,76
Maryland,5/27/20,48423,2392,736,59,77
Maryland,5/28/20,49709,2428,1286,36,78
Maryland,5/29/20,50988,2466,1279,38,79
Maryland,5/30/20,52015,2509,1027,43,80
Maryland,5/31/20,52778,2532,763,23,81
Maryland,6/1/20,53327,2552,549,20,82
Maryland,6/2/20,54175,2597,848,45,83
Maryland,6/3/20,54982,2641,807,44,84
Maryland,6/4/20,55858,2668,876,27,85
Maryland,6/5/20,56770,2702,912,34,86
Maryland,6/6/20,57482,2740,712,38,87
Maryland,6/7/20,57973,2749,491,9,88
