state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Arkansas,3/14/20,12,0,3,0,1
Arkansas,3/15/20,3,0,-9,0,2
Arkansas,3/16/20,3,0,0,0,3
Arkansas,3/17/20,3,0,0,0,4
Arkansas,3/18/20,4,0,1,0,5
Arkansas,3/19/20,62,0,58,0,6
Arkansas,3/20/20,100,0,38,0,7
Arkansas,3/21/20,122,0,22,0,8
Arkansas,3/22/20,165,0,43,0,9
Arkansas,3/23/20,192,0,27,0,10
Arkansas,3/24/20,219,2,27,2,11
Arkansas,3/25/20,280,2,61,0,12
Arkansas,3/26/20,335,2,55,0,13
Arkansas,3/27/20,381,3,46,1,14
Arkansas,3/28/20,409,5,28,2,15
Arkansas,3/29/20,426,6,17,1,16
Arkansas,3/30/20,473,7,47,1,17
Arkansas,3/31/20,523,8,50,1,18
Arkansas,4/1/20,584,10,61,2,19
Arkansas,4/2/20,643,12,59,2,20
Arkansas,4/3/20,704,12,61,0,21
Arkansas,4/4/20,743,14,39,2,22
Arkansas,4/5/20,837,16,94,2,23
Arkansas,4/6/20,875,16,38,0,24
Arkansas,4/7/20,946,18,71,2,25
Arkansas,4/8/20,1000,18,54,0,26
Arkansas,4/9/20,1119,21,119,3,27
Arkansas,4/10/20,1171,21,52,0,28
Arkansas,4/11/20,1228,25,57,4,29
Arkansas,4/12/20,1280,27,52,2,30
Arkansas,4/13/20,1410,29,130,2,31
Arkansas,4/14/20,1498,32,88,3,32
Arkansas,4/15/20,1569,33,71,1,33
Arkansas,4/16/20,1620,37,51,4,34
Arkansas,4/17/20,1695,37,75,0,35
Arkansas,4/18/20,1744,38,49,1,36
Arkansas,4/19/20,1781,39,37,1,37
Arkansas,4/20/20,1973,41,192,2,38
Arkansas,4/21/20,1990,42,17,1,39
Arkansas,4/22/20,2276,42,286,0,40
Arkansas,4/23/20,2599,45,323,3,41
Arkansas,4/24/20,2810,47,211,2,42
Arkansas,4/25/20,2911,48,101,1,43
Arkansas,4/26/20,3001,51,90,3,44
Arkansas,4/27/20,3069,51,68,0,45
Arkansas,4/28/20,3127,57,58,6,46
Arkansas,4/29/20,3193,57,66,0,47
Arkansas,4/30/20,3281,61,88,4,48
Arkansas,5/1/20,3337,64,56,3,49
Arkansas,5/2/20,3372,72,35,8,50
Arkansas,5/3/20,3437,76,65,4,51
Arkansas,5/4/20,3491,80,54,4,52
Arkansas,5/5/20,3525,83,34,3,53
Arkansas,5/6/20,3611,87,86,4,54
Arkansas,5/7/20,3703,87,92,0,55
Arkansas,5/8/20,3747,88,44,1,56
Arkansas,5/9/20,3747,88,0,0,57
Arkansas,5/10/20,4012,91,265,3,58
Arkansas,5/11/20,4043,94,31,3,59
Arkansas,5/12/20,4164,95,121,1,60
Arkansas,5/13/20,4236,97,72,2,61
Arkansas,5/14/20,4366,98,130,1,62
Arkansas,5/15/20,4463,98,97,0,63
Arkansas,5/16/20,4578,98,115,0,64
Arkansas,5/17/20,4759,98,181,0,65
Arkansas,5/18/20,4813,100,54,2,66
Arkansas,5/19/20,4923,102,110,2,67
Arkansas,5/20/20,5003,107,80,5,68
Arkansas,5/21/20,5458,110,455,3,69
Arkansas,5/22/20,5612,113,154,3,70
Arkansas,5/23/20,5775,115,163,2,71
Arkansas,5/24/20,5922,116,147,1,72
Arkansas,5/25/20,6029,117,107,1,73
Arkansas,5/26/20,6180,119,151,2,74
Arkansas,5/27/20,6277,120,97,1,75
Arkansas,5/28/20,6538,125,261,5,76
Arkansas,5/29/20,6777,132,239,7,77
Arkansas,5/30/20,7013,133,236,1,78
Arkansas,5/31/20,7253,133,240,0,79
Arkansas,6/1/20,7443,133,190,0,80
Arkansas,6/2/20,7818,136,375,3,81
Arkansas,6/3/20,8067,142,249,6,82
Arkansas,6/4/20,8425,151,358,9,83
Arkansas,6/5/20,8651,152,226,1,84
Arkansas,6/6/20,9101,154,450,2,85
Arkansas,6/7/20,9426,154,325,0,86
Arkansas,6/8/20,9740,155,314,1,87
Arkansas,6/9/20,10080,161,340,6,88
Arkansas,6/10/20,10368,165,288,4,89
Arkansas,6/11/20,10816,171,448,6,90
Arkansas,6/12/20,11547,176,731,5,91
Arkansas,6/13/20,12095,177,548,1,92
Arkansas,6/14/20,12501,179,406,2,93
Arkansas,6/15/20,12917,182,416,3,94
Arkansas,6/16/20,13191,188,274,6,95
Arkansas,6/17/20,13606,197,415,9,96
Arkansas,6/18/20,13928,208,322,11,97
Arkansas,6/19/20,14631,214,703,6,98
Arkansas,6/20/20,15142,224,511,10,99
