state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
New Mexico,3/13/20,10,0,5,0,1
New Mexico,3/14/20,13,0,3,0,2
New Mexico,3/15/20,13,0,0,0,3
New Mexico,3/16/20,21,0,8,0,4
New Mexico,3/17/20,23,0,2,0,5
New Mexico,3/18/20,28,0,5,0,6
New Mexico,3/19/20,35,0,7,0,7
New Mexico,3/20/20,42,0,7,0,8
New Mexico,3/21/20,55,0,13,0,9
New Mexico,3/22/20,57,0,2,0,10
New Mexico,3/23/20,83,0,26,0,11
New Mexico,3/24/20,100,0,17,0,12
New Mexico,3/25/20,113,1,13,1,13
New Mexico,3/26/20,113,1,0,0,14
New Mexico,3/27/20,136,1,23,0,15
New Mexico,3/28/20,208,1,72,0,16
New Mexico,3/29/20,237,2,29,1,17
New Mexico,3/30/20,237,2,0,0,18
New Mexico,3/31/20,315,4,78,2,19
New Mexico,4/1/20,327,5,12,1,20
New Mexico,4/2/20,373,6,46,1,21
New Mexico,4/3/20,490,10,117,4,22
New Mexico,4/4/20,506,11,16,1,23
New Mexico,4/5/20,624,12,118,1,24
New Mexico,4/6/20,686,12,62,0,25
New Mexico,4/7/20,794,13,108,1,26
New Mexico,4/8/20,821,13,27,0,27
New Mexico,4/9/20,865,16,44,3,28
New Mexico,4/10/20,1081,17,216,1,29
New Mexico,4/11/20,1091,19,10,2,30
New Mexico,4/12/20,1245,26,154,7,31
New Mexico,4/13/20,1262,26,17,0,32
New Mexico,4/14/20,1345,31,83,5,33
New Mexico,4/15/20,1484,36,139,5,34
New Mexico,4/16/20,1484,36,0,0,35
New Mexico,4/17/20,1597,44,113,8,36
New Mexico,4/18/20,1798,53,201,9,37
New Mexico,4/19/20,1845,55,47,2,38
New Mexico,4/20/20,1971,58,126,3,39
New Mexico,4/21/20,1971,58,0,0,40
New Mexico,4/22/20,2210,71,239,13,41
New Mexico,4/23/20,2379,78,169,7,42
New Mexico,4/24/20,2521,84,142,6,43
New Mexico,4/25/20,2660,93,139,9,44
New Mexico,4/26/20,2726,99,66,6,45
New Mexico,4/27/20,2825,99,99,0,46
New Mexico,4/28/20,2974,105,149,6,47
New Mexico,4/29/20,3213,112,239,7,48
New Mexico,4/30/20,3411,123,198,11,49
New Mexico,5/1/20,3513,131,102,8,50
New Mexico,5/2/20,3732,138,219,7,51
New Mexico,5/3/20,3850,151,118,13,52
New Mexico,5/4/20,4031,156,181,5,53
New Mexico,5/5/20,4138,162,107,6,54
New Mexico,5/6/20,4291,169,153,7,55
New Mexico,5/7/20,4493,172,202,3,56
New Mexico,5/8/20,4673,181,180,9,57
New Mexico,5/9/20,4778,191,105,10,58
New Mexico,5/10/20,4863,200,85,9,59
New Mexico,5/11/20,5069,208,206,8,60
New Mexico,5/12/20,5212,219,143,11,61
New Mexico,5/13/20,5364,231,152,12,62
New Mexico,5/14/20,5503,242,139,11,63
New Mexico,5/15/20,5662,253,159,11,64
New Mexico,5/16/20,5847,259,185,6,65
New Mexico,5/17/20,5938,265,91,6,66
New Mexico,5/18/20,6096,270,158,5,67
New Mexico,5/19/20,6192,276,96,6,68
New Mexico,5/20/20,6317,283,125,7,69
New Mexico,5/21/20,6472,294,155,11,70
New Mexico,5/22/20,6625,302,153,8,71
New Mexico,5/23/20,6625,302,0,0,72
New Mexico,5/24/20,6943,317,318,15,73
New Mexico,5/25/20,7026,320,83,3,74
New Mexico,5/26/20,7130,325,104,5,75
New Mexico,5/27/20,7252,329,122,4,76
New Mexico,5/28/20,7364,335,112,6,77
New Mexico,5/29/20,7493,344,129,9,78
New Mexico,5/30/20,7624,351,131,7,79
New Mexico,5/31/20,7689,356,65,5,80
New Mexico,6/1/20,7800,362,111,6,81
New Mexico,6/2/20,8024,367,224,5,82
New Mexico,6/3/20,8140,375,116,8,83
New Mexico,6/4/20,8353,383,213,8,84
New Mexico,6/5/20,8672,387,319,4,85
New Mexico,6/6/20,8800,392,128,5,86
New Mexico,6/7/20,8940,396,140,4,87
New Mexico,6/8/20,9062,400,122,4,88
New Mexico,6/9/20,9105,404,43,4,89
New Mexico,6/10/20,9250,410,145,6,90
New Mexico,6/11/20,9367,420,117,10,91
New Mexico,6/12/20,9526,420,159,0,92
New Mexico,6/13/20,9621,431,95,11,93
New Mexico,6/14/20,9723,435,102,4,94
New Mexico,6/15/20,9845,440,122,5,95
New Mexico,6/16/20,9933,447,88,7,96
New Mexico,6/17/20,10065,452,132,5,97
New Mexico,6/18/20,10153,456,88,4,98
New Mexico,6/19/20,10260,464,107,8,99
New Mexico,6/20/20,10430,466,170,2,100
New Mexico,6/21/20,10565,469,135,3,101
New Mexico,6/22/20,10694,469,129,0,102
New Mexico,6/23/20,10838,476,144,7,103
New Mexico,6/24/20,10990,480,152,4,104
New Mexico,6/25/20,11192,485,202,5,105
New Mexico,6/26/20,11408,489,216,4,106
New Mexico,6/27/20,11619,491,211,2,107
