state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Ohio,3/13/20,12,0,7,0,1
Ohio,3/14/20,26,0,14,0,2
Ohio,3/15/20,30,0,4,0,3
Ohio,3/16/20,50,0,20,0,4
Ohio,3/17/20,67,0,17,0,5
Ohio,3/18/20,89,0,22,0,6
Ohio,3/19/20,119,0,30,0,7
Ohio,3/20/20,173,3,54,3,8
Ohio,3/21/20,247,3,74,0,9
Ohio,3/22/20,356,3,109,0,10
Ohio,3/23/20,443,6,87,3,11
Ohio,3/24/20,567,8,124,2,12
Ohio,3/25/20,704,11,137,3,13
Ohio,3/26/20,868,15,164,4,14
Ohio,3/27/20,1137,19,269,4,15
Ohio,3/28/20,1406,25,269,6,16
Ohio,3/29/20,1653,29,247,4,17
Ohio,3/30/20,1933,40,280,11,18
Ohio,3/31/20,2199,55,266,15,19
Ohio,4/1/20,2547,65,348,10,20
Ohio,4/2/20,2901,81,354,16,21
Ohio,4/3/20,3312,91,411,10,22
Ohio,4/4/20,3739,102,427,11,23
Ohio,4/5/20,4043,119,304,17,24
Ohio,4/6/20,4453,142,410,23,25
Ohio,4/7/20,4782,167,329,25,26
Ohio,4/8/20,5148,193,366,26,27
Ohio,4/9/20,5512,213,364,20,28
Ohio,4/10/20,5878,231,366,18,29
Ohio,4/11/20,6250,247,372,16,30
Ohio,4/12/20,6604,253,354,6,31
Ohio,4/13/20,6975,274,371,21,32
Ohio,4/14/20,7285,324,310,50,33
Ohio,4/15/20,7794,362,509,38,34
Ohio,4/16/20,8414,407,620,45,35
Ohio,4/17/20,9107,418,693,11,36
Ohio,4/18/20,10222,451,1115,33,37
Ohio,4/19/20,11602,471,1380,20,38
Ohio,4/20/20,12919,509,1317,38,39
Ohio,4/21/20,13725,557,806,48,40
Ohio,4/22/20,14117,610,392,53,41
Ohio,4/23/20,14694,656,577,46,42
Ohio,4/24/20,15169,690,475,34,43
Ohio,4/25/20,15587,711,418,21,44
Ohio,4/26/20,15972,728,385,17,45
Ohio,4/27/20,16325,753,353,25,46
Ohio,4/28/20,16769,799,444,46,47
Ohio,4/29/20,17303,937,534,138,48
Ohio,4/30/20,18027,976,724,39,49
Ohio,5/1/20,18743,1003,716,27,50
Ohio,5/2/20,19335,1022,592,19,51
Ohio,5/3/20,19914,1039,579,17,52
Ohio,5/4/20,20474,1057,560,18,53
Ohio,5/5/20,20969,1135,495,78,54
Ohio,5/6/20,21576,1225,607,90,55
Ohio,5/7/20,22131,1271,555,46,56
Ohio,5/8/20,23016,1306,885,35,57
Ohio,5/9/20,23697,1331,681,25,58
Ohio,5/10/20,24081,1341,384,10,59
Ohio,5/11/20,24777,1357,696,16,60
Ohio,5/12/20,25250,1436,473,79,61
Ohio,5/13/20,25721,1483,471,47,62
Ohio,5/14/20,26357,1534,636,51,63
Ohio,5/15/20,26954,1581,597,47,64
Ohio,5/16/20,27474,1610,520,29,65
Ohio,5/17/20,27923,1625,449,15,66
Ohio,5/18/20,28454,1657,531,32,67
Ohio,5/19/20,28952,1720,498,63,68
Ohio,5/20/20,29436,1781,484,61,69
Ohio,5/21/20,30167,1837,731,56,70
Ohio,5/22/20,30794,1872,627,35,71
Ohio,5/23/20,31408,1956,614,84,72
Ohio,5/24/20,31911,1969,503,13,73
Ohio,5/25/20,32477,1987,566,18,74
Ohio,5/26/20,33006,2002,529,15,75
Ohio,5/27/20,33439,2044,433,42,76
Ohio,5/28/20,33915,2098,476,54,77
Ohio,5/29/20,34566,2131,651,33,78
Ohio,5/30/20,35033,2149,467,18,79
Ohio,5/31/20,35513,2155,480,6,80
Ohio,6/1/20,35984,2207,471,52,81
Ohio,6/2/20,36350,2259,366,52,82
Ohio,6/3/20,36792,2300,442,41,83
Ohio,6/4/20,37282,2340,490,40,84
Ohio,6/5/20,37758,2357,476,17,85
Ohio,6/6/20,38111,2372,353,15,86
Ohio,6/7/20,38476,2379,365,7,87
Ohio,6/8/20,38837,2406,361,27,88
Ohio,6/9/20,39162,2423,325,17,89
Ohio,6/10/20,39575,2459,413,36,90
Ohio,6/11/20,40004,2492,429,33,91
Ohio,6/12/20,40424,2510,420,18,92
Ohio,6/13/20,40851,2556,427,46,93
Ohio,6/14/20,41148,2559,297,3,94
Ohio,6/15/20,41576,2575,428,16,95
Ohio,6/16/20,42010,2599,434,24,96
Ohio,6/17/20,42422,2611,412,12,97
Ohio,6/18/20,43122,2633,700,22,98
Ohio,6/19/20,43731,2667,609,34,99
Ohio,6/20/20,44261,2697,530,30,100
Ohio,6/21/20,44808,2700,547,3,101
Ohio,6/22/20,45537,2704,729,4,102
Ohio,6/23/20,46127,2735,590,31,103
Ohio,6/24/20,46759,2755,632,20,104
Ohio,6/25/20,47651,2772,892,17,105
Ohio,6/26/20,48638,2788,987,16,106
Ohio,6/27/20,49455,2804,817,16,107
Ohio,6/28/20,50309,2807,854,3,108
Ohio,6/29/20,51046,2818,737,11,109
Ohio,6/30/20,51789,2863,743,45,110
Ohio,7/1/20,52865,2876,1076,13,111
Ohio,7/2/20,54166,2903,1301,27,112
Ohio,7/3/20,55257,2903,1091,0,113
Ohio,7/4/20,56183,2907,926,4,114
Ohio,7/5/20,57150,2911,967,4,115
Ohio,7/6/20,57956,2927,806,16,116
Ohio,7/7/20,58904,2970,948,43,117
