state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
South Carolina,3/11/20,10,0,3,0,1
South Carolina,3/12/20,7,0,-3,0,2
South Carolina,3/13/20,8,0,1,0,3
South Carolina,3/14/20,19,0,11,0,4
South Carolina,3/15/20,19,0,0,0,5
South Carolina,3/16/20,30,1,11,1,6
South Carolina,3/17/20,47,1,17,0,7
South Carolina,3/18/20,60,1,13,0,8
South Carolina,3/19/20,80,1,20,0,9
South Carolina,3/20/20,126,3,46,2,10
South Carolina,3/21/20,174,3,48,0,11
South Carolina,3/22/20,196,3,22,0,12
South Carolina,3/23/20,298,5,102,2,13
South Carolina,3/24/20,342,5,44,0,14
South Carolina,3/25/20,424,7,82,2,15
South Carolina,3/26/20,424,9,0,2,16
South Carolina,3/27/20,542,13,118,4,17
South Carolina,3/28/20,660,15,118,2,18
South Carolina,3/29/20,774,16,114,1,19
South Carolina,3/30/20,925,18,151,2,20
South Carolina,3/31/20,1083,22,158,4,21
South Carolina,4/1/20,1293,26,210,4,22
South Carolina,4/2/20,1554,31,261,5,23
South Carolina,4/3/20,1700,34,146,3,24
South Carolina,4/4/20,1917,40,217,6,25
South Carolina,4/5/20,2049,44,132,4,26
South Carolina,4/6/20,2232,48,183,4,27
South Carolina,4/7/20,2417,51,185,3,28
South Carolina,4/8/20,2417,51,0,0,29
South Carolina,4/9/20,2793,67,376,16,30
South Carolina,4/10/20,3067,72,274,5,31
South Carolina,4/11/20,3211,80,144,8,32
South Carolina,4/12/20,3320,82,109,2,33
South Carolina,4/13/20,3391,82,71,0,34
South Carolina,4/14/20,3553,97,162,15,35
South Carolina,4/15/20,3656,106,103,9,36
South Carolina,4/16/20,3931,111,275,5,37
South Carolina,4/17/20,4099,116,168,5,38
South Carolina,4/18/20,4248,119,149,3,39
South Carolina,4/19/20,4377,120,129,1,40
South Carolina,4/20/20,4446,123,69,3,41
South Carolina,4/21/20,4439,124,-7,1,42
South Carolina,4/22/20,4761,140,322,16,43
South Carolina,4/23/20,4917,150,156,10,44
South Carolina,4/24/20,5070,157,153,7,45
South Carolina,4/25/20,5253,166,183,9,46
South Carolina,4/26/20,5498,174,245,8,47
South Carolina,4/27/20,5613,177,115,3,48
South Carolina,4/28/20,5735,192,122,15,49
South Carolina,4/29/20,5882,231,147,39,50
South Carolina,4/30/20,6095,244,213,13,51
South Carolina,5/1/20,6258,256,163,12,52
South Carolina,5/2/20,6489,267,231,11,53
South Carolina,5/3/20,6626,275,137,8,54
South Carolina,5/4/20,6757,283,131,8,55
South Carolina,5/5/20,6841,296,84,13,56
South Carolina,5/6/20,6936,305,95,9,57
South Carolina,5/7/20,7142,316,206,11,58
South Carolina,5/8/20,7367,320,225,4,59
South Carolina,5/9/20,7531,330,164,10,60
South Carolina,5/10/20,7653,331,122,1,61
South Carolina,5/11/20,7792,346,139,15,62
South Carolina,5/12/20,7927,355,135,9,63
South Carolina,5/13/20,8030,362,103,7,64
South Carolina,5/14/20,8189,371,159,9,65
South Carolina,5/15/20,8407,380,218,9,66
South Carolina,5/16/20,8661,380,254,0,67
South Carolina,5/17/20,8816,385,155,5,68
South Carolina,5/18/20,8942,391,126,6,69
South Carolina,5/19/20,9056,399,114,8,70
South Carolina,5/20/20,9175,407,119,8,71
South Carolina,5/21/20,9381,416,206,9,72
South Carolina,5/22/20,9638,419,257,3,73
South Carolina,5/23/20,9895,425,257,6,74
South Carolina,5/24/20,10096,435,201,10,75
South Carolina,5/25/20,10178,440,82,5,76
South Carolina,5/26/20,10416,446,238,6,77
South Carolina,5/27/20,10623,466,207,20,78
South Carolina,5/28/20,10788,470,165,4,79
South Carolina,5/29/20,11131,483,343,13,80
South Carolina,5/30/20,11394,487,263,4,81
South Carolina,5/31/20,11861,494,467,7,82
South Carolina,6/1/20,12148,500,287,6,83
South Carolina,6/2/20,12419,501,271,1,84
South Carolina,6/3/20,12470,518,51,17,85
South Carolina,6/4/20,12526,525,56,7,86
South Carolina,6/5/20,13458,539,932,14,87
South Carolina,6/6/20,13538,545,80,6,88
South Carolina,6/7/20,14302,546,764,1,89
South Carolina,6/8/20,14800,557,498,11,90
South Carolina,6/9/20,15228,568,428,11,91
South Carolina,6/10/20,15759,575,531,7,92
South Carolina,6/11/20,16441,588,682,13,93
South Carolina,6/12/20,17170,593,729,5,94
South Carolina,6/13/20,17955,599,785,6,95
South Carolina,6/14/20,18795,600,840,1,96
South Carolina,6/15/20,19378,602,583,2,97
South Carolina,6/16/20,19990,607,612,5,98
South Carolina,6/17/20,20556,617,566,10,99
South Carolina,6/18/20,21533,621,977,4,100
South Carolina,6/19/20,22608,639,1075,18,101
South Carolina,6/20/20,23756,644,1148,5,102
South Carolina,6/21/20,24661,653,905,9,103
South Carolina,6/22/20,25666,659,1005,6,104
South Carolina,6/23/20,26572,673,906,14,105
South Carolina,6/24/20,27897,683,1325,10,106
South Carolina,6/25/20,29022,693,1125,10,107
South Carolina,6/26/20,30335,694,1313,1,108
South Carolina,6/27/20,31939,711,1604,17,109
South Carolina,6/28/20,33320,716,1381,5,110
South Carolina,6/29/20,34644,720,1324,4,111
South Carolina,6/30/20,36399,739,1755,19,112
South Carolina,7/1/20,37919,766,1520,27,113
South Carolina,7/2/20,39701,784,1782,18,114
South Carolina,7/3/20,41532,793,1831,9,115
South Carolina,7/4/20,43386,813,1854,20,116
South Carolina,7/5/20,44847,820,1461,7,117
South Carolina,7/6/20,46380,827,1533,7,118
South Carolina,7/7/20,47352,846,972,19,119
South Carolina,7/8/20,48909,884,1557,38,120
South Carolina,7/9/20,50691,905,1782,21,121
South Carolina,7/10/20,52419,929,1728,24,122
South Carolina,7/11/20,54699,951,2280,22,123
South Carolina,7/12/20,56648,961,1949,10,124
South Carolina,7/13/20,58168,972,1520,11,125
South Carolina,7/14/20,60389,993,2221,21,126
South Carolina,7/15/20,62245,998,1856,5,127
South Carolina,7/16/20,64083,1070,1838,72,128
South Carolina,7/17/20,66060,1096,1977,26,129
South Carolina,7/18/20,67612,1135,1552,39,130
South Carolina,7/19/20,69986,1155,2374,20,131
South Carolina,7/20/20,71445,1164,1459,9,132
South Carolina,7/21/20,73337,1221,1892,57,133
South Carolina,7/22/20,75042,1285,1705,64,134
South Carolina,7/23/20,76606,1334,1564,49,135
South Carolina,7/24/20,78607,1385,2001,51,136
South Carolina,7/25/20,80008,1465,1401,80,137
South Carolina,7/26/20,81199,1491,1191,26,138
South Carolina,7/27/20,82417,1506,1218,15,139
South Carolina,7/28/20,84109,1565,1692,59,140
South Carolina,7/29/20,85846,1615,1737,50,141
South Carolina,7/30/20,87572,1667,1726,52,142
South Carolina,7/31/20,89016,1712,1444,45,143
South Carolina,8/1/20,90599,1751,1583,39,144
South Carolina,8/2/20,91788,1777,1189,26,145
South Carolina,8/3/20,92951,1793,1163,16,146
South Carolina,8/4/20,94190,1847,1239,54,147
South Carolina,8/5/20,95472,1894,1282,47,148
South Carolina,8/6/20,96797,1942,1325,48,149
