state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Maine,3/16/20,17,0,15,0,1
Maine,3/17/20,26,0,9,0,2
Maine,3/18/20,35,0,9,0,3
Maine,3/19/20,52,0,17,0,4
Maine,3/20/20,56,0,4,0,5
Maine,3/21/20,70,0,14,0,6
Maine,3/22/20,89,0,19,0,7
Maine,3/23/20,107,0,18,0,8
Maine,3/24/20,118,0,11,0,9
Maine,3/25/20,142,0,24,0,10
Maine,3/26/20,155,0,13,0,11
Maine,3/27/20,168,1,13,1,12
Maine,3/28/20,211,1,43,0,13
Maine,3/29/20,253,3,42,2,14
Maine,3/30/20,275,3,22,0,15
Maine,3/31/20,303,5,28,2,16
Maine,4/1/20,303,5,0,0,17
Maine,4/2/20,376,7,73,2,18
Maine,4/3/20,432,9,56,2,19
Maine,4/4/20,456,10,24,1,20
Maine,4/5/20,470,10,14,0,21
Maine,4/6/20,499,10,29,0,22
Maine,4/7/20,519,12,20,2,23
Maine,4/8/20,537,14,18,2,24
Maine,4/9/20,560,16,23,2,25
Maine,4/10/20,586,17,26,1,26
Maine,4/11/20,616,19,30,2,27
Maine,4/12/20,633,19,17,0,28
Maine,4/13/20,698,19,65,0,29
Maine,4/14/20,735,20,37,1,30
Maine,4/15/20,770,24,35,4,31
Maine,4/16/20,796,27,26,3,32
Maine,4/17/20,827,29,31,2,33
Maine,4/18/20,847,32,20,3,34
Maine,4/19/20,867,34,20,2,35
Maine,4/20/20,875,35,8,1,36
Maine,4/21/20,888,36,13,1,37
Maine,4/22/20,907,39,19,3,38
Maine,4/23/20,937,44,30,5,39
Maine,4/24/20,965,47,28,3,40
Maine,4/25/20,965,47,0,0,41
Maine,4/26/20,1015,50,50,3,42
Maine,4/27/20,1023,51,8,1,43
Maine,4/28/20,1040,51,17,0,44
Maine,4/29/20,1056,52,16,1,45
Maine,4/30/20,1095,53,39,1,46
Maine,5/1/20,1123,55,28,2,47
Maine,5/2/20,1153,56,30,1,48
Maine,5/3/20,1185,57,32,1,49
Maine,5/4/20,1205,57,20,0,50
Maine,5/5/20,1226,61,21,4,51
Maine,5/6/20,1254,62,28,1,52
Maine,5/7/20,1330,62,76,0,53
Maine,5/8/20,1374,63,44,1,54
Maine,5/9/20,1408,64,34,1,55
Maine,5/10/20,1436,64,28,0,56
Maine,5/11/20,1462,65,26,1,57
Maine,5/12/20,1477,65,15,0,58
Maine,5/13/20,1515,66,38,1,59
Maine,5/14/20,1565,69,50,3,60
Maine,5/15/20,1603,69,38,0,61
Maine,5/16/20,1648,70,45,1,62
Maine,5/17/20,1687,70,39,0,63
Maine,5/18/20,1713,71,26,1,64
Maine,5/19/20,1741,73,28,2,65
Maine,5/20/20,1819,73,78,0,66
Maine,5/21/20,1877,73,58,0,67
Maine,5/22/20,1948,75,71,2,68
Maine,5/23/20,2013,77,65,2,69
Maine,5/24/20,2055,78,42,1,70
Maine,5/25/20,2074,78,19,0,71
Maine,5/26/20,2109,79,35,1,72
Maine,5/27/20,2137,81,28,2,73
Maine,5/28/20,2189,84,52,3,74
Maine,5/29/20,2226,85,37,1,75
Maine,5/30/20,2282,89,56,4,76
Maine,5/31/20,2325,89,43,0,77
Maine,6/1/20,2349,89,24,0,78
Maine,6/2/20,2377,94,28,5,79
Maine,6/3/20,2418,95,41,1,80
Maine,6/4/20,2446,95,28,0,81
Maine,6/5/20,2482,98,36,3,82
Maine,6/6/20,2524,98,42,0,83
Maine,6/7/20,2570,99,46,1,84
Maine,6/8/20,2588,99,18,0,85
Maine,6/9/20,2606,100,18,1,86
Maine,6/10/20,2637,100,31,0,87
Maine,6/11/20,2667,100,30,0,88
Maine,6/12/20,2721,100,54,0,89
Maine,6/13/20,2757,100,36,0,90
Maine,6/14/20,2793,100,36,0,91
Maine,6/15/20,2810,101,17,1,92
Maine,6/16/20,2819,101,9,0,93
Maine,6/17/20,2836,102,17,1,94
Maine,6/18/20,2878,102,42,0,95
Maine,6/19/20,2913,102,35,0,96
Maine,6/20/20,2938,102,25,0,97
Maine,6/21/20,2957,102,19,0,98
Maine,6/22/20,2971,102,14,0,99
Maine,6/23/20,2996,102,25,0,100
Maine,6/24/20,3017,103,21,1,101
Maine,6/25/20,3070,103,53,0,102
Maine,6/26/20,3102,103,32,0,103
Maine,6/27/20,3154,104,52,1,104
Maine,6/28/20,3191,104,37,0,105
Maine,6/29/20,3219,105,28,1,106
Maine,6/30/20,3253,105,34,0,107
Maine,7/1/20,3294,105,41,0,108
Maine,7/2/20,3328,105,34,0,109
Maine,7/3/20,3373,105,45,0,110
Maine,7/4/20,3397,107,24,2,111
Maine,7/5/20,3415,109,18,2,112
Maine,7/6/20,3423,109,8,0,113
Maine,7/7/20,3440,110,17,1,114
Maine,7/8/20,3460,110,20,0,115
Maine,7/9/20,3486,111,26,1,116
Maine,7/10/20,3499,111,13,0,117
Maine,7/11/20,3520,112,21,1,118
Maine,7/12/20,3539,114,19,2,119
Maine,7/13/20,3558,114,19,0,120
Maine,7/14/20,3566,114,8,0,121
Maine,7/15/20,3578,114,12,0,122
Maine,7/16/20,3598,114,20,0,123
Maine,7/17/20,3636,115,38,1,124
Maine,7/18/20,3645,117,9,2,125
Maine,7/19/20,3687,117,42,0,126
Maine,7/20/20,3711,117,24,0,127
Maine,7/21/20,3723,118,12,1,128
Maine,7/22/20,3722,118,-1,0,129
Maine,7/23/20,3737,118,15,0,130
Maine,7/24/20,3757,118,20,0,131
Maine,7/25/20,3790,119,33,1,132
Maine,7/26/20,3814,119,24,0,133
Maine,7/27/20,3832,119,18,0,134
Maine,7/28/20,3838,121,6,2,135
Maine,7/29/20,3866,121,28,0,136
Maine,7/30/20,3888,122,22,1,137
Maine,7/31/20,3912,123,24,1,138
Maine,8/1/20,3937,123,25,0,139
Maine,8/2/20,3958,123,21,0,140
Maine,8/3/20,3970,124,12,1,141
Maine,8/4/20,3977,123,7,-1,142
Maine,8/5/20,3994,124,17,1,143
Maine,8/6/20,3999,124,5,0,144
Maine,8/7/20,4016,124,17,0,145
Maine,8/8/20,4028,125,12,1,146
Maine,8/9/20,4044,125,16,0,147
Maine,8/10/20,4051,125,7,0,148
Maine,8/11/20,4052,126,1,1,149
Maine,8/12/20,4070,126,18,0,150
Maine,8/13/20,4089,126,19,0,151
Maine,8/14/20,4116,126,27,0,152
Maine,8/15/20,4144,127,28,1,153
Maine,8/16/20,4168,127,24,0,154
Maine,8/17/20,4197,127,29,0,155
Maine,8/18/20,4213,127,16,0,156
Maine,8/19/20,4235,127,22,0,157
Maine,8/20/20,4253,128,18,1,158
Maine,8/21/20,4286,129,33,1,159
Maine,8/22/20,4318,130,32,1,160
Maine,8/23/20,4336,131,18,1,161
Maine,8/24/20,4357,131,21,0,162
Maine,8/25/20,4369,131,12,0,163
Maine,8/26/20,4389,132,20,1,164
Maine,8/27/20,4414,132,25,0,165
Maine,8/28/20,4436,132,22,0,166
Maine,8/29/20,4492,132,56,0,167
Maine,8/30/20,4514,132,22,0,168
Maine,8/31/20,4529,132,15,0,169
Maine,9/1/20,4549,132,20,0,170
Maine,9/2/20,4568,133,19,1,171
Maine,9/3/20,4618,133,50,0,172
Maine,9/4/20,4633,134,15,1,173
Maine,9/5/20,4633,134,0,0,174
Maine,9/6/20,4683,134,50,0,175
Maine,9/7/20,4701,134,18,0,176
Maine,9/8/20,4714,134,13,0,177
Maine,9/9/20,4713,134,-1,0,178
Maine,9/10/20,4760,134,47,0,179
Maine,9/11/20,4792,134,32,0,180
Maine,9/12/20,4834,135,42,1,181
Maine,9/13/20,4863,136,29,1,182
Maine,9/14/20,4904,136,41,0,183
Maine,9/15/20,4918,137,14,1,184
Maine,9/16/20,4941,138,23,1,185
Maine,9/17/20,4962,138,21,0,186
Maine,9/18/20,5002,138,40,0,187
Maine,9/19/20,5034,139,32,1,188
Maine,9/20/20,5077,139,43,0,189
Maine,9/21/20,5106,140,29,1,190
Maine,9/22/20,5146,140,40,0,191
Maine,9/23/20,5170,140,24,0,192
Maine,9/24/20,5214,140,44,0,193
Maine,9/25/20,5234,140,20,0,194
Maine,9/26/20,5258,140,24,0,195
