state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
North Carolina,3/12/20,17,0,8,0,1
North Carolina,3/13/20,22,0,5,0,2
North Carolina,3/14/20,32,0,10,0,3
North Carolina,3/15/20,33,0,1,0,4
North Carolina,3/16/20,39,0,6,0,5
North Carolina,3/17/20,62,0,23,0,6
North Carolina,3/18/20,104,0,42,0,7
North Carolina,3/19/20,152,0,48,0,8
North Carolina,3/20/20,208,0,56,0,9
North Carolina,3/21/20,287,0,79,0,10
North Carolina,3/22/20,325,0,38,0,11
North Carolina,3/23/20,423,0,98,0,12
North Carolina,3/24/20,544,0,121,0,13
North Carolina,3/25/20,661,2,117,2,14
North Carolina,3/26/20,791,3,130,1,15
North Carolina,3/27/20,963,4,172,1,16
North Carolina,3/28/20,1105,5,142,1,17
North Carolina,3/29/20,1234,7,129,2,18
North Carolina,3/30/20,1426,7,192,0,19
North Carolina,3/31/20,1578,12,152,5,20
North Carolina,4/1/20,1855,14,277,2,21
North Carolina,4/2/20,2093,21,238,7,22
North Carolina,4/3/20,2380,27,287,6,23
North Carolina,4/4/20,2635,34,255,7,24
North Carolina,4/5/20,2891,38,256,4,25
North Carolina,4/6/20,3153,45,262,7,26
North Carolina,4/7/20,3453,53,300,8,27
North Carolina,4/8/20,3700,66,247,13,28
North Carolina,4/9/20,3993,76,293,10,29
North Carolina,4/10/20,4230,83,237,7,30
North Carolina,4/11/20,4535,89,305,6,31
North Carolina,4/12/20,4839,89,304,0,32
North Carolina,4/13/20,5024,94,185,5,33
North Carolina,4/14/20,5195,112,171,18,34
North Carolina,4/15/20,5484,130,289,18,35
North Carolina,4/16/20,5877,150,393,20,36
North Carolina,4/17/20,6171,177,294,27,37
North Carolina,4/18/20,6524,187,353,10,38
North Carolina,4/19/20,6818,200,294,13,39
North Carolina,4/20/20,7033,218,215,18,40
North Carolina,4/21/20,7331,245,298,27,41
North Carolina,4/22/20,7728,265,397,20,42
North Carolina,4/23/20,8200,281,472,16,43
North Carolina,4/24/20,8634,294,434,13,44
North Carolina,4/25/20,8929,305,295,11,45
North Carolina,4/26/20,9339,324,410,19,46
North Carolina,4/27/20,9782,340,443,16,47
North Carolina,4/28/20,10144,363,362,23,48
North Carolina,4/29/20,10711,382,567,19,49
North Carolina,4/30/20,11120,406,409,24,50
North Carolina,5/1/20,11585,419,465,13,51
North Carolina,5/2/20,11929,431,344,12,52
North Carolina,5/3/20,12167,434,238,3,53
North Carolina,5/4/20,12483,442,316,8,54
North Carolina,5/5/20,12928,472,445,30,55
North Carolina,5/6/20,13541,492,613,20,56
North Carolina,5/7/20,14051,513,510,21,57
North Carolina,5/8/20,14516,530,465,17,58
North Carolina,5/9/20,15002,551,486,21,59
North Carolina,5/10/20,15274,564,272,13,60
North Carolina,5/11/20,15601,575,327,11,61
North Carolina,5/12/20,16025,600,424,25,62
North Carolina,5/13/20,16733,625,708,25,63
North Carolina,5/14/20,17527,641,794,16,64
North Carolina,5/15/20,18269,667,742,26,65
North Carolina,5/16/20,18754,676,485,9,66
North Carolina,5/17/20,19161,686,407,10,67
North Carolina,5/18/20,19684,693,523,7,68
North Carolina,5/19/20,20189,693,505,0,69
North Carolina,5/20/20,21014,726,825,33,70
North Carolina,5/21/20,21802,734,788,8,71
North Carolina,5/22/20,22750,775,948,41,72
North Carolina,5/23/20,23323,778,573,3,73
