state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Washington,3/1/20,11,1,4,0,1
Washington,3/2/20,18,6,7,5,2
Washington,3/3/20,27,7,9,1,3
Washington,3/4/20,39,10,12,3,4
Washington,3/5/20,70,11,31,1,5
Washington,3/6/20,78,13,8,2,6
Washington,3/7/20,102,16,24,3,7
Washington,3/8/20,122,18,20,2,8
Washington,3/9/20,122,19,0,1,9
Washington,3/10/20,167,23,45,4,10
Washington,3/11/20,282,24,115,1,11
Washington,3/12/20,442,31,160,7,12
Washington,3/13/20,568,37,126,6,13
Washington,3/14/20,642,39,74,2,14
Washington,3/15/20,603,40,-39,1,15
Washington,3/16/20,779,48,176,8,16
Washington,3/17/20,955,55,176,7,17
Washington,3/18/20,1022,67,67,12,18
Washington,3/19/20,1374,73,352,6,19
Washington,3/20/20,1524,83,150,10,20
Washington,3/21/20,1793,94,269,11,21
Washington,3/22/20,1997,97,204,3,22
Washington,3/23/20,2221,109,224,12,23
Washington,3/24/20,2328,116,107,7,24
Washington,3/25/20,2591,133,263,17,25
Washington,3/26/20,3207,150,616,17,26
Washington,3/27/20,3477,157,270,7,27
Washington,3/28/20,4030,188,553,31,28
Washington,3/29/20,4465,198,435,10,29
Washington,3/30/20,4923,205,458,7,30
Washington,3/31/20,5432,225,509,20,31
Washington,4/1/20,5608,310,176,85,32
Washington,4/2/20,6389,340,781,30,33
Washington,4/3/20,6846,369,457,29,34
Washington,4/4/20,7247,398,401,29,35
Washington,4/5/20,7825,426,578,28,36
Washington,4/6/20,8311,450,486,24,37
Washington,4/7/20,8692,474,381,24,38
Washington,4/8/20,9276,489,584,15,39
Washington,4/9/20,9639,507,363,18,40
Washington,4/10/20,10119,524,480,17,41
Washington,4/11/20,10434,547,315,23,42
Washington,4/12/20,10609,562,175,15,43
Washington,4/13/20,10635,582,26,20,44
Washington,4/14/20,10799,599,164,17,45
Washington,4/15/20,10942,609,143,10,46
Washington,4/16/20,11057,630,115,21,47
Washington,4/17/20,11517,649,460,19,48
Washington,4/18/20,11776,666,259,17,49
Washington,4/19/20,11978,690,202,24,50
Washington,4/20/20,12114,709,136,19,51
Washington,4/21/20,12392,725,278,16,52
Washington,4/22/20,12596,734,204,9,53
Washington,4/23/20,12753,747,157,13,54
Washington,4/24/20,12977,762,224,15,55
Washington,4/25/20,13319,779,342,17,56
Washington,4/26/20,13521,799,202,20,57
Washington,4/27/20,13686,810,165,11,58
Washington,4/28/20,13842,820,156,10,59
Washington,4/29/20,14070,828,228,8,60
Washington,4/30/20,14327,836,257,8,61
Washington,5/1/20,14637,850,310,14,62
Washington,5/2/20,15003,862,366,12,63
Washington,5/3/20,15185,874,182,12,64
Washington,5/4/20,15462,885,277,11,65
Washington,5/5/20,15594,898,132,13,66
Washington,5/6/20,15905,911,311,13,67
Washington,5/7/20,16231,925,326,14,68
Washington,5/8/20,16388,941,157,16,69
Washington,5/9/20,16674,952,286,11,70
Washington,5/10/20,16891,968,217,16,71
Washington,5/11/20,17122,974,231,6,72
Washington,5/12/20,17330,990,208,16,73
Washington,5/13/20,17512,996,182,6,74
Washington,5/14/20,17773,1004,261,8,75
Washington,5/15/20,17951,1016,178,12,76
Washington,5/16/20,18288,1024,337,8,77
Washington,5/17/20,18433,1035,145,11,78
Washington,5/18/20,18611,1041,178,6,79
Washington,5/19/20,18811,1048,200,7,80
Washington,5/20/20,18971,1052,160,4,81
Washington,5/21/20,19117,1061,146,9,82
Washington,5/22/20,19265,1066,148,5,83
Washington,5/23/20,19265,1075,0,9,84
Washington,5/24/20,19828,1084,563,9,85
Washington,5/25/20,20065,1088,237,4,86
