state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
North Dakota,3/19/20,19,0,13,0,1
North Dakota,3/20/20,26,0,7,0,2
North Dakota,3/21/20,28,0,2,0,3
North Dakota,3/22/20,28,0,0,0,4
North Dakota,3/23/20,30,0,2,0,5
North Dakota,3/24/20,36,0,6,0,6
North Dakota,3/25/20,45,0,9,0,7
North Dakota,3/26/20,51,0,6,0,8
North Dakota,3/27/20,68,1,17,1,9
North Dakota,3/28/20,94,1,26,0,10
North Dakota,3/29/20,98,1,4,0,11
North Dakota,3/30/20,109,2,11,1,12
North Dakota,3/31/20,122,3,13,1,13
North Dakota,4/1/20,142,3,20,0,14
North Dakota,4/2/20,159,3,17,0,15
North Dakota,4/3/20,173,3,14,0,16
North Dakota,4/4/20,186,3,13,0,17
North Dakota,4/5/20,207,3,21,0,18
North Dakota,4/6/20,225,3,18,0,19
North Dakota,4/7/20,237,4,12,1,20
North Dakota,4/8/20,251,4,14,0,21
North Dakota,4/9/20,269,5,18,1,22
North Dakota,4/10/20,278,6,9,1,23
North Dakota,4/11/20,293,7,15,1,24
North Dakota,4/12/20,308,7,15,0,25
North Dakota,4/13/20,331,8,23,1,26
North Dakota,4/14/20,341,8,10,0,27
North Dakota,4/15/20,365,9,24,1,28
North Dakota,4/16/20,393,9,28,0,29
North Dakota,4/17/20,393,9,0,0,30
North Dakota,4/18/20,528,9,135,0,31
North Dakota,4/19/20,585,9,57,0,32
North Dakota,4/20/20,627,9,42,0,33
North Dakota,4/21/20,644,13,17,4,34
North Dakota,4/22/20,679,14,35,1,35
North Dakota,4/23/20,709,15,30,1,36
North Dakota,4/24/20,748,15,39,0,37
North Dakota,4/25/20,803,16,55,1,38
North Dakota,4/26/20,867,17,64,1,39
North Dakota,4/27/20,942,19,75,2,40
North Dakota,4/28/20,991,19,49,0,41
North Dakota,4/29/20,1033,19,42,0,42
North Dakota,4/30/20,1067,19,34,0,43
North Dakota,5/1/20,1107,23,40,4,44
North Dakota,5/2/20,1153,24,46,1,45
North Dakota,5/3/20,1191,25,38,1,46
North Dakota,5/4/20,1225,25,34,0,47
North Dakota,5/5/20,1266,25,41,0,48
North Dakota,5/6/20,1323,31,57,6,49
North Dakota,5/7/20,1371,31,48,0,50
North Dakota,5/8/20,1425,33,54,2,51
North Dakota,5/9/20,1464,35,39,2,52
North Dakota,5/10/20,1491,35,27,0,53
North Dakota,5/11/20,1518,36,27,1,54
North Dakota,5/12/20,1571,38,53,2,55
North Dakota,5/13/20,1647,40,76,2,56
North Dakota,5/14/20,1712,40,65,0,57
North Dakota,5/15/20,1761,42,49,2,58
North Dakota,5/16/20,1848,42,87,0,59
North Dakota,5/17/20,1900,43,52,1,60
North Dakota,5/18/20,1931,44,31,1,61
North Dakota,5/19/20,1994,45,63,1,62
North Dakota,5/20/20,2095,49,101,4,63
North Dakota,5/21/20,2229,51,134,2,64
North Dakota,5/22/20,2317,52,88,1,65
North Dakota,5/23/20,2365,52,48,0,66
North Dakota,5/24/20,2418,53,53,1,67
North Dakota,5/25/20,2457,54,39,1,68
North Dakota,5/26/20,2422,54,-35,0,69
North Dakota,5/27/20,2439,56,17,2,70
North Dakota,5/28/20,2481,57,42,1,71
North Dakota,5/29/20,2520,59,39,2,72
North Dakota,5/30/20,2554,60,34,1,73
North Dakota,5/31/20,2577,61,23,1,74
North Dakota,6/1/20,2625,61,48,0,75
North Dakota,6/2/20,2646,65,21,4,76
North Dakota,6/3/20,2679,66,33,1,77
North Dakota,6/4/20,2706,66,27,0,78
North Dakota,6/5/20,2745,71,39,5,79
North Dakota,6/6/20,2816,72,71,1,80
North Dakota,6/7/20,2861,72,45,0,81
North Dakota,6/8/20,2880,72,19,0,82
North Dakota,6/9/20,2901,72,21,0,83
North Dakota,6/10/20,2941,73,40,1,84
North Dakota,6/11/20,2980,74,39,1,85
North Dakota,6/12/20,3016,74,36,0,86
North Dakota,6/13/20,3058,74,42,0,87
North Dakota,6/14/20,3080,74,22,0,88
North Dakota,6/15/20,3101,74,21,0,89
North Dakota,6/16/20,3124,74,23,0,90
North Dakota,6/17/20,3166,74,42,0,91
North Dakota,6/18/20,3193,75,27,1,92
North Dakota,6/19/20,3226,76,33,1,93
North Dakota,6/20/20,3251,76,25,0,94
North Dakota,6/21/20,3288,77,37,1,95
North Dakota,6/22/20,3313,77,25,0,96
North Dakota,6/23/20,3320,78,7,1,97
North Dakota,6/24/20,3362,78,42,0,98
North Dakota,6/25/20,3393,78,31,0,99
North Dakota,6/26/20,3421,78,28,0,100
North Dakota,6/27/20,3458,78,37,0,101
North Dakota,6/28/20,3495,79,37,1,102
North Dakota,6/29/20,3539,79,44,0,103
North Dakota,6/30/20,3576,79,37,0,104
North Dakota,7/1/20,3615,80,39,1,105
North Dakota,7/2/20,3657,80,42,0,106
North Dakota,7/3/20,3722,80,65,0,107
North Dakota,7/4/20,3779,80,57,0,108
North Dakota,7/5/20,3816,80,37,0,109
North Dakota,7/6/20,3849,80,33,0,110
North Dakota,7/7/20,3898,84,49,4,111
North Dakota,7/8/20,3971,85,73,1,112
North Dakota,7/9/20,4071,85,100,0,113
North Dakota,7/10/20,4155,85,84,0,114
North Dakota,7/11/20,4243,87,88,2,115
North Dakota,7/12/20,4334,87,91,0,116
North Dakota,7/13/20,4442,87,108,0,117
North Dakota,7/14/20,4493,88,51,1,118
North Dakota,7/15/20,4565,88,72,0,119
North Dakota,7/16/20,4668,89,103,1,120
North Dakota,7/17/20,4792,90,124,1,121
North Dakota,7/18/20,4907,90,115,0,122
North Dakota,7/19/20,5019,92,112,2,123
North Dakota,7/20/20,5126,93,107,1,124
North Dakota,7/21/20,5207,94,81,1,125
North Dakota,7/22/20,5367,96,160,2,126
North Dakota,7/23/20,5493,97,126,1,127
North Dakota,7/24/20,5614,99,121,2,128
North Dakota,7/25/20,5736,99,122,0,129
North Dakota,7/26/20,5876,99,140,0,130
North Dakota,7/27/20,5986,99,110,0,131
North Dakota,7/28/20,6141,100,155,1,132
North Dakota,7/29/20,6227,102,86,2,133
North Dakota,7/30/20,6301,103,74,1,134
North Dakota,7/31/20,6469,103,168,0,135
North Dakota,8/1/20,6602,103,133,0,136
North Dakota,8/2/20,6660,105,58,2,137
North Dakota,8/3/20,6785,105,125,0,138
North Dakota,8/4/20,6933,107,148,2,139
