state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Wisconsin,3/13/20,19,0,11,0,1
Wisconsin,3/14/20,27,0,8,0,2
Wisconsin,3/15/20,28,0,1,0,3
Wisconsin,3/16/20,48,0,20,0,4
Wisconsin,3/17/20,73,0,25,0,5
Wisconsin,3/18/20,111,0,38,0,6
Wisconsin,3/19/20,159,3,48,3,7
Wisconsin,3/20/20,219,4,60,1,8
Wisconsin,3/21/20,282,4,63,0,9
Wisconsin,3/22/20,381,4,99,0,10
Wisconsin,3/23/20,425,4,44,0,11
Wisconsin,3/24/20,481,6,56,2,12
Wisconsin,3/25/20,621,10,140,4,13
Wisconsin,3/26/20,728,17,107,7,14
Wisconsin,3/27/20,926,19,198,2,15
Wisconsin,3/28/20,1055,22,129,3,16
Wisconsin,3/29/20,1164,29,109,7,17
Wisconsin,3/30/20,1230,35,66,6,18
Wisconsin,3/31/20,1412,43,182,8,19
Wisconsin,4/1/20,1556,54,144,11,20
Wisconsin,4/2/20,1748,67,192,13,21
Wisconsin,4/3/20,2012,86,264,19,22
Wisconsin,4/4/20,2030,102,18,16,23
Wisconsin,4/5/20,2320,106,290,4,24
Wisconsin,4/6/20,2449,116,129,10,25
Wisconsin,4/7/20,2578,123,129,7,26
Wisconsin,4/8/20,2710,140,132,17,27
Wisconsin,4/9/20,2886,154,176,14,28
Wisconsin,4/10/20,3068,164,182,10,29
Wisconsin,4/11/20,3213,177,145,13,30
Wisconsin,4/12/20,3341,183,128,6,31
Wisconsin,4/13/20,3428,195,87,12,32
Wisconsin,4/14/20,3555,204,127,9,33
Wisconsin,4/15/20,3721,214,166,10,34
Wisconsin,4/16/20,3875,225,154,11,35
Wisconsin,4/17/20,4053,233,178,8,36
Wisconsin,4/18/20,4199,249,146,16,37
Wisconsin,4/19/20,4346,258,147,9,38
Wisconsin,4/20/20,4499,262,153,4,39
Wisconsin,4/21/20,4625,269,126,7,40
Wisconsin,4/22/20,4845,277,220,8,41
Wisconsin,4/23/20,5052,282,207,5,42
Wisconsin,4/24/20,5356,291,304,9,43
Wisconsin,4/25/20,5687,299,331,8,44
Wisconsin,4/26/20,5912,310,225,11,45
Wisconsin,4/27/20,6081,320,169,10,46
Wisconsin,4/28/20,6289,338,208,18,47
Wisconsin,4/29/20,6520,352,231,14,48
Wisconsin,4/30/20,6854,357,334,5,49
Wisconsin,5/1/20,7314,367,460,10,50
Wisconsin,5/2/20,7660,374,346,7,51
Wisconsin,5/3/20,7964,385,304,11,52
Wisconsin,5/4/20,8236,392,272,7,53
Wisconsin,5/5/20,8566,401,330,9,54
Wisconsin,5/6/20,8901,405,335,4,55
Wisconsin,5/7/20,9215,413,314,8,56
Wisconsin,5/8/20,9590,428,375,15,57
Wisconsin,5/9/20,9939,434,349,6,58
Wisconsin,5/10/20,10219,447,280,13,59
Wisconsin,5/11/20,10418,452,199,5,60
Wisconsin,5/12/20,10611,462,193,10,61
Wisconsin,5/13/20,10902,468,291,6,62
Wisconsin,5/14/20,11275,478,373,10,63
Wisconsin,5/15/20,11685,483,410,5,64
Wisconsin,5/16/20,12187,488,502,5,65
