state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
New Jersey,3/10/20,15,1,10,1,1
New Jersey,3/11/20,23,1,8,0,2
New Jersey,3/12/20,29,1,6,0,3
New Jersey,3/13/20,49,1,20,0,4
New Jersey,3/14/20,69,1,20,0,5
New Jersey,3/15/20,72,2,3,1,6
New Jersey,3/16/20,176,2,104,0,7
New Jersey,3/17/20,250,4,74,2,8
New Jersey,3/18/20,397,7,147,3,9
New Jersey,3/19/20,741,13,344,6,10
New Jersey,3/20/20,890,16,149,3,11
New Jersey,3/21/20,1327,22,437,6,12
New Jersey,3/22/20,1914,29,587,7,13
New Jersey,3/23/20,2844,40,930,11,14
New Jersey,3/24/20,3675,60,831,20,15
New Jersey,3/25/20,4402,81,727,21,16
New Jersey,3/26/20,6876,109,2474,28,17
New Jersey,3/27/20,8825,141,1949,32,18
New Jersey,3/28/20,11124,192,2299,51,19
New Jersey,3/29/20,13386,219,2262,27,20
New Jersey,3/30/20,16636,268,3250,49,21
New Jersey,3/31/20,18696,366,2060,98,22
New Jersey,4/1/20,22255,476,3559,110,23
New Jersey,4/2/20,25590,681,3335,205,24
New Jersey,4/3/20,29895,817,4305,136,25
New Jersey,4/4/20,34124,1059,4229,242,26
New Jersey,4/5/20,37505,1185,3381,126,27
New Jersey,4/6/20,41090,1337,3585,152,28
New Jersey,4/7/20,44416,1633,3326,296,29
New Jersey,4/8/20,47437,1974,3021,341,30
New Jersey,4/9/20,51027,2250,3590,276,31
New Jersey,4/10/20,54588,2529,3561,279,32
New Jersey,4/11/20,58151,2854,3563,325,33
New Jersey,4/12/20,61850,3096,3699,242,34
New Jersey,4/13/20,64584,3263,2734,167,35
New Jersey,4/14/20,68824,3678,4240,415,36
New Jersey,4/15/20,71030,4088,2206,410,37
New Jersey,4/16/20,75317,4510,4287,422,38
New Jersey,4/17/20,78467,4881,3150,371,39
New Jersey,4/18/20,81420,5169,2953,288,40
New Jersey,4/19/20,85301,5505,3881,336,41
New Jersey,4/20/20,88722,5678,3421,173,42
New Jersey,4/21/20,92387,5974,3665,296,43
New Jersey,4/22/20,95914,6407,3527,433,44
New Jersey,4/23/20,100025,6713,4111,306,45
New Jersey,4/24/20,102196,7003,2171,290,46
New Jersey,4/25/20,105498,7274,3302,271,47
New Jersey,4/26/20,109038,7330,3540,56,48
New Jersey,4/27/20,111188,7473,2150,143,49
New Jersey,4/28/20,113856,7904,2668,431,50
New Jersey,4/29/20,116365,8254,2509,350,51
New Jersey,4/30/20,118652,8737,2287,483,52
New Jersey,5/1/20,121203,9072,2551,335,53
New Jersey,5/2/20,123735,9302,2532,230,54
New Jersey,5/3/20,126763,9456,3028,154,55
New Jersey,5/4/20,128296,9519,1533,63,56
New Jersey,5/5/20,130628,9863,2332,344,57
New Jersey,5/6/20,131928,10187,1300,324,58
New Jersey,5/7/20,134037,10460,2109,273,59
New Jersey,5/8/20,135899,10635,1862,175,60
New Jersey,5/9/20,137464,10805,1565,170,61
New Jersey,5/10/20,138823,10962,1359,157,62
New Jersey,5/11/20,140289,11053,1466,91,63
New Jersey,5/12/20,141016,11256,727,203,64
New Jersey,5/13/20,141673,11448,657,192,65
New Jersey,5/14/20,142834,11689,1161,241,66
New Jersey,5/15/20,144124,11895,1290,206,67
New Jersey,5/16/20,145233,12013,1109,118,68
New Jersey,5/17/20,146653,12118,1420,105,69
New Jersey,5/18/20,148401,12200,1748,82,70
New Jersey,5/19/20,149533,12349,1132,149,71
New Jersey,5/20/20,150976,12520,1443,171,72
New Jersey,5/21/20,151802,12623,826,103,73
New Jersey,5/22/20,152818,12769,1016,146,74
New Jersey,5/23/20,153383,12869,565,100,75
New Jersey,5/24/20,154402,12927,1019,58,76
New Jersey,5/25/20,155343,12941,941,14,77
New Jersey,5/26/20,156030,12994,687,53,78
New Jersey,5/27/20,156909,13143,879,149,79
New Jersey,5/28/20,157485,13218,576,75,80
New Jersey,5/29/20,159152,13345,1667,127,81
New Jersey,5/30/20,159922,13450,770,105,82
New Jersey,5/31/20,160760,13518,838,68,83
New Jersey,6/1/20,161246,13547,486,29,84
New Jersey,6/2/20,161904,13599,658,52,85
New Jersey,6/3/20,162445,13710,541,111,86
New Jersey,6/4/20,162923,13805,478,95,87
New Jersey,6/5/20,163748,13887,825,82,88
New Jersey,6/6/20,164314,13945,566,58,89
New Jersey,6/7/20,164593,14016,279,71,90
New Jersey,6/8/20,164941,14055,348,39,91
New Jersey,6/9/20,165257,14148,316,93,92
New Jersey,6/10/20,165823,14224,566,76,93
New Jersey,6/11/20,166318,14291,495,67,94
New Jersey,6/12/20,166685,14341,367,50,95
New Jersey,6/13/20,167141,14476,456,135,96
New Jersey,6/14/20,167425,14515,284,39,97
New Jersey,6/15/20,167669,14565,244,50,98
New Jersey,6/16/20,168022,14651,353,86,99
New Jersey,6/17/20,168323,14694,301,43,100
New Jersey,6/18/20,168748,14729,425,35,101
New Jersey,6/19/20,169167,14762,419,33,102
New Jersey,6/20/20,169522,14785,355,23,103
New Jersey,6/21/20,169843,14802,321,17,104
New Jersey,6/22/20,170148,14840,305,38,105
New Jersey,6/23/20,170506,14893,358,53,106
New Jersey,6/24/20,170683,14944,177,51,107
New Jersey,6/25/20,171018,14872,335,-72,108
New Jersey,6/26/20,171430,14914,412,42,109
New Jersey,6/27/20,171741,14948,311,34,110
New Jersey,6/28/20,172066,14975,325,27,111
New Jersey,6/29/20,172199,14992,133,17,112
New Jersey,6/30/20,172633,15035,434,43,113
New Jersey,7/1/20,172934,15078,301,43,114
New Jersey,7/2/20,173411,15107,477,29,115
New Jersey,7/3/20,173829,15164,418,57,116
New Jersey,7/4/20,174132,15189,303,25,117
New Jersey,7/5/20,174524,15211,392,22,118
New Jersey,7/6/20,174766,15229,242,18,119
New Jersey,7/7/20,175089,15281,323,52,120
New Jersey,7/8/20,175288,15332,199,51,121
New Jersey,7/9/20,175567,15448,279,116,122
New Jersey,7/10/20,175964,15479,397,31,123
New Jersey,7/11/20,176332,15525,368,46,124
New Jersey,7/12/20,176708,15525,376,0,125
New Jersey,7/13/20,176995,15560,287,35,126
New Jersey,7/14/20,177450,15582,455,22,127
New Jersey,7/15/20,177863,15634,413,52,128
New Jersey,7/16/20,178137,15665,274,31,129
New Jersey,7/17/20,178234,15684,97,19,130
New Jersey,7/18/20,178523,15699,289,15,131
New Jersey,7/19/20,178515,15706,-8,7,132
New Jersey,7/20/20,178755,15715,240,9,133
New Jersey,7/21/20,179106,15737,351,22,134
New Jersey,7/22/20,179549,15707,443,-30,135
New Jersey,7/23/20,179834,15730,285,23,136
New Jersey,7/24/20,180332,15765,498,35,137
New Jersey,7/25/20,180881,15776,549,11,138
New Jersey,7/26/20,181415,15787,534,11,139
New Jersey,7/27/20,181910,15804,495,17,140
New Jersey,7/28/20,182457,15825,547,21,141
New Jersey,7/29/20,182797,15798,340,-27,142
New Jersey,7/30/20,183205,15809,408,11,143
New Jersey,7/31/20,183953,15819,748,10,144
New Jersey,8/1/20,184358,15830,405,11,145
New Jersey,8/2/20,184709,15836,351,6,146
New Jersey,8/3/20,185017,15846,308,10,147
New Jersey,8/4/20,185410,15857,393,11,148
New Jersey,8/5/20,185810,15842,400,-15,149
New Jersey,8/6/20,186233,15849,423,7,150
New Jersey,8/7/20,186640,15849,407,0,151
New Jersey,8/8/20,187033,15869,393,20,152
New Jersey,8/9/20,187399,15874,366,5,153
