state,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
New York,3/5/20,21,0,11,0,1
New York,3/6/20,24,0,3,0,2
New York,3/7/20,76,0,52,0,3
New York,3/8/20,105,0,29,0,4
New York,3/9/20,138,0,33,0,5
New York,3/10/20,152,0,14,0,6
New York,3/11/20,216,1,64,1,7
New York,3/12/20,296,1,80,0,8
New York,3/13/20,379,1,83,0,9
New York,3/14/20,557,5,178,4,10
New York,3/15/20,633,10,76,5,11
New York,3/16/20,961,21,328,11,12
New York,3/17/20,1407,35,446,14,13
New York,3/18/20,2507,60,1100,25,14
New York,3/19/20,4221,88,1714,28,15
New York,3/20/20,7660,143,3439,55,16
New York,3/21/20,10410,195,2750,52,17
New York,3/22/20,15191,249,4781,54,18
New York,3/23/20,20884,351,5693,102,19
New York,3/24/20,25681,475,4797,124,20
New York,3/25/20,30841,632,5160,157,21
New York,3/26/20,37397,867,6556,235,22
New York,3/27/20,44701,1139,7304,272,23
New York,3/28/20,52400,1492,7699,353,24
New York,3/29/20,59648,1874,7248,382,25
New York,3/30/20,66663,2286,7015,412,26
New York,3/31/20,75853,2775,9190,489,27
New York,4/1/20,90377,3411,14524,636,28
New York,4/2/20,100780,4138,10403,727,29
New York,4/3/20,111455,4899,10675,761,30
New York,4/4/20,121705,5686,10250,787,31
New York,4/5/20,132700,6596,10995,910,32
New York,4/6/20,142561,7657,9861,1061,33
New York,4/7/20,149974,8930,7413,1273,34
New York,4/8/20,160185,9879,10211,949,35
New York,4/9/20,172256,10929,12071,1050,36
New York,4/10/20,183729,11850,11473,921,37
New York,4/11/20,192262,12772,8533,922,38
New York,4/12/20,200635,13710,8373,938,39
New York,4/13/20,208488,14728,7853,1018,40
New York,4/14/20,215959,15608,7471,880,41
New York,4/15/20,222617,16394,6658,786,42
New York,4/16/20,230506,17137,7889,743,43
New York,4/17/20,237492,17614,6986,477,44
New York,4/18/20,244369,18175,6877,561,45
New York,4/19/20,251013,18699,6644,524,46
New York,4/20/20,257399,19670,6386,971,47
New York,4/21/20,262032,20341,4633,671,48
New York,4/22/20,266291,20859,4259,518,49
New York,4/23/20,271788,21516,5497,657,50
New York,4/24/20,278456,22069,6668,553,51
New York,4/25/20,287898,22505,9442,436,52
New York,4/26/20,293575,22910,5677,405,53
New York,4/27/20,297888,23391,4313,481,54
New York,4/28/20,300796,23726,2908,335,55
New York,4/29/20,303932,24172,3136,446,56
New York,4/30/20,308309,24542,4377,370,57
New York,5/1/20,312799,24911,4490,369,58
New York,5/2/20,317174,25201,4375,290,59
New York,5/3/20,320685,25484,3511,283,60
New York,5/4/20,323828,25837,3143,353,61
New York,5/5/20,325934,26119,2106,282,62
New York,5/6/20,328057,26689,2123,570,63
New York,5/7/20,331268,26916,3211,227,64
New York,5/8/20,334167,27233,2899,317,65
New York,5/9/20,336802,27454,2635,221,66
New York,5/10/20,339202,27627,2400,173,67
New York,5/11/20,341026,27824,1824,197,68
New York,5/12/20,342356,28042,1330,218,69
New York,5/13/20,343874,28247,1518,205,70
New York,5/14/20,346213,28408,2339,161,71
New York,5/15/20,348461,28673,2248,265,72
New York,5/16/20,350979,28845,2518,172,73
New York,5/17/20,353002,28971,2023,126,74
New York,5/18/20,354500,29454,1498,483,75
New York,5/19/20,355886,29652,1386,198,76
New York,5/20/20,357052,29717,1166,65,77
New York,5/21/20,358918,29790,1866,73,78
New York,5/22/20,360818,29864,1900,74,79
New York,5/23/20,362889,30032,2071,168,80
New York,5/24/20,364697,30125,1808,93,81
New York,5/25/20,366388,30249,1691,124,82
New York,5/26/20,367349,30276,961,27,83
New York,5/27/20,368282,30462,933,186,84
New York,5/28/20,369438,30482,1156,20,85
New York,5/29/20,371101,30578,1663,96,86
New York,5/30/20,372473,30649,1372,71,87
New York,5/31/20,373682,30699,1209,50,88
New York,6/1/20,374818,30832,1136,133,89
New York,6/2/20,375887,30910,1069,78,90
New York,6/3/20,376676,30964,789,54,91
New York,6/4/20,377888,31093,1212,129,92
New York,6/5/20,379011,31120,1123,27,93
New York,6/6/20,380066,31141,1055,21,94
New York,6/7/20,380923,31226,857,85,95
New York,6/8/20,381659,31287,736,61,96
New York,6/9/20,382257,31327,598,40,97
New York,6/10/20,382718,31390,461,63,98
New York,6/11/20,383528,31404,810,14,99
New York,6/12/20,384344,31554,816,150,100
New York,6/13/20,385104,31568,760,14,101
New York,6/14/20,385797,31595,693,27,102
New York,6/15/20,386464,31628,667,33,103
New York,6/16/20,386973,31678,509,50,104
New York,6/17/20,387384,31696,411,18,105
New York,6/18/20,388083,31728,699,32,106
New York,6/19/20,388907,31747,824,19,107
New York,6/20/20,389602,31817,695,70,108
New York,6/21/20,390268,31854,666,37,109
New York,6/22/20,390910,31890,642,36,110
New York,6/23/20,391411,31952,501,62,111
New York,6/24/20,391884,31974,473,22,112
New York,6/25/20,392698,32007,814,33,113
New York,6/26/20,393527,32030,829,23,114
New York,6/27/20,394261,32051,734,21,115
New York,6/28/20,394872,32078,611,27,116
New York,6/29/20,395406,32109,534,31,117
New York,6/30/20,395909,32070,503,-39,118
New York,7/1/20,396456,32088,547,18,119
New York,7/2/20,397363,32112,907,24,120
