country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Diamond Princess,2/7/20,61,0,61,0,1
Diamond Princess,2/8/20,61,0,0,0,2
Diamond Princess,2/9/20,64,0,3,0,3
Diamond Princess,2/10/20,135,0,71,0,4
Diamond Princess,2/11/20,135,0,0,0,5
Diamond Princess,2/12/20,175,0,40,0,6
Diamond Princess,2/13/20,175,0,0,0,7
Diamond Princess,2/14/20,218,0,43,0,8
Diamond Princess,2/15/20,285,0,67,0,9
Diamond Princess,2/16/20,355,0,70,0,10
Diamond Princess,2/17/20,454,0,99,0,11
Diamond Princess,2/18/20,542,0,88,0,12
Diamond Princess,2/19/20,621,0,79,0,13
Diamond Princess,2/20/20,634,2,13,2,14
Diamond Princess,2/21/20,634,2,0,0,15
Diamond Princess,2/22/20,634,2,0,0,16
Diamond Princess,2/23/20,691,3,57,1,17
Diamond Princess,2/24/20,691,3,0,0,18
Diamond Princess,2/25/20,691,3,0,0,19
Diamond Princess,2/26/20,705,4,14,1,20
Diamond Princess,2/27/20,705,4,0,0,21
Diamond Princess,2/28/20,705,6,0,2,22
Diamond Princess,2/29/20,705,6,0,0,23
Diamond Princess,3/1/20,705,6,0,0,24
Diamond Princess,3/2/20,705,6,0,0,25
Diamond Princess,3/3/20,706,6,1,0,26
Diamond Princess,3/4/20,706,6,0,0,27
Diamond Princess,3/5/20,706,6,0,0,28
Diamond Princess,3/6/20,706,6,0,0,29
Diamond Princess,3/7/20,706,6,0,0,30
Diamond Princess,3/8/20,706,6,0,0,31
Diamond Princess,3/9/20,706,6,0,0,32
Diamond Princess,3/10/20,706,6,0,0,33
Diamond Princess,3/11/20,706,7,0,1,34
Diamond Princess,3/12/20,706,7,0,0,35
Diamond Princess,3/13/20,706,7,0,0,36
Diamond Princess,3/14/20,706,7,0,0,37
Diamond Princess,3/15/20,706,7,0,0,38
Diamond Princess,3/16/20,706,7,0,0,39
Diamond Princess,3/17/20,706,7,0,0,40
Diamond Princess,3/18/20,712,7,6,0,41
Diamond Princess,3/19/20,712,7,0,0,42
Diamond Princess,3/20/20,712,7,0,0,43
Diamond Princess,3/21/20,712,8,0,1,44
Diamond Princess,3/22/20,712,8,0,0,45
Diamond Princess,3/23/20,712,8,0,0,46
Diamond Princess,3/24/20,712,10,0,2,47
Diamond Princess,3/25/20,712,10,0,0,48
Diamond Princess,3/26/20,712,10,0,0,49
Diamond Princess,3/27/20,712,10,0,0,50
Diamond Princess,3/28/20,712,10,0,0,51
Diamond Princess,3/29/20,712,10,0,0,52
Diamond Princess,3/30/20,712,10,0,0,53
Diamond Princess,3/31/20,712,10,0,0,54
Diamond Princess,4/1/20,712,11,0,1,55
Diamond Princess,4/2/20,712,11,0,0,56
Diamond Princess,4/3/20,712,11,0,0,57
Diamond Princess,4/4/20,712,11,0,0,58
Diamond Princess,4/5/20,712,11,0,0,59
Diamond Princess,4/6/20,712,11,0,0,60
Diamond Princess,4/7/20,712,11,0,0,61
Diamond Princess,4/8/20,712,11,0,0,62
Diamond Princess,4/9/20,712,11,0,0,63
Diamond Princess,4/10/20,712,11,0,0,64
Diamond Princess,4/11/20,712,11,0,0,65
Diamond Princess,4/12/20,712,11,0,0,66
Diamond Princess,4/13/20,712,11,0,0,67
Diamond Princess,4/14/20,712,12,0,1,68
Diamond Princess,4/15/20,712,12,0,0,69
Diamond Princess,4/16/20,712,12,0,0,70
Diamond Princess,4/17/20,712,13,0,1,71
Diamond Princess,4/18/20,712,13,0,0,72
