country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Germany,2/26/20,27,0,10,0,1
Germany,2/27/20,46,0,19,0,2
Germany,2/28/20,48,0,2,0,3
Germany,2/29/20,79,0,31,0,4
Germany,3/1/20,130,0,51,0,5
Germany,3/2/20,159,0,29,0,6
Germany,3/3/20,196,0,37,0,7
Germany,3/4/20,262,0,66,0,8
Germany,3/5/20,482,0,220,0,9
Germany,3/6/20,670,0,188,0,10
Germany,3/7/20,799,0,129,0,11
Germany,3/8/20,1040,0,241,0,12
Germany,3/9/20,1176,2,136,2,13
Germany,3/10/20,1457,2,281,0,14
Germany,3/11/20,1908,3,451,1,15
Germany,3/12/20,2078,3,170,0,16
Germany,3/13/20,3675,7,1597,4,17
Germany,3/14/20,4585,9,910,2,18
Germany,3/15/20,5795,11,1210,2,19
Germany,3/16/20,7272,17,1477,6,20
Germany,3/17/20,9257,24,1985,7,21
Germany,3/18/20,12327,28,3070,4,22
Germany,3/19/20,15320,44,2993,16,23
Germany,3/20/20,19848,67,4528,23,24
Germany,3/21/20,22213,84,2365,17,25
Germany,3/22/20,24873,94,2660,10,26
Germany,3/23/20,29056,123,4183,29,27
Germany,3/24/20,32986,157,3930,34,28
Germany,3/25/20,37323,206,4337,49,29
Germany,3/26/20,43938,267,6615,61,30
Germany,3/27/20,50871,342,6933,75,31
Germany,3/28/20,57695,433,6824,91,32
Germany,3/29/20,62095,533,4400,100,33
Germany,3/30/20,66885,645,4790,112,34
Germany,3/31/20,71808,775,4923,130,35
Germany,4/1/20,77872,920,6064,145,36
Germany,4/2/20,84794,1107,6922,187,37
Germany,4/3/20,91159,1275,6365,168,38
Germany,4/4/20,96092,1444,4933,169,39
Germany,4/5/20,100123,1584,4031,140,40
Germany,4/6/20,103374,1810,3251,226,41
Germany,4/7/20,107663,2016,4289,206,42
Germany,4/8/20,113296,2349,5633,333,43
Germany,4/9/20,118181,2607,4885,258,44
Germany,4/10/20,122171,2767,3990,160,45
Germany,4/11/20,124908,2736,2737,-31,46
Germany,4/12/20,127854,3022,2946,286,47
Germany,4/13/20,130072,3194,2218,172,48
Germany,4/14/20,131359,3294,1287,100,49
Germany,4/15/20,134753,3804,3394,510,50
Germany,4/16/20,137698,4052,2945,248,51
Germany,4/17/20,141397,4352,3699,300,52
