country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Guyana,3/23/20,20,1,1,0,1
Guyana,3/24/20,5,1,-15,0,2
Guyana,3/25/20,5,1,0,0,3
Guyana,3/26/20,5,1,0,0,4
Guyana,3/27/20,5,1,0,0,5
Guyana,3/28/20,8,1,3,0,6
Guyana,3/29/20,8,1,0,0,7
Guyana,3/30/20,8,1,0,0,8
Guyana,3/31/20,12,2,4,1,9
Guyana,4/1/20,19,2,7,0,10
Guyana,4/2/20,19,4,0,2,11
Guyana,4/3/20,23,4,4,0,12
Guyana,4/4/20,23,4,0,0,13
Guyana,4/5/20,24,4,1,0,14
Guyana,4/6/20,31,4,7,0,15
Guyana,4/7/20,33,5,2,1,16
Guyana,4/8/20,37,6,4,1,17
Guyana,4/9/20,37,6,0,0,18
Guyana,4/10/20,37,6,0,0,19
Guyana,4/11/20,45,6,8,0,20
Guyana,4/12/20,45,6,0,0,21
Guyana,4/13/20,45,6,0,0,22
Guyana,4/14/20,47,6,2,0,23
Guyana,4/15/20,55,6,8,0,24
Guyana,4/16/20,55,6,0,0,25
Guyana,4/17/20,63,6,8,0,26
