country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Kenya,3/24/20,25,0,9,0,1
Kenya,3/25/20,28,0,3,0,2
Kenya,3/26/20,31,1,3,1,3
Kenya,3/27/20,31,1,0,0,4
Kenya,3/28/20,38,1,7,0,5
Kenya,3/29/20,42,1,4,0,6
Kenya,3/30/20,50,1,8,0,7
Kenya,3/31/20,59,1,9,0,8
Kenya,4/1/20,81,1,22,0,9
Kenya,4/2/20,110,3,29,2,10
Kenya,4/3/20,122,4,12,1,11
Kenya,4/4/20,126,4,4,0,12
Kenya,4/5/20,142,4,16,0,13
Kenya,4/6/20,158,6,16,2,14
Kenya,4/7/20,172,6,14,0,15
Kenya,4/8/20,179,6,7,0,16
Kenya,4/9/20,184,7,5,1,17
Kenya,4/10/20,189,7,5,0,18
Kenya,4/11/20,191,7,2,0,19
Kenya,4/12/20,197,8,6,1,20
Kenya,4/13/20,208,9,11,1,21
Kenya,4/14/20,216,9,8,0,22
Kenya,4/15/20,225,10,9,1,23
Kenya,4/16/20,234,11,9,1,24
Kenya,4/17/20,246,11,12,0,25
Kenya,4/18/20,262,12,16,1,26
