country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Norway,3/2/20,25,0,6,0,1
Norway,3/3/20,32,0,7,0,2
Norway,3/4/20,56,0,24,0,3
Norway,3/5/20,87,0,31,0,4
Norway,3/6/20,108,0,21,0,5
Norway,3/7/20,147,0,39,0,6
Norway,3/8/20,176,0,29,0,7
Norway,3/9/20,205,0,29,0,8
Norway,3/10/20,400,0,195,0,9
Norway,3/11/20,598,0,198,0,10
Norway,3/12/20,702,0,104,0,11
Norway,3/13/20,996,0,294,0,12
Norway,3/14/20,1090,3,94,3,13
Norway,3/15/20,1221,3,131,0,14
Norway,3/16/20,1333,3,112,0,15
Norway,3/17/20,1463,3,130,0,16
Norway,3/18/20,1550,6,87,3,17
Norway,3/19/20,1746,7,196,1,18
Norway,3/20/20,1914,7,168,0,19
Norway,3/21/20,2118,7,204,0,20
Norway,3/22/20,2385,7,267,0,21
Norway,3/23/20,2621,10,236,3,22
Norway,3/24/20,2863,12,242,2,23
Norway,3/25/20,3084,14,221,2,24
Norway,3/26/20,3369,14,285,0,25
Norway,3/27/20,3755,19,386,5,26
Norway,3/28/20,4015,23,260,4,27
Norway,3/29/20,4284,25,269,2,28
Norway,3/30/20,4445,32,161,7,29
Norway,3/31/20,4641,39,196,7,30
Norway,4/1/20,4863,44,222,5,31
Norway,4/2/20,5147,50,284,6,32
Norway,4/3/20,5370,59,223,9,33
Norway,4/4/20,5550,62,180,3,34
Norway,4/5/20,5687,71,137,9,35
Norway,4/6/20,5865,76,178,5,36
Norway,4/7/20,6086,89,221,13,37
Norway,4/8/20,6086,101,0,12,38
Norway,4/9/20,6211,108,125,7,39
Norway,4/10/20,6314,113,103,5,40
Norway,4/11/20,6409,119,95,6,41
Norway,4/12/20,6525,128,116,9,42
Norway,4/13/20,6603,134,78,6,43
Norway,4/14/20,6623,139,20,5,44
Norway,4/15/20,6740,150,117,11,45
Norway,4/16/20,6896,152,156,2,46
Norway,4/17/20,6937,161,41,9,47
