country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Jamaica,3/24/20,21,1,2,0,1
Jamaica,3/25/20,26,1,5,0,2
Jamaica,3/26/20,26,1,0,0,3
Jamaica,3/27/20,26,1,0,0,4
Jamaica,3/28/20,30,1,4,0,5
Jamaica,3/29/20,32,1,2,0,6
Jamaica,3/30/20,36,1,4,0,7
Jamaica,3/31/20,36,1,0,0,8
Jamaica,4/1/20,44,3,8,2,9
Jamaica,4/2/20,47,3,3,0,10
Jamaica,4/3/20,47,3,0,0,11
Jamaica,4/4/20,53,3,6,0,12
Jamaica,4/5/20,58,3,5,0,13
Jamaica,4/6/20,58,3,0,0,14
Jamaica,4/7/20,63,3,5,0,15
Jamaica,4/8/20,63,4,0,1,16
Jamaica,4/9/20,63,4,0,0,17
Jamaica,4/10/20,63,4,0,0,18
Jamaica,4/11/20,65,4,2,0,19
Jamaica,4/12/20,69,4,4,0,20
Jamaica,4/13/20,73,4,4,0,21
Jamaica,4/14/20,73,4,0,0,22
Jamaica,4/15/20,125,5,52,1,23
Jamaica,4/16/20,143,5,18,0,24
Jamaica,4/17/20,143,5,0,0,25
Jamaica,4/18/20,163,5,20,0,26
Jamaica,4/19/20,173,5,10,0,27
