country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
El Salvador,3/29/20,24,0,5,0,1
El Salvador,3/30/20,30,0,6,0,2
El Salvador,3/31/20,32,1,2,1,3
El Salvador,4/1/20,32,1,0,0,4
El Salvador,4/2/20,41,2,9,1,5
El Salvador,4/3/20,46,2,5,0,6
El Salvador,4/4/20,56,3,10,1,7
El Salvador,4/5/20,62,3,6,0,8
El Salvador,4/6/20,69,4,7,1,9
El Salvador,4/7/20,78,4,9,0,10
El Salvador,4/8/20,93,5,15,1,11
El Salvador,4/9/20,103,6,10,1,12
El Salvador,4/10/20,117,6,14,0,13
El Salvador,4/11/20,118,6,1,0,14
El Salvador,4/12/20,125,6,7,0,15
El Salvador,4/13/20,137,6,12,0,16
El Salvador,4/14/20,149,6,12,0,17
El Salvador,4/15/20,159,6,10,0,18
El Salvador,4/16/20,164,6,5,0,19
El Salvador,4/17/20,177,7,13,1,20
El Salvador,4/18/20,190,7,13,0,21
El Salvador,4/19/20,201,7,11,0,22
El Salvador,4/20/20,218,7,17,0,23
