country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Bosnia and Herzegovina,3/15/20,24,0,6,0,1
Bosnia and Herzegovina,3/16/20,25,0,1,0,2
Bosnia and Herzegovina,3/17/20,26,0,1,0,3
Bosnia and Herzegovina,3/18/20,38,0,12,0,4
Bosnia and Herzegovina,3/19/20,63,0,25,0,5
Bosnia and Herzegovina,3/20/20,89,0,26,0,6
Bosnia and Herzegovina,3/21/20,93,1,4,1,7
Bosnia and Herzegovina,3/22/20,126,1,33,0,8
Bosnia and Herzegovina,3/23/20,136,1,10,0,9
Bosnia and Herzegovina,3/24/20,166,3,30,2,10
Bosnia and Herzegovina,3/25/20,176,3,10,0,11
Bosnia and Herzegovina,3/26/20,191,3,15,0,12
Bosnia and Herzegovina,3/27/20,237,4,46,1,13
Bosnia and Herzegovina,3/28/20,258,5,21,1,14
Bosnia and Herzegovina,3/29/20,323,6,65,1,15
Bosnia and Herzegovina,3/30/20,368,10,45,4,16
Bosnia and Herzegovina,3/31/20,420,13,52,3,17
Bosnia and Herzegovina,4/1/20,459,13,39,0,18
Bosnia and Herzegovina,4/2/20,533,16,74,3,19
Bosnia and Herzegovina,4/3/20,579,17,46,1,20
Bosnia and Herzegovina,4/4/20,624,21,45,4,21
Bosnia and Herzegovina,4/5/20,654,23,30,2,22
Bosnia and Herzegovina,4/6/20,674,29,20,6,23
Bosnia and Herzegovina,4/7/20,764,33,90,4,24
Bosnia and Herzegovina,4/8/20,804,34,40,1,25
Bosnia and Herzegovina,4/9/20,858,35,54,1,26
Bosnia and Herzegovina,4/10/20,901,36,43,1,27
Bosnia and Herzegovina,4/11/20,946,37,45,1,28
Bosnia and Herzegovina,4/12/20,1009,39,63,2,29
Bosnia and Herzegovina,4/13/20,1037,39,28,0,30
Bosnia and Herzegovina,4/14/20,1083,40,46,1,31
Bosnia and Herzegovina,4/15/20,1110,41,27,1,32
Bosnia and Herzegovina,4/16/20,1167,43,57,2,33
Bosnia and Herzegovina,4/17/20,1214,46,47,3,34
Bosnia and Herzegovina,4/18/20,1268,47,54,1,35
Bosnia and Herzegovina,4/19/20,1285,48,17,1,36
Bosnia and Herzegovina,4/20/20,1309,49,24,1,37
Bosnia and Herzegovina,4/21/20,1342,51,33,2,38
Bosnia and Herzegovina,4/22/20,1368,53,26,2,39
