country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Niger,3/30/20,27,3,9,2,1
Niger,3/31/20,27,3,0,0,2
Niger,4/1/20,74,5,47,2,3
Niger,4/2/20,98,5,24,0,4
Niger,4/3/20,120,5,22,0,5
Niger,4/4/20,144,8,24,3,6
Niger,4/5/20,184,10,40,2,7
Niger,4/6/20,253,10,69,0,8
Niger,4/7/20,278,11,25,1,9
Niger,4/8/20,342,11,64,0,10
Niger,4/9/20,410,11,68,0,11
Niger,4/10/20,438,11,28,0,12
Niger,4/11/20,491,11,53,0,13
Niger,4/12/20,529,12,38,1,14
Niger,4/13/20,529,12,0,0,15
Niger,4/14/20,570,14,41,2,16
Niger,4/15/20,584,14,14,0,17
Niger,4/16/20,584,14,0,0,18
Niger,4/17/20,627,18,43,4,19
Niger,4/18/20,639,19,12,1,20
Niger,4/19/20,648,20,9,1,21
Niger,4/20/20,648,20,0,0,22
Niger,4/21/20,657,20,9,0,23
Niger,4/22/20,662,22,5,2,24
Niger,4/23/20,671,24,9,2,25
