country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Thailand,2/4/20,25,0,6,0,1
Thailand,2/5/20,25,0,0,0,2
Thailand,2/6/20,25,0,0,0,3
Thailand,2/7/20,25,0,0,0,4
Thailand,2/8/20,32,0,7,0,5
Thailand,2/9/20,32,0,0,0,6
Thailand,2/10/20,32,0,0,0,7
Thailand,2/11/20,33,0,1,0,8
Thailand,2/12/20,33,0,0,0,9
Thailand,2/13/20,33,0,0,0,10
Thailand,2/14/20,33,0,0,0,11
Thailand,2/15/20,33,0,0,0,12
Thailand,2/16/20,34,0,1,0,13
Thailand,2/17/20,35,0,1,0,14
Thailand,2/18/20,35,0,0,0,15
Thailand,2/19/20,35,0,0,0,16
Thailand,2/20/20,35,0,0,0,17
Thailand,2/21/20,35,0,0,0,18
Thailand,2/22/20,35,0,0,0,19
Thailand,2/23/20,35,0,0,0,20
Thailand,2/24/20,35,0,0,0,21
Thailand,2/25/20,37,0,2,0,22
Thailand,2/26/20,40,0,3,0,23
Thailand,2/27/20,40,0,0,0,24
Thailand,2/28/20,41,0,1,0,25
Thailand,2/29/20,42,0,1,0,26
Thailand,3/1/20,42,1,0,1,27
Thailand,3/2/20,43,1,1,0,28
Thailand,3/3/20,43,1,0,0,29
Thailand,3/4/20,43,1,0,0,30
Thailand,3/5/20,47,1,4,0,31
Thailand,3/6/20,48,1,1,0,32
Thailand,3/7/20,50,1,2,0,33
Thailand,3/8/20,50,1,0,0,34
Thailand,3/9/20,50,1,0,0,35
Thailand,3/10/20,53,1,3,0,36
Thailand,3/11/20,59,1,6,0,37
Thailand,3/12/20,70,1,11,0,38
Thailand,3/13/20,75,1,5,0,39
Thailand,3/14/20,82,1,7,0,40
Thailand,3/15/20,114,1,32,0,41
Thailand,3/16/20,147,1,33,0,42
Thailand,3/17/20,177,1,30,0,43
Thailand,3/18/20,212,1,35,0,44
Thailand,3/19/20,272,1,60,0,45
Thailand,3/20/20,322,1,50,0,46
Thailand,3/21/20,411,1,89,0,47
Thailand,3/22/20,599,1,188,0,48
Thailand,3/23/20,721,1,122,0,49
Thailand,3/24/20,827,4,106,3,50
Thailand,3/25/20,934,4,107,0,51
Thailand,3/26/20,1045,4,111,0,52
Thailand,3/27/20,1136,5,91,1,53
Thailand,3/28/20,1245,6,109,1,54
Thailand,3/29/20,1388,7,143,1,55
Thailand,3/30/20,1524,9,136,2,56
Thailand,3/31/20,1651,10,127,1,57
Thailand,4/1/20,1771,12,120,2,58
Thailand,4/2/20,1875,15,104,3,59
Thailand,4/3/20,1978,19,103,4,60
Thailand,4/4/20,2067,20,89,1,61
Thailand,4/5/20,2169,23,102,3,62
Thailand,4/6/20,2220,26,51,3,63
Thailand,4/7/20,2258,27,38,1,64
Thailand,4/8/20,2369,30,111,3,65
Thailand,4/9/20,2423,32,54,2,66
Thailand,4/10/20,2473,33,50,1,67
Thailand,4/11/20,2518,35,45,2,68
Thailand,4/12/20,2551,38,33,3,69
Thailand,4/13/20,2579,40,28,2,70
Thailand,4/14/20,2613,41,34,1,71
Thailand,4/15/20,2643,43,30,2,72
Thailand,4/16/20,2672,46,29,3,73
Thailand,4/17/20,2700,47,28,1,74
Thailand,4/18/20,2733,47,33,0,75
Thailand,4/19/20,2765,47,32,0,76
Thailand,4/20/20,2792,47,27,0,77
Thailand,4/21/20,2811,48,19,1,78
Thailand,4/22/20,2826,49,15,1,79
Thailand,4/23/20,2839,50,13,1,80
Thailand,4/24/20,2907,51,68,1,81
Thailand,4/25/20,2907,51,0,0,82
Thailand,4/26/20,2922,51,15,0,83
