country,tagged_day_zero,train_error,test_error,suggested_test_size
Afghanistan,156,0.7897641205657059,0.7888830637883288,0.30000000000000016
Albania,130,0.2706365403233338,0.2774699549099398,0.20000000000000004
Algeria,138,1.413759476817591,1.3907426313854876,0.3800000000000002
Andorra,60,0.20730976078731198,0.20909474696965472,0.21000000000000005
Angola,1672,0.014891977116456828,0.015137246101806816,0.20000000000000004
Antigua and Barbuda,17,0.0186562455363204,0.018510643540119113,0.24000000000000007
Argentina,128,1.3237596047693,1.3248602479574665,0.28000000000000014
Armenia,228,6.1789503653615885,6.0915790872292,0.28000000000000014
Australia,68,0.15366461286962574,0.15336467115947502,0.2500000000000001
Austria,74,1.069514063232607,1.0683242445508498,0.5600000000000004
Azerbaijan,73,0.15912176182422075,0.15840689828081017,0.4800000000000003
Bahamas,70,0.05418400443266424,0.05348028021973927,0.2500000000000001
Bahrain,180,0.20942558069925238,0.20858575587035277,0.4800000000000003
Bangladesh,85,0.45209084805710276,0.4499004172871875,0.3700000000000002
Barbados,30,0.0537224690913004,0.05231347307772078,0.5500000000000004
Belarus,110,0.7290267875760398,0.7399072843051401,0.5100000000000003
Belgium,125,2.4798906294922,3.5496489073413424,0.6600000000000005
Belize,-1,-1,-1,-1
Benin,263,0.0989797004395024,0.09954040631506891,0.23000000000000007
Bhutan,-1,-1,-1,-1
Bolivia,134,0.24134492452161058,0.24597095531069943,0.5400000000000004
Bosnia and Herzegovina,90,0.5227646333476282,0.532675674065699,0.3400000000000002
Botswana,36,0.0203656605437419,0.020328470505577817,0.5700000000000004
Brazil,200,9.16110980693473,9.438735769202871,0.27000000000000013
Brunei,-368971513,0.5632981737941575,0.5623372685992831,0.5100000000000003
Bulgaria,257,0.8818816218931403,0.8598263289747134,0.41000000000000025
Burkina Faso,65,0.35998690896783764,0.32739172884315904,0.15
Burma,38,0.21622006652012396,0.22093947116148205,0.5700000000000004
Burundi,-1,-1,-1,-1
Cabo Verde,411,0.047586299269494085,0.04838997484016463,0.20000000000000004
Cambodia,20,0.0635282117529049,0.06253069961160905,0.6100000000000004
Cameroon,107,0.8131703625067048,0.8207166981338649,0.4600000000000003
Canada,175,4.557131666796444,4.536240261632874,0.42000000000000026
Central African Republic,-1,-1,-1,-1
Chad,406,0.10073505510938192,0.09998797787386492,0.3800000000000002
Chile,130,3.5085948091682724,3.540121733922703,0.5800000000000004
China,79,0.38001556596076896,0.3701401504669161,0.31000000000000016
Colombia,131,1.5161046417930408,1.5185432999228483,0.28000000000000014
Comoros,-1,-1,-1,-1
Congo (Brazzaville),47,0.18847359294437396,0.1911102669400467,0.4400000000000003
Congo (Kinshasa),157,0.2997845162175203,0.3091045519773077,0.27000000000000013
Costa Rica,72,0.27545572903687177,0.2764881366146012,0.39000000000000024
Cote d'Ivoire,107,0.36156104727613897,0.11050075810785247,0.24000000000000007
Croatia,84,0.6143179575641293,0.6086855784657466,0.6500000000000005
Cuba,84,0.30014599419486765,0.25662249620153765,0.29000000000000015
Cyprus,67,0.05649287370953455,0.05706093379117816,0.4800000000000003
Czechia,87,1.0182135561770898,0.9869883945253293,0.5800000000000004
Denmark,124,2.4792631574827704,2.441705457734704,0.4500000000000003
Diamond Princess,28,0.11562172146608987,0.11619513155403896,0.6800000000000005
Djibouti,54,0.29484978381888116,0.29504173159767655,0.5800000000000004
Dominica,-1,-1,-1,-1
Dominican Republic,111,2.2472551089940316,2.224145146870043,0.3300000000000002
Ecuador,209,4.19417300162781,4.215854101672041,0.21000000000000005
Egypt,142,0.3243586201637484,0.32257976970260627,0.4600000000000003
El Salvador,99,0.13666732935536094,0.13648192740992943,0.5300000000000004
Equatorial Guinea,94,0.243629520676203,0.25151062931357665,0.28000000000000014
Eritrea,19,0.04301863959897943,0.043740995473203564,0.4700000000000003
Estonia,268,2.4369030414560333,2.4531264805072452,0.29000000000000015
Eswatini,25521,0.5334229959397979,0.536433597349036,0.3600000000000002
Ethiopia,55,0.03110457712833655,0.03022993599028994,0.19000000000000003
Fiji,-1,-1,-1,-1
Finland,120,1.2948645530532412,1.3135812929753838,0.3200000000000002
France,162,2.4257325320508767,2.3662795369989933,0.6200000000000004
Gabon,91,0.11797543560200473,0.11989700531867177,0.5500000000000004
Gambia,-1,-1,-1,-1
Georgia,117,0.05755034973659644,0.05797624474247895,0.16
Germany,122,5.580529518249091,5.619638804154982,0.24000000000000007
Ghana,117,0.3242597718455094,0.3095298630825361,0.5800000000000004
Greece,99,0.38016796667711306,0.3901120301339497,0.30000000000000016
Grenada,-1,-1,-1,-1
Guatemala,101,0.11055506357198965,0.11043096113224415,0.29000000000000015
Guinea,-217,7.049084017915779,7.0535583909729445,0.3600000000000002
Guinea-Bissau,-48888313,0.44987836010136467,0.4489971094175832,0.43000000000000027
Guyana,49,0.2382989139108233,0.24292548513367615,0.5600000000000004
Haiti,1689,0.6078275664053145,0.606722159119392,0.6200000000000004
Holy See,-1,-1,-1,-1
Honduras,95,0.6045366749959884,0.6039745285443334,0.16
Hungary,106,0.4028617534342298,0.40380302679431057,0.24000000000000007
Iceland,69,0.07242784976745976,0.0722302041872944,0.3400000000000002
India,136,1.0308631946464222,1.030246471470768,0.5300000000000004
Indonesia,125,1.1773473135465067,1.1678818193338572,0.3600000000000002
Iran,147,6.408686726008354,6.414358604920374,0.6600000000000005
Iraq,95,0.07102523675384428,0.06973613783982381,0.4900000000000003
Ireland,117,1.6324392577349716,1.616426610733707,0.39000000000000024
Israel,99,1.2005505323168608,1.2017244146305077,0.40000000000000024
Italy,167,15.852440462223914,9.925663650223532,0.27000000000000013
Jamaica,114,0.2231862391126517,0.22256112832849764,0.21000000000000005
Japan,181,0.4111596687897131,0.41140107678287285,0.6400000000000005
Jordan,55,0.19427328236010535,0.18029251026277454,0.2500000000000001
Kazakhstan,130,0.529196753181488,0.5334105918888669,0.5800000000000004
Kenya,89,0.2432982682101852,0.24384837408418497,0.28000000000000014
"Korea, South",92,5.017275419653479,5.017528250556519,0.3500000000000002
Kosovo,83,0.14443240603586802,0.14294861884317728,0.4700000000000003
Kuwait,180,0.20999925803276273,0.21260782508909956,0.15
Kyrgyzstan,66,0.06831095654800465,0.06948587350224796,0.5700000000000004
Laos,-1,-1,-1,-1
Latvia,69,0.23181273066544866,0.23111210923102304,0.6800000000000005
Lebanon,73,0.13613750576627107,0.14119125847429911,0.6700000000000005
Liberia,-223754370,0.7747395271408394,0.764917812082288,0.6200000000000004
Libya,-132547056,0.5479623997671824,0.5422056826797717,0.22000000000000006
Liechtenstein,27,0.050320916323199905,0.052052491748254076,0.42000000000000026
Lithuania,68,0.7683423577019366,0.761357750157929,0.3500000000000002
Luxembourg,62,1.0305998292624103,1.069851274074484,0.5500000000000004
MS Zaandam,-1,-1,-1,-1
Madagascar,7872,0.8572590597349192,0.8603616074451986,0.3500000000000002
Malawi,-1,-1,-1,-1
Malaysia,122,0.8682734725328869,0.8723741403613069,0.5300000000000004
Maldives,46,0.18876158908018162,0.18906294279454072,0.5200000000000004
Mali,85,0.06052484904339587,0.060219222311345556,0.19000000000000003
Malta,71,0.11627831476867205,0.11519106627588138,0.2600000000000001
Mauritania,-1,-1,-1,-1
Mauritius,50,0.06051380220580634,0.061430103060264585,0.5200000000000004
Mexico,152,1.2952467076776988,1.3012626902565956,0.21000000000000005
Moldova,105,0.744219363107222,0.7419304032128323,0.27000000000000013
Monaco,-374714900,0.6906466704382586,0.6968276873017434,0.5500000000000004
Mongolia,59,0.01957741066231761,0.01942451672614753,0.27000000000000013
Montenegro,41,0.08595650618890523,0.08859917054627922,0.6600000000000005
Morocco,126,0.7375815134532903,0.7326274240099979,0.4900000000000003
Mozambique,73,0.10281593750525657,0.10317179216157474,0.4600000000000003
Namibia,-1,-1,-1,-1
Nepal,-47917230,0.25998313070072215,0.2603164726600738,0.23000000000000007
Netherlands,146,3.517178886788887,3.7322347937853837,0.6100000000000004
New Zealand,54,0.36831193744802526,0.36930010453432516,0.43000000000000027
Nicaragua,-1,-1,-1,-1
Niger,35,0.23795457910665865,0.2530888361328133,0.19000000000000003
Nigeria,373,0.21039395034789218,0.20872082598783612,0.3400000000000002
North Macedonia,105,0.298778054242796,0.28182888177999865,0.5700000000000004
Norway,96,1.4303514351212745,1.4407632134675887,0.6000000000000004
