country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Chad,4/13/20,23,0,5,0,1
Chad,4/14/20,23,0,0,0,2
Chad,4/15/20,23,0,0,0,3
Chad,4/16/20,27,0,4,0,4
Chad,4/17/20,27,0,0,0,5
Chad,4/18/20,33,0,6,0,6
Chad,4/19/20,33,0,0,0,7
Chad,4/20/20,33,0,0,0,8
Chad,4/21/20,33,0,0,0,9
Chad,4/22/20,33,0,0,0,10
Chad,4/23/20,33,0,0,0,11
Chad,4/24/20,40,0,7,0,12
Chad,4/25/20,46,0,6,0,13
Chad,4/26/20,46,0,0,0,14
Chad,4/27/20,46,0,0,0,15
Chad,4/28/20,52,2,6,2,16
Chad,4/29/20,52,2,0,0,17
Chad,4/30/20,73,5,21,3,18
