country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Costa Rica,3/12/20,22,0,9,0,1
Costa Rica,3/13/20,23,0,1,0,2
Costa Rica,3/14/20,26,0,3,0,3
Costa Rica,3/15/20,27,0,1,0,4
Costa Rica,3/16/20,35,0,8,0,5
Costa Rica,3/17/20,41,0,6,0,6
Costa Rica,3/18/20,50,0,9,0,7
Costa Rica,3/19/20,69,1,19,1,8
Costa Rica,3/20/20,89,1,20,0,9
Costa Rica,3/21/20,117,2,28,1,10
Costa Rica,3/22/20,134,2,17,0,11
Costa Rica,3/23/20,158,2,24,0,12
Costa Rica,3/24/20,177,2,19,0,13
Costa Rica,3/25/20,201,2,24,0,14
Costa Rica,3/26/20,231,2,30,0,15
Costa Rica,3/27/20,263,2,32,0,16
Costa Rica,3/28/20,295,2,32,0,17
Costa Rica,3/29/20,314,2,19,0,18
Costa Rica,3/30/20,330,2,16,0,19
Costa Rica,3/31/20,347,2,17,0,20
Costa Rica,4/1/20,375,2,28,0,21
Costa Rica,4/2/20,396,2,21,0,22
Costa Rica,4/3/20,416,2,20,0,23
Costa Rica,4/4/20,435,2,19,0,24
Costa Rica,4/5/20,454,2,19,0,25
Costa Rica,4/6/20,467,2,13,0,26
Costa Rica,4/7/20,483,2,16,0,27
Costa Rica,4/8/20,502,3,19,1,28
Costa Rica,4/9/20,539,3,37,0,29
Costa Rica,4/10/20,558,3,19,0,30
Costa Rica,4/11/20,577,3,19,0,31
Costa Rica,4/12/20,595,3,18,0,32
Costa Rica,4/13/20,612,3,17,0,33
Costa Rica,4/14/20,618,3,6,0,34
Costa Rica,4/15/20,626,4,8,1,35
Costa Rica,4/16/20,642,4,16,0,36
Costa Rica,4/17/20,649,4,7,0,37
Costa Rica,4/18/20,655,4,6,0,38
Costa Rica,4/19/20,660,5,5,1,39
Costa Rica,4/20/20,662,6,2,1,40
Costa Rica,4/21/20,669,6,7,0,41
Costa Rica,4/22/20,681,6,12,0,42
Costa Rica,4/23/20,686,6,5,0,43
Costa Rica,4/24/20,687,6,1,0,44
Costa Rica,4/25/20,693,6,6,0,45
Costa Rica,4/26/20,695,6,2,0,46
Costa Rica,4/27/20,697,6,2,0,47
Costa Rica,4/28/20,705,6,8,0,48
Costa Rica,4/29/20,713,6,8,0,49
Costa Rica,4/30/20,719,6,6,0,50
Costa Rica,5/1/20,725,6,6,0,51
