country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Congo (Kinshasa),3/21/20,23,1,5,1,1
Congo (Kinshasa),3/22/20,30,1,7,0,2
Congo (Kinshasa),3/23/20,36,1,6,0,3
Congo (Kinshasa),3/24/20,45,2,9,1,4
Congo (Kinshasa),3/25/20,48,2,3,0,5
Congo (Kinshasa),3/26/20,51,3,3,1,6
Congo (Kinshasa),3/27/20,51,3,0,0,7
Congo (Kinshasa),3/28/20,65,6,14,3,8
Congo (Kinshasa),3/29/20,65,6,0,0,9
Congo (Kinshasa),3/30/20,81,8,16,2,10
Congo (Kinshasa),3/31/20,98,8,17,0,11
Congo (Kinshasa),4/1/20,109,9,11,1,12
Congo (Kinshasa),4/2/20,134,13,25,4,13
Congo (Kinshasa),4/3/20,134,13,0,0,14
Congo (Kinshasa),4/4/20,154,18,20,5,15
Congo (Kinshasa),4/5/20,154,18,0,0,16
Congo (Kinshasa),4/6/20,161,18,7,0,17
Congo (Kinshasa),4/7/20,180,18,19,0,18
Congo (Kinshasa),4/8/20,180,18,0,0,19
Congo (Kinshasa),4/9/20,180,18,0,0,20
Congo (Kinshasa),4/10/20,215,20,35,2,21
Congo (Kinshasa),4/11/20,223,20,8,0,22
Congo (Kinshasa),4/12/20,234,20,11,0,23
Congo (Kinshasa),4/13/20,235,20,1,0,24
Congo (Kinshasa),4/14/20,241,20,6,0,25
Congo (Kinshasa),4/15/20,254,21,13,1,26
Congo (Kinshasa),4/16/20,267,22,13,1,27
Congo (Kinshasa),4/17/20,287,23,20,1,28
Congo (Kinshasa),4/18/20,307,25,20,2,29
Congo (Kinshasa),4/19/20,327,25,20,0,30
Congo (Kinshasa),4/20/20,332,25,5,0,31
Congo (Kinshasa),4/21/20,350,25,18,0,32
Congo (Kinshasa),4/22/20,359,25,9,0,33
Congo (Kinshasa),4/23/20,377,25,18,0,34
Congo (Kinshasa),4/24/20,394,25,17,0,35
Congo (Kinshasa),4/25/20,416,28,22,3,36
Congo (Kinshasa),4/26/20,442,28,26,0,37
Congo (Kinshasa),4/27/20,459,28,17,0,38
Congo (Kinshasa),4/28/20,471,30,12,2,39
Congo (Kinshasa),4/29/20,491,30,20,0,40
Congo (Kinshasa),4/30/20,572,31,81,1,41
Congo (Kinshasa),5/1/20,604,32,32,1,42
Congo (Kinshasa),5/2/20,674,33,70,1,43
