country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
New Zealand,3/18/20,20,0,8,0,1
New Zealand,3/19/20,28,0,8,0,2
New Zealand,3/20/20,39,0,11,0,3
New Zealand,3/21/20,52,0,13,0,4
New Zealand,3/22/20,102,0,50,0,5
New Zealand,3/23/20,102,0,0,0,6
New Zealand,3/24/20,155,0,53,0,7
New Zealand,3/25/20,205,0,50,0,8
New Zealand,3/26/20,283,0,78,0,9
New Zealand,3/27/20,368,0,85,0,10
New Zealand,3/28/20,451,0,83,0,11
New Zealand,3/29/20,514,1,63,1,12
New Zealand,3/30/20,589,1,75,0,13
New Zealand,3/31/20,647,1,58,0,14
New Zealand,4/1/20,708,1,61,0,15
New Zealand,4/2/20,797,1,89,0,16
New Zealand,4/3/20,868,1,71,0,17
New Zealand,4/4/20,950,1,82,0,18
New Zealand,4/5/20,1039,1,89,0,19
New Zealand,4/6/20,1106,1,67,0,20
New Zealand,4/7/20,1160,1,54,0,21
New Zealand,4/8/20,1210,1,50,0,22
New Zealand,4/9/20,1239,1,29,0,23
New Zealand,4/10/20,1283,2,44,1,24
New Zealand,4/11/20,1312,4,29,2,25
New Zealand,4/12/20,1330,4,18,0,26
New Zealand,4/13/20,1349,5,19,1,27
New Zealand,4/14/20,1366,9,17,4,28
New Zealand,4/15/20,1386,9,20,0,29
New Zealand,4/16/20,1401,9,15,0,30
New Zealand,4/17/20,1409,11,8,2,31
New Zealand,4/18/20,1422,11,13,0,32
New Zealand,4/19/20,1431,12,9,1,33
New Zealand,4/20/20,1440,12,9,0,34
New Zealand,4/21/20,1445,13,5,1,35
New Zealand,4/22/20,1451,14,6,1,36
New Zealand,4/23/20,1456,17,5,3,37
New Zealand,4/24/20,1461,18,5,1,38
New Zealand,4/25/20,1470,18,9,0,39
New Zealand,4/26/20,1469,19,-1,1,40
New Zealand,4/27/20,1472,19,3,0,41
New Zealand,4/28/20,1474,19,2,0,42
New Zealand,4/29/20,1476,19,2,0,43
New Zealand,4/30/20,1479,19,3,0,44
New Zealand,5/1/20,1485,20,6,1,45
New Zealand,5/2/20,1487,20,2,0,46
