country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Cuba,3/21/20,21,1,5,0,1
Cuba,3/22/20,35,1,14,0,2
Cuba,3/23/20,40,1,5,0,3
Cuba,3/24/20,48,1,8,0,4
Cuba,3/25/20,57,1,9,0,5
Cuba,3/26/20,67,2,10,1,6
Cuba,3/27/20,80,2,13,0,7
Cuba,3/28/20,119,3,39,1,8
Cuba,3/29/20,139,3,20,0,9
Cuba,3/30/20,170,4,31,1,10
Cuba,3/31/20,186,6,16,2,11
Cuba,4/1/20,212,6,26,0,12
Cuba,4/2/20,233,6,21,0,13
Cuba,4/3/20,269,6,36,0,14
Cuba,4/4/20,288,6,19,0,15
Cuba,4/5/20,320,8,32,2,16
Cuba,4/6/20,350,9,30,1,17
Cuba,4/7/20,396,11,46,2,18
Cuba,4/8/20,457,12,61,1,19
Cuba,4/9/20,515,15,58,3,20
Cuba,4/10/20,564,15,49,0,21
Cuba,4/11/20,620,16,56,1,22
Cuba,4/12/20,669,18,49,2,23
Cuba,4/13/20,726,21,57,3,24
Cuba,4/14/20,766,21,40,0,25
Cuba,4/15/20,814,24,48,3,26
Cuba,4/16/20,862,27,48,3,27
Cuba,4/17/20,923,31,61,4,28
Cuba,4/18/20,986,32,63,1,29
Cuba,4/19/20,1035,34,49,2,30
Cuba,4/20/20,1087,36,52,2,31
Cuba,4/21/20,1137,38,50,2,32
Cuba,4/22/20,1189,40,52,2,33
Cuba,4/23/20,1235,43,46,3,34
Cuba,4/24/20,1285,49,50,6,35
Cuba,4/25/20,1337,51,52,2,36
Cuba,4/26/20,1369,54,32,3,37
Cuba,4/27/20,1389,56,20,2,38
Cuba,4/28/20,1437,58,48,2,39
Cuba,4/29/20,1467,58,30,0,40
Cuba,4/30/20,1501,61,34,3,41
Cuba,5/1/20,1537,64,36,3,42
Cuba,5/2/20,1611,66,74,2,43
Cuba,5/3/20,1649,67,38,1,44
Cuba,5/4/20,1668,69,19,2,45
