country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Benin,4/5/20,22,0,6,0,1
Benin,4/6/20,26,1,4,1,2
Benin,4/7/20,26,1,0,0,3
Benin,4/8/20,26,1,0,0,4
Benin,4/9/20,26,1,0,0,5
Benin,4/10/20,35,1,9,0,6
Benin,4/11/20,35,1,0,0,7
Benin,4/12/20,35,1,0,0,8
Benin,4/13/20,35,1,0,0,9
Benin,4/14/20,35,1,0,0,10
Benin,4/15/20,35,1,0,0,11
Benin,4/16/20,35,1,0,0,12
Benin,4/17/20,35,1,0,0,13
Benin,4/18/20,35,1,0,0,14
Benin,4/19/20,35,1,0,0,15
Benin,4/20/20,54,1,19,0,16
Benin,4/21/20,54,1,0,0,17
Benin,4/22/20,54,1,0,0,18
Benin,4/23/20,54,1,0,0,19
Benin,4/24/20,54,1,0,0,20
Benin,4/25/20,54,1,0,0,21
Benin,4/26/20,64,1,10,0,22
Benin,4/27/20,64,1,0,0,23
Benin,4/28/20,64,1,0,0,24
Benin,4/29/20,64,1,0,0,25
Benin,4/30/20,64,1,0,0,26
Benin,5/1/20,90,2,26,1,27
Benin,5/2/20,90,2,0,0,28
Benin,5/3/20,90,2,0,0,29
Benin,5/4/20,96,2,6,0,30
Benin,5/5/20,96,2,0,0,31
