country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Morocco,3/15/20,28,1,11,0,1
Morocco,3/16/20,29,1,1,0,2
Morocco,3/17/20,38,2,9,1,3
Morocco,3/18/20,49,2,11,0,4
Morocco,3/19/20,63,2,14,0,5
Morocco,3/20/20,77,3,14,1,6
Morocco,3/21/20,96,3,19,0,7
Morocco,3/22/20,115,4,19,1,8
Morocco,3/23/20,143,4,28,0,9
Morocco,3/24/20,170,5,27,1,10
Morocco,3/25/20,225,6,55,1,11
Morocco,3/26/20,275,11,50,5,12
Morocco,3/27/20,345,23,70,12,13
Morocco,3/28/20,402,25,57,2,14
Morocco,3/29/20,479,26,77,1,15
Morocco,3/30/20,556,33,77,7,16
Morocco,3/31/20,617,36,61,3,17
Morocco,4/1/20,654,39,37,3,18
Morocco,4/2/20,708,44,54,5,19
Morocco,4/3/20,791,48,83,4,20
Morocco,4/4/20,919,59,128,11,21
Morocco,4/5/20,1021,70,102,11,22
Morocco,4/6/20,1120,80,99,10,23
Morocco,4/7/20,1184,90,64,10,24
Morocco,4/8/20,1275,93,91,3,25
Morocco,4/9/20,1374,97,99,4,26
Morocco,4/10/20,1448,107,74,10,27
Morocco,4/11/20,1545,111,97,4,28
Morocco,4/12/20,1661,118,116,7,29
Morocco,4/13/20,1763,126,102,8,30
Morocco,4/14/20,1888,126,125,0,31
Morocco,4/15/20,2024,127,136,1,32
Morocco,4/16/20,2283,130,259,3,33
Morocco,4/17/20,2564,135,281,5,34
Morocco,4/18/20,2685,137,121,2,35
Morocco,4/19/20,2855,141,170,4,36
Morocco,4/20/20,3046,143,191,2,37
Morocco,4/21/20,3209,145,163,2,38
Morocco,4/22/20,3446,149,237,4,39
Morocco,4/23/20,3568,155,122,6,40
Morocco,4/24/20,3758,158,190,3,41
Morocco,4/25/20,3897,159,139,1,42
Morocco,4/26/20,4065,161,168,2,43
Morocco,4/27/20,4120,162,55,1,44
Morocco,4/28/20,4252,165,132,3,45
Morocco,4/29/20,4321,168,69,3,46
Morocco,4/30/20,4423,170,102,2,47
Morocco,5/1/20,4569,171,146,1,48
Morocco,5/2/20,4729,173,160,2,49
Morocco,5/3/20,4903,174,174,1,50
Morocco,5/4/20,5053,179,150,5,51
Morocco,5/5/20,5219,181,166,2,52
Morocco,5/6/20,5408,183,189,2,53
Morocco,5/7/20,5548,183,140,0,54
Morocco,5/8/20,5711,186,163,3,55
