country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
India,3/4/20,28,0,23,0,1
India,3/5/20,30,0,2,0,2
India,3/6/20,31,0,1,0,3
India,3/7/20,34,0,3,0,4
India,3/8/20,39,0,5,0,5
India,3/9/20,43,0,4,0,6
India,3/10/20,56,0,13,0,7
India,3/11/20,62,1,6,1,8
India,3/12/20,73,1,11,0,9
India,3/13/20,82,2,9,1,10
India,3/14/20,102,2,20,0,11
India,3/15/20,113,2,11,0,12
India,3/16/20,119,2,6,0,13
India,3/17/20,142,3,23,1,14
India,3/18/20,156,3,14,0,15
India,3/19/20,194,4,38,1,16
India,3/20/20,244,5,50,1,17
India,3/21/20,330,4,86,-1,18
India,3/22/20,396,7,66,3,19
India,3/23/20,499,10,103,3,20
India,3/24/20,536,10,37,0,21
India,3/25/20,657,12,121,2,22
India,3/26/20,727,20,70,8,23
India,3/27/20,887,20,160,0,24
India,3/28/20,987,24,100,4,25
India,3/29/20,1024,27,37,3,26
India,3/30/20,1251,32,227,5,27
India,3/31/20,1397,35,146,3,28
India,4/1/20,1998,58,601,23,29
India,4/2/20,2543,72,545,14,30
India,4/3/20,2567,72,24,0,31
India,4/4/20,3082,86,515,14,32
India,4/5/20,3588,99,506,13,33
India,4/6/20,4778,136,1190,37,34
India,4/7/20,5311,150,533,14,35
India,4/8/20,5916,178,605,28,36
India,4/9/20,6725,226,809,48,37
India,4/10/20,7598,246,873,20,38
India,4/11/20,8446,288,848,42,39
India,4/12/20,9205,331,759,43,40
India,4/13/20,10453,358,1248,27,41
India,4/14/20,11487,393,1034,35,42
India,4/15/20,12322,405,835,12,43
India,4/16/20,13430,448,1108,43,44
India,4/17/20,14352,486,922,38,45
India,4/18/20,15722,521,1370,35,46
India,4/19/20,17615,559,1893,38,47
India,4/20/20,18539,592,924,33,48
India,4/21/20,20080,645,1541,53,49
India,4/22/20,21370,681,1290,36,50
India,4/23/20,23077,721,1707,40,51
India,4/24/20,24530,780,1453,59,52
India,4/25/20,26283,825,1753,45,53
India,4/26/20,27890,881,1607,56,54
India,4/27/20,29451,939,1561,58,55
India,4/28/20,31324,1008,1873,69,56
India,4/29/20,33062,1079,1738,71,57
India,4/30/20,34863,1154,1801,75,58
India,5/1/20,37257,1223,2394,69,59
India,5/2/20,39699,1323,2442,100,60
India,5/3/20,42505,1391,2806,68,61
India,5/4/20,46437,1566,3932,175,62
India,5/5/20,49400,1693,2963,127,63
India,5/6/20,52987,1785,3587,92,64
India,5/7/20,56351,1889,3364,104,65
India,5/8/20,59695,1985,3344,96,66
India,5/9/20,62808,2101,3113,116,67
India,5/10/20,67161,2212,4353,111,68
India,5/11/20,70768,2294,3607,82,69
