country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Nepal,4/17/20,30,0,14,0,1
Nepal,4/18/20,31,0,1,0,2
Nepal,4/19/20,31,0,0,0,3
Nepal,4/20/20,31,0,0,0,4
Nepal,4/21/20,43,0,12,0,5
Nepal,4/22/20,45,0,2,0,6
Nepal,4/23/20,48,0,3,0,7
Nepal,4/24/20,49,0,1,0,8
Nepal,4/25/20,49,0,0,0,9
Nepal,4/26/20,52,0,3,0,10
Nepal,4/27/20,52,0,0,0,11
Nepal,4/28/20,54,0,2,0,12
Nepal,4/29/20,57,0,3,0,13
Nepal,4/30/20,57,0,0,0,14
Nepal,5/1/20,59,0,2,0,15
Nepal,5/2/20,59,0,0,0,16
Nepal,5/3/20,75,0,16,0,17
Nepal,5/4/20,75,0,0,0,18
Nepal,5/5/20,82,0,7,0,19
Nepal,5/6/20,99,0,17,0,20
Nepal,5/7/20,101,0,2,0,21
Nepal,5/8/20,102,0,1,0,22
Nepal,5/9/20,110,0,8,0,23
Nepal,5/10/20,110,0,0,0,24
Nepal,5/11/20,134,0,24,0,25
