country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Saudi Arabia,3/10/20,20,0,5,0,1
Saudi Arabia,3/11/20,21,0,1,0,2
Saudi Arabia,3/12/20,45,0,24,0,3
Saudi Arabia,3/13/20,86,0,41,0,4
Saudi Arabia,3/14/20,103,0,17,0,5
Saudi Arabia,3/15/20,103,0,0,0,6
Saudi Arabia,3/16/20,118,0,15,0,7
Saudi Arabia,3/17/20,171,0,53,0,8
Saudi Arabia,3/18/20,171,0,0,0,9
Saudi Arabia,3/19/20,274,0,103,0,10
Saudi Arabia,3/20/20,344,0,70,0,11
Saudi Arabia,3/21/20,392,0,48,0,12
Saudi Arabia,3/22/20,511,0,119,0,13
Saudi Arabia,3/23/20,562,0,51,0,14
Saudi Arabia,3/24/20,767,1,205,1,15
Saudi Arabia,3/25/20,900,2,133,1,16
Saudi Arabia,3/26/20,1012,3,112,1,17
Saudi Arabia,3/27/20,1104,3,92,0,18
Saudi Arabia,3/28/20,1203,4,99,1,19
Saudi Arabia,3/29/20,1299,8,96,4,20
Saudi Arabia,3/30/20,1453,8,154,0,21
Saudi Arabia,3/31/20,1563,10,110,2,22
Saudi Arabia,4/1/20,1720,16,157,6,23
Saudi Arabia,4/2/20,1885,21,165,5,24
Saudi Arabia,4/3/20,2039,25,154,4,25
Saudi Arabia,4/4/20,2179,29,140,4,26
Saudi Arabia,4/5/20,2402,34,223,5,27
Saudi Arabia,4/6/20,2605,38,203,4,28
Saudi Arabia,4/7/20,2795,41,190,3,29
Saudi Arabia,4/8/20,2932,41,137,0,30
Saudi Arabia,4/9/20,3287,44,355,3,31
Saudi Arabia,4/10/20,3651,47,364,3,32
Saudi Arabia,4/11/20,4033,52,382,5,33
Saudi Arabia,4/12/20,4462,59,429,7,34
Saudi Arabia,4/13/20,4934,65,472,6,35
Saudi Arabia,4/14/20,5369,73,435,8,36
Saudi Arabia,4/15/20,5862,79,493,6,37
Saudi Arabia,4/16/20,6380,83,518,4,38
Saudi Arabia,4/17/20,7142,87,762,4,39
Saudi Arabia,4/18/20,8274,92,1132,5,40
Saudi Arabia,4/19/20,9362,97,1088,5,41
Saudi Arabia,4/20/20,10484,103,1122,6,42
Saudi Arabia,4/21/20,11631,109,1147,6,43
Saudi Arabia,4/22/20,12772,114,1141,5,44
Saudi Arabia,4/23/20,13930,121,1158,7,45
Saudi Arabia,4/24/20,15102,127,1172,6,46
Saudi Arabia,4/25/20,16299,136,1197,9,47
Saudi Arabia,4/26/20,17522,139,1223,3,48
Saudi Arabia,4/27/20,18811,144,1289,5,49
Saudi Arabia,4/28/20,20077,152,1266,8,50
Saudi Arabia,4/29/20,21402,157,1325,5,51
Saudi Arabia,4/30/20,22753,162,1351,5,52
Saudi Arabia,5/1/20,24097,169,1344,7,53
Saudi Arabia,5/2/20,25459,176,1362,7,54
Saudi Arabia,5/3/20,27011,184,1552,8,55
Saudi Arabia,5/4/20,28656,191,1645,7,56
Saudi Arabia,5/5/20,30251,200,1595,9,57
Saudi Arabia,5/6/20,31938,209,1687,9,58
Saudi Arabia,5/7/20,33731,219,1793,10,59
Saudi Arabia,5/8/20,35432,229,1701,10,60
Saudi Arabia,5/9/20,37136,239,1704,10,61
Saudi Arabia,5/10/20,39048,246,1912,7,62
Saudi Arabia,5/11/20,41014,255,1966,9,63
Saudi Arabia,5/12/20,42925,264,1911,9,64
Saudi Arabia,5/13/20,44830,273,1905,9,65
Saudi Arabia,5/14/20,46869,283,2039,10,66
