country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
United Arab Emirates,2/29/20,21,0,2,0,1
United Arab Emirates,3/1/20,21,0,0,0,2
United Arab Emirates,3/2/20,21,0,0,0,3
United Arab Emirates,3/3/20,27,0,6,0,4
United Arab Emirates,3/4/20,27,0,0,0,5
United Arab Emirates,3/5/20,29,0,2,0,6
United Arab Emirates,3/6/20,29,0,0,0,7
United Arab Emirates,3/7/20,45,0,16,0,8
United Arab Emirates,3/8/20,45,0,0,0,9
United Arab Emirates,3/9/20,45,0,0,0,10
United Arab Emirates,3/10/20,74,0,29,0,11
United Arab Emirates,3/11/20,74,0,0,0,12
United Arab Emirates,3/12/20,85,0,11,0,13
United Arab Emirates,3/13/20,85,0,0,0,14
United Arab Emirates,3/14/20,85,0,0,0,15
United Arab Emirates,3/15/20,98,0,13,0,16
United Arab Emirates,3/16/20,98,0,0,0,17
United Arab Emirates,3/17/20,98,0,0,0,18
United Arab Emirates,3/18/20,113,0,15,0,19
United Arab Emirates,3/19/20,140,0,27,0,20
United Arab Emirates,3/20/20,140,2,0,2,21
United Arab Emirates,3/21/20,153,2,13,0,22
United Arab Emirates,3/22/20,153,2,0,0,23
United Arab Emirates,3/23/20,198,2,45,0,24
United Arab Emirates,3/24/20,248,2,50,0,25
United Arab Emirates,3/25/20,333,2,85,0,26
United Arab Emirates,3/26/20,333,2,0,0,27
United Arab Emirates,3/27/20,405,2,72,0,28
United Arab Emirates,3/28/20,468,2,63,0,29
United Arab Emirates,3/29/20,570,3,102,1,30
United Arab Emirates,3/30/20,611,5,41,2,31
United Arab Emirates,3/31/20,664,6,53,1,32
United Arab Emirates,4/1/20,814,8,150,2,33
United Arab Emirates,4/2/20,1024,8,210,0,34
United Arab Emirates,4/3/20,1264,9,240,1,35
United Arab Emirates,4/4/20,1505,10,241,1,36
United Arab Emirates,4/5/20,1799,10,294,0,37
United Arab Emirates,4/6/20,2076,11,277,1,38
United Arab Emirates,4/7/20,2359,12,283,1,39
United Arab Emirates,4/8/20,2659,12,300,0,40
United Arab Emirates,4/9/20,2990,14,331,2,41
United Arab Emirates,4/10/20,3360,16,370,2,42
United Arab Emirates,4/11/20,3736,20,376,4,43
United Arab Emirates,4/12/20,4123,22,387,2,44
United Arab Emirates,4/13/20,4521,25,398,3,45
United Arab Emirates,4/14/20,4933,28,412,3,46
United Arab Emirates,4/15/20,5365,33,432,5,47
United Arab Emirates,4/16/20,5825,35,460,2,48
United Arab Emirates,4/17/20,6302,37,477,2,49
United Arab Emirates,4/18/20,6302,37,0,0,50
United Arab Emirates,4/19/20,6781,41,479,4,51
United Arab Emirates,4/20/20,7265,43,484,2,52
United Arab Emirates,4/21/20,7755,46,490,3,53
United Arab Emirates,4/22/20,8238,52,483,6,54
United Arab Emirates,4/23/20,8756,56,518,4,55
United Arab Emirates,4/24/20,9281,64,525,8,56
United Arab Emirates,4/25/20,9813,71,532,7,57
United Arab Emirates,4/26/20,10349,76,536,5,58
United Arab Emirates,4/27/20,10839,82,490,6,59
United Arab Emirates,4/28/20,11380,89,541,7,60
United Arab Emirates,4/29/20,11929,98,549,9,61
United Arab Emirates,4/30/20,12481,105,552,7,62
United Arab Emirates,5/1/20,13038,111,557,6,63
United Arab Emirates,5/2/20,13599,119,561,8,64
United Arab Emirates,5/3/20,14163,126,564,7,65
United Arab Emirates,5/4/20,14730,137,567,11,66
United Arab Emirates,5/5/20,15192,146,462,9,67
United Arab Emirates,5/6/20,15738,157,546,11,68
United Arab Emirates,5/7/20,16240,165,502,8,69
United Arab Emirates,5/8/20,16793,174,553,9,70
United Arab Emirates,5/9/20,17417,185,624,11,71
United Arab Emirates,5/10/20,18198,198,781,13,72
United Arab Emirates,5/11/20,18878,201,680,3,73
United Arab Emirates,5/12/20,19661,203,783,2,74
United Arab Emirates,5/13/20,20386,206,725,3,75
United Arab Emirates,5/14/20,21084,208,698,2,76
