country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Zambia,3/27/20,22,0,6,0,1
Zambia,3/28/20,28,0,6,0,2
Zambia,3/29/20,29,0,1,0,3
Zambia,3/30/20,35,0,6,0,4
Zambia,3/31/20,35,0,0,0,5
Zambia,4/1/20,36,0,1,0,6
Zambia,4/2/20,39,1,3,1,7
Zambia,4/3/20,39,1,0,0,8
Zambia,4/4/20,39,1,0,0,9
Zambia,4/5/20,39,1,0,0,10
Zambia,4/6/20,39,1,0,0,11
Zambia,4/7/20,39,1,0,0,12
Zambia,4/8/20,39,1,0,0,13
Zambia,4/9/20,39,1,0,0,14
Zambia,4/10/20,40,2,1,1,15
Zambia,4/11/20,40,2,0,0,16
Zambia,4/12/20,43,2,3,0,17
Zambia,4/13/20,45,2,2,0,18
Zambia,4/14/20,45,2,0,0,19
Zambia,4/15/20,48,2,3,0,20
Zambia,4/16/20,48,2,0,0,21
Zambia,4/17/20,52,2,4,0,22
Zambia,4/18/20,57,2,5,0,23
Zambia,4/19/20,61,3,4,1,24
Zambia,4/20/20,65,3,4,0,25
Zambia,4/21/20,70,3,5,0,26
Zambia,4/22/20,74,3,4,0,27
Zambia,4/23/20,76,3,2,0,28
Zambia,4/24/20,84,3,8,0,29
Zambia,4/25/20,84,3,0,0,30
Zambia,4/26/20,88,3,4,0,31
Zambia,4/27/20,88,3,0,0,32
Zambia,4/28/20,95,3,7,0,33
Zambia,4/29/20,97,3,2,0,34
Zambia,4/30/20,106,3,9,0,35
Zambia,5/1/20,109,3,3,0,36
Zambia,5/2/20,119,3,10,0,37
Zambia,5/3/20,124,3,5,0,38
Zambia,5/4/20,137,3,13,0,39
Zambia,5/5/20,138,3,1,0,40
Zambia,5/6/20,146,4,8,1,41
Zambia,5/7/20,153,4,7,0,42
Zambia,5/8/20,167,4,14,0,43
Zambia,5/9/20,252,7,85,3,44
Zambia,5/10/20,267,7,15,0,45
Zambia,5/11/20,267,7,0,0,46
Zambia,5/12/20,441,7,174,0,47
Zambia,5/13/20,446,7,5,0,48
Zambia,5/14/20,654,7,208,0,49
Zambia,5/15/20,654,7,0,0,50
Zambia,5/16/20,679,7,25,0,51
