country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Austria,3/3/20,21,0,3,0,1
Austria,3/4/20,29,0,8,0,2
Austria,3/5/20,41,0,12,0,3
Austria,3/6/20,55,0,14,0,4
Austria,3/7/20,79,0,24,0,5
Austria,3/8/20,104,0,25,0,6
Austria,3/9/20,131,0,27,0,7
Austria,3/10/20,182,0,51,0,8
Austria,3/11/20,246,0,64,0,9
Austria,3/12/20,302,1,56,1,10
Austria,3/13/20,504,1,202,0,11
Austria,3/14/20,655,1,151,0,12
Austria,3/15/20,860,1,205,0,13
Austria,3/16/20,1018,3,158,2,14
Austria,3/17/20,1332,3,314,0,15
Austria,3/18/20,1646,4,314,1,16
Austria,3/19/20,2013,6,367,2,17
Austria,3/20/20,2388,6,375,0,18
Austria,3/21/20,2814,8,426,2,19
Austria,3/22/20,3582,16,768,8,20
Austria,3/23/20,4474,21,892,5,21
Austria,3/24/20,5283,28,809,7,22
Austria,3/25/20,5588,30,305,2,23
Austria,3/26/20,6909,49,1321,19,24
Austria,3/27/20,7657,58,748,9,25
Austria,3/28/20,8271,68,614,10,26
Austria,3/29/20,8788,86,517,18,27
Austria,3/30/20,9618,108,830,22,28
Austria,3/31/20,10180,128,562,20,29
Austria,4/1/20,10711,146,531,18,30
Austria,4/2/20,11129,158,418,12,31
Austria,4/3/20,11524,168,395,10,32
Austria,4/4/20,11781,186,257,18,33
Austria,4/5/20,12051,204,270,18,34
Austria,4/6/20,12297,220,246,16,35
Austria,4/7/20,12639,243,342,23,36
Austria,4/8/20,12942,273,303,30,37
Austria,4/9/20,13244,295,302,22,38
Austria,4/10/20,13555,319,311,24,39
Austria,4/11/20,13806,337,251,18,40
Austria,4/12/20,13945,350,139,13,41
Austria,4/13/20,14041,368,96,18,42
Austria,4/14/20,14226,384,185,16,43
Austria,4/15/20,14336,393,110,9,44
Austria,4/16/20,14476,410,140,17,45
Austria,4/17/20,14595,431,119,21,46
Austria,4/18/20,14671,443,76,12,47
Austria,4/19/20,14749,452,78,9,48
Austria,4/20/20,14795,470,46,18,49
Austria,4/21/20,14873,491,78,21,50
Austria,4/22/20,14925,510,52,19,51
Austria,4/23/20,15002,522,77,12,52
Austria,4/24/20,15071,530,69,8,53
Austria,4/25/20,15148,536,77,6,54
Austria,4/26/20,15225,542,77,6,55
Austria,4/27/20,15274,549,49,7,56
Austria,4/28/20,15357,569,83,20,57
Austria,4/29/20,15402,580,45,11,58
Austria,4/30/20,15452,584,50,4,59
Austria,5/1/20,15531,589,79,5,60
Austria,5/2/20,15558,596,27,7,61
Austria,5/3/20,15597,598,39,2,62
Austria,5/4/20,15621,600,24,2,63
Austria,5/5/20,15650,606,29,6,64
Austria,5/6/20,15684,608,34,2,65
Austria,5/7/20,15752,609,68,1,66
Austria,5/8/20,15774,614,22,5,67
Austria,5/9/20,15833,615,59,1,68
Austria,5/10/20,15871,618,38,3,69
Austria,5/11/20,15882,620,11,2,70
Austria,5/12/20,15961,623,79,3,71
Austria,5/13/20,15997,624,36,1,72
Austria,5/14/20,16058,626,61,2,73
Austria,5/15/20,16109,628,51,2,74
Austria,5/16/20,16201,629,92,1,75
Austria,5/17/20,16242,629,41,0,76
Austria,5/18/20,16269,629,27,0,77
