country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Mali,3/30/20,25,2,7,1,1
Mali,3/31/20,28,2,3,0,2
Mali,4/1/20,31,3,3,1,3
Mali,4/2/20,36,3,5,0,4
Mali,4/3/20,39,3,3,0,5
Mali,4/4/20,41,3,2,0,6
Mali,4/5/20,45,5,4,2,7
Mali,4/6/20,47,5,2,0,8
Mali,4/7/20,56,5,9,0,9
Mali,4/8/20,59,7,3,2,10
Mali,4/9/20,74,7,15,0,11
Mali,4/10/20,87,7,13,0,12
Mali,4/11/20,87,7,0,0,13
Mali,4/12/20,105,9,18,2,14
Mali,4/13/20,123,10,18,1,15
Mali,4/14/20,144,13,21,3,16
Mali,4/15/20,148,13,4,0,17
Mali,4/16/20,171,13,23,0,18
Mali,4/17/20,171,13,0,0,19
Mali,4/18/20,216,13,45,0,20
Mali,4/19/20,224,14,8,1,21
Mali,4/20/20,246,14,22,0,22
Mali,4/21/20,258,14,12,0,23
Mali,4/22/20,293,17,35,3,24
Mali,4/23/20,309,21,16,4,25
Mali,4/24/20,325,21,16,0,26
Mali,4/25/20,370,21,45,0,27
Mali,4/26/20,389,23,19,2,28
Mali,4/27/20,408,23,19,0,29
Mali,4/28/20,424,24,16,1,30
Mali,4/29/20,482,25,58,1,31
Mali,4/30/20,490,26,8,1,32
Mali,5/1/20,508,26,18,0,33
Mali,5/2/20,544,26,36,0,34
Mali,5/3/20,563,27,19,1,35
Mali,5/4/20,580,29,17,2,36
Mali,5/5/20,612,32,32,3,37
Mali,5/6/20,631,32,19,0,38
Mali,5/7/20,650,32,19,0,39
Mali,5/8/20,668,35,18,3,40
Mali,5/9/20,692,37,24,2,41
Mali,5/10/20,704,38,12,1,42
Mali,5/11/20,712,39,8,1,43
Mali,5/12/20,730,40,18,1,44
Mali,5/13/20,758,44,28,4,45
Mali,5/14/20,779,46,21,2,46
Mali,5/15/20,806,46,27,0,47
Mali,5/16/20,835,48,29,2,48
Mali,5/17/20,860,52,25,4,49
Mali,5/18/20,874,52,14,0,50
Mali,5/19/20,901,53,27,1,51
Mali,5/20/20,931,55,30,2,52
