country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Slovakia,3/13/20,32,0,16,0,1
Slovakia,3/14/20,44,0,12,0,2
Slovakia,3/15/20,54,0,10,0,3
Slovakia,3/16/20,63,0,9,0,4
Slovakia,3/17/20,72,0,9,0,5
Slovakia,3/18/20,105,1,33,1,6
Slovakia,3/19/20,123,1,18,0,7
Slovakia,3/20/20,137,1,14,0,8
Slovakia,3/21/20,178,1,41,0,9
Slovakia,3/22/20,185,0,7,-1,10
Slovakia,3/23/20,186,0,1,0,11
Slovakia,3/24/20,204,0,18,0,12
Slovakia,3/25/20,216,0,12,0,13
Slovakia,3/26/20,226,0,10,0,14
Slovakia,3/27/20,269,0,43,0,15
Slovakia,3/28/20,292,0,23,0,16
Slovakia,3/29/20,314,0,22,0,17
Slovakia,3/30/20,336,0,22,0,18
Slovakia,3/31/20,363,0,27,0,19
Slovakia,4/1/20,400,1,37,1,20
Slovakia,4/2/20,426,1,26,0,21
Slovakia,4/3/20,450,1,24,0,22
Slovakia,4/4/20,471,1,21,0,23
Slovakia,4/5/20,485,1,14,0,24
Slovakia,4/6/20,534,2,49,1,25
Slovakia,4/7/20,581,2,47,0,26
Slovakia,4/8/20,682,2,101,0,27
Slovakia,4/9/20,701,2,19,0,28
Slovakia,4/10/20,715,2,14,0,29
Slovakia,4/11/20,728,2,13,0,30
Slovakia,4/12/20,742,2,14,0,31
Slovakia,4/13/20,769,2,27,0,32
Slovakia,4/14/20,835,2,66,0,33
Slovakia,4/15/20,863,6,28,4,34
Slovakia,4/16/20,977,8,114,2,35
Slovakia,4/17/20,1049,9,72,1,36
Slovakia,4/18/20,1089,11,40,2,37
Slovakia,4/19/20,1161,12,72,1,38
Slovakia,4/20/20,1173,13,12,1,39
Slovakia,4/21/20,1199,14,26,1,40
Slovakia,4/22/20,1244,14,45,0,41
Slovakia,4/23/20,1325,15,81,1,42
Slovakia,4/24/20,1360,17,35,2,43
Slovakia,4/25/20,1373,17,13,0,44
Slovakia,4/26/20,1379,18,6,1,45
Slovakia,4/27/20,1381,18,2,0,46
Slovakia,4/28/20,1384,20,3,2,47
Slovakia,4/29/20,1391,22,7,2,48
Slovakia,4/30/20,1396,23,5,1,49
Slovakia,5/1/20,1403,23,7,0,50
Slovakia,5/2/20,1407,24,4,1,51
Slovakia,5/3/20,1408,24,1,0,52
Slovakia,5/4/20,1413,25,5,1,53
Slovakia,5/5/20,1421,25,8,0,54
Slovakia,5/6/20,1429,25,8,0,55
Slovakia,5/7/20,1445,26,16,1,56
Slovakia,5/8/20,1455,26,10,0,57
Slovakia,5/9/20,1455,26,0,0,58
Slovakia,5/10/20,1457,26,2,0,59
Slovakia,5/11/20,1457,26,0,0,60
Slovakia,5/12/20,1465,27,8,1,61
Slovakia,5/13/20,1469,27,4,0,62
Slovakia,5/14/20,1477,27,8,0,63
Slovakia,5/15/20,1480,27,3,0,64
Slovakia,5/16/20,1493,28,13,1,65
Slovakia,5/17/20,1494,28,1,0,66
Slovakia,5/18/20,1495,28,1,0,67
Slovakia,5/19/20,1495,28,0,0,68
Slovakia,5/20/20,1496,28,1,0,69
