country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Argentina,3/13/20,31,2,12,1,1
Argentina,3/14/20,34,2,3,0,2
Argentina,3/15/20,45,2,11,0,3
Argentina,3/16/20,56,2,11,0,4
Argentina,3/17/20,68,2,12,0,5
Argentina,3/18/20,79,2,11,0,6
Argentina,3/19/20,97,3,18,1,7
Argentina,3/20/20,128,3,31,0,8
Argentina,3/21/20,158,4,30,1,9
Argentina,3/22/20,266,4,108,0,10
Argentina,3/23/20,301,4,35,0,11
Argentina,3/24/20,387,6,86,2,12
Argentina,3/25/20,387,8,0,2,13
Argentina,3/26/20,502,9,115,1,14
Argentina,3/27/20,589,13,87,4,15
Argentina,3/28/20,690,18,101,5,16
Argentina,3/29/20,745,19,55,1,17
Argentina,3/30/20,820,23,75,4,18
Argentina,3/31/20,1054,27,234,4,19
Argentina,4/1/20,1054,28,0,1,20
Argentina,4/2/20,1133,36,79,8,21
Argentina,4/3/20,1265,39,132,3,22
Argentina,4/4/20,1451,43,186,4,23
Argentina,4/5/20,1451,44,0,1,24
Argentina,4/6/20,1554,48,103,4,25
Argentina,4/7/20,1628,56,74,8,26
Argentina,4/8/20,1715,63,87,7,27
Argentina,4/9/20,1795,72,80,9,28
Argentina,4/10/20,1975,82,180,10,29
Argentina,4/11/20,1975,83,0,1,30
Argentina,4/12/20,2142,90,167,7,31
Argentina,4/13/20,2208,97,66,7,32
Argentina,4/14/20,2277,102,69,5,33
Argentina,4/15/20,2443,111,166,9,34
Argentina,4/16/20,2571,115,128,4,35
Argentina,4/17/20,2669,123,98,8,36
Argentina,4/18/20,2758,129,89,6,37
Argentina,4/19/20,2839,132,81,3,38
Argentina,4/20/20,2941,136,102,4,39
Argentina,4/21/20,3031,147,90,11,40
Argentina,4/22/20,3144,152,113,5,41
Argentina,4/23/20,3435,165,291,13,42
Argentina,4/24/20,3607,176,172,11,43
Argentina,4/25/20,3780,185,173,9,44
Argentina,4/26/20,3892,192,112,7,45
Argentina,4/27/20,4003,197,111,5,46
Argentina,4/28/20,4127,207,124,10,47
Argentina,4/29/20,4285,214,158,7,48
Argentina,4/30/20,4428,218,143,4,49
Argentina,5/1/20,4532,225,104,7,50
Argentina,5/2/20,4681,237,149,12,51
Argentina,5/3/20,4783,246,102,9,52
Argentina,5/4/20,4887,260,104,14,53
Argentina,5/5/20,5020,264,133,4,54
Argentina,5/6/20,5208,273,188,9,55
Argentina,5/7/20,5371,282,163,9,56
Argentina,5/8/20,5611,293,240,11,57
Argentina,5/9/20,5776,300,165,7,58
Argentina,5/10/20,6034,305,258,5,59
Argentina,5/11/20,6278,314,244,9,60
Argentina,5/12/20,6563,319,285,5,61
Argentina,5/13/20,6879,329,316,10,62
Argentina,5/14/20,7134,353,255,24,63
Argentina,5/15/20,7479,356,345,3,64
Argentina,5/16/20,7805,363,326,7,65
Argentina,5/17/20,8068,373,263,10,66
Argentina,5/18/20,8371,382,303,9,67
Argentina,5/19/20,8809,393,438,11,68
Argentina,5/20/20,9283,403,474,10,69
Argentina,5/21/20,9931,416,648,13,70
Argentina,5/22/20,10649,433,718,17,71
