country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Peru,3/13/20,28,0,13,0,1
Peru,3/14/20,38,0,10,0,2
Peru,3/15/20,43,0,5,0,3
Peru,3/16/20,86,0,43,0,4
Peru,3/17/20,117,0,31,0,5
Peru,3/18/20,145,0,28,0,6
Peru,3/19/20,234,0,89,0,7
Peru,3/20/20,234,3,0,3,8
Peru,3/21/20,318,5,84,2,9
Peru,3/22/20,363,5,45,0,10
Peru,3/23/20,395,5,32,0,11
Peru,3/24/20,416,7,21,2,12
Peru,3/25/20,480,9,64,2,13
Peru,3/26/20,580,9,100,0,14
Peru,3/27/20,635,11,55,2,15
Peru,3/28/20,671,16,36,5,16
Peru,3/29/20,852,18,181,2,17
Peru,3/30/20,950,24,98,6,18
Peru,3/31/20,1065,30,115,6,19
Peru,4/1/20,1323,38,258,8,20
Peru,4/2/20,1414,55,91,17,21
Peru,4/3/20,1595,61,181,6,22
Peru,4/4/20,1746,73,151,12,23
Peru,4/5/20,2281,83,535,10,24
Peru,4/6/20,2561,92,280,9,25
Peru,4/7/20,2954,107,393,15,26
Peru,4/8/20,4342,121,1388,14,27
Peru,4/9/20,5256,138,914,17,28
Peru,4/10/20,5897,169,641,31,29
Peru,4/11/20,6848,181,951,12,30
Peru,4/12/20,7519,193,671,12,31
Peru,4/13/20,9784,216,2265,23,32
Peru,4/14/20,10303,230,519,14,33
Peru,4/15/20,11475,254,1172,24,34
Peru,4/16/20,12491,274,1016,20,35
Peru,4/17/20,13489,300,998,26,36
Peru,4/18/20,14420,348,931,48,37
Peru,4/19/20,15628,400,1208,52,38
Peru,4/20/20,16325,445,697,45,39
Peru,4/21/20,17837,484,1512,39,40
Peru,4/22/20,19250,530,1413,46,41
Peru,4/23/20,20914,572,1664,42,42
Peru,4/24/20,21648,634,734,62,43
Peru,4/25/20,25331,700,3683,66,44
Peru,4/26/20,27517,728,2186,28,45
Peru,4/27/20,28699,782,1182,54,46
Peru,4/28/20,31190,854,2491,72,47
Peru,4/29/20,33931,943,2741,89,48
Peru,4/30/20,36976,1051,3045,108,49
Peru,5/1/20,40459,1124,3483,73,50
Peru,5/2/20,42534,1200,2075,76,51
Peru,5/3/20,45928,1286,3394,86,52
Peru,5/4/20,47372,1344,1444,58,53
Peru,5/5/20,51189,1444,3817,100,54
Peru,5/6/20,54817,1533,3628,89,55
Peru,5/7/20,58526,1627,3709,94,56
Peru,5/8/20,61847,1714,3321,87,57
Peru,5/9/20,65015,1814,3168,100,58
Peru,5/10/20,67307,1889,2292,75,59
Peru,5/11/20,68822,1961,1515,72,60
Peru,5/12/20,72059,2057,3237,96,61
Peru,5/13/20,76306,2169,4247,112,62
Peru,5/14/20,80604,2267,4298,98,63
Peru,5/15/20,84495,2392,3891,125,64
Peru,5/16/20,88541,2523,4046,131,65
Peru,5/17/20,92273,2648,3732,125,66
Peru,5/18/20,94933,2789,2660,141,67
Peru,5/19/20,99483,2914,4550,125,68
Peru,5/20/20,104020,3024,4537,110,69
Peru,5/21/20,108769,3148,4749,124,70
Peru,5/22/20,111698,3244,2929,96,71
