country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Syria,4/11/20,25,2,6,0,1
Syria,4/12/20,25,2,0,0,2
Syria,4/13/20,25,2,0,0,3
Syria,4/14/20,29,2,4,0,4
Syria,4/15/20,33,2,4,0,5
Syria,4/16/20,33,2,0,0,6
Syria,4/17/20,38,2,5,0,7
Syria,4/18/20,38,2,0,0,8
Syria,4/19/20,39,3,1,1,9
Syria,4/20/20,39,3,0,0,10
Syria,4/21/20,42,3,3,0,11
Syria,4/22/20,42,3,0,0,12
Syria,4/23/20,42,3,0,0,13
Syria,4/24/20,42,3,0,0,14
Syria,4/25/20,42,3,0,0,15
Syria,4/26/20,43,3,1,0,16
Syria,4/27/20,43,3,0,0,17
Syria,4/28/20,43,3,0,0,18
Syria,4/29/20,43,3,0,0,19
Syria,4/30/20,43,3,0,0,20
Syria,5/1/20,44,3,1,0,21
Syria,5/2/20,44,3,0,0,22
Syria,5/3/20,44,3,0,0,23
Syria,5/4/20,44,3,0,0,24
Syria,5/5/20,44,3,0,0,25
Syria,5/6/20,45,3,1,0,26
Syria,5/7/20,45,3,0,0,27
Syria,5/8/20,47,3,2,0,28
Syria,5/9/20,47,3,0,0,29
Syria,5/10/20,47,3,0,0,30
Syria,5/11/20,47,3,0,0,31
Syria,5/12/20,47,3,0,0,32
Syria,5/13/20,48,3,1,0,33
Syria,5/14/20,48,3,0,0,34
Syria,5/15/20,50,3,2,0,35
Syria,5/16/20,51,3,1,0,36
Syria,5/17/20,58,3,7,0,37
Syria,5/18/20,58,3,0,0,38
Syria,5/19/20,58,3,0,0,39
Syria,5/20/20,58,3,0,0,40
Syria,5/21/20,58,3,0,0,41
Syria,5/22/20,59,4,1,1,42
