country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Honduras,3/20/20,24,0,12,0,1
Honduras,3/21/20,24,0,0,0,2
Honduras,3/22/20,26,0,2,0,3
Honduras,3/23/20,30,0,4,0,4
Honduras,3/24/20,30,0,0,0,5
Honduras,3/25/20,36,0,6,0,6
Honduras,3/26/20,52,1,16,1,7
Honduras,3/27/20,68,1,16,0,8
Honduras,3/28/20,95,1,27,0,9
Honduras,3/29/20,110,3,15,2,10
Honduras,3/30/20,139,7,29,4,11
Honduras,3/31/20,141,7,2,0,12
Honduras,4/1/20,172,10,31,3,13
Honduras,4/2/20,219,14,47,4,14
Honduras,4/3/20,222,15,3,1,15
Honduras,4/4/20,264,15,42,0,16
Honduras,4/5/20,268,22,4,7,17
Honduras,4/6/20,298,22,30,0,18
Honduras,4/7/20,305,22,7,0,19
Honduras,4/8/20,312,22,7,0,20
Honduras,4/9/20,343,23,31,1,21
Honduras,4/10/20,382,23,39,0,22
Honduras,4/11/20,392,24,10,1,23
Honduras,4/12/20,393,25,1,1,24
Honduras,4/13/20,397,25,4,0,25
Honduras,4/14/20,407,26,10,1,26
Honduras,4/15/20,419,31,12,5,27
Honduras,4/16/20,426,35,7,4,28
Honduras,4/17/20,442,41,16,6,29
Honduras,4/18/20,457,46,15,5,30
Honduras,4/19/20,472,46,15,0,31
Honduras,4/20/20,477,46,5,0,32
Honduras,4/21/20,494,46,17,0,33
Honduras,4/22/20,510,46,16,0,34
Honduras,4/23/20,519,47,9,1,35
Honduras,4/24/20,591,55,72,8,36
Honduras,4/25/20,627,59,36,4,37
Honduras,4/26/20,627,59,0,0,38
Honduras,4/27/20,661,61,34,2,39
Honduras,4/28/20,702,64,41,3,40
Honduras,4/29/20,738,66,36,2,41
Honduras,4/30/20,771,71,33,5,42
Honduras,5/1/20,804,75,33,4,43
Honduras,5/2/20,1010,76,206,1,44
Honduras,5/3/20,1055,82,45,6,45
Honduras,5/4/20,1178,83,123,1,46
Honduras,5/5/20,1270,93,92,10,47
Honduras,5/6/20,1461,99,191,6,48
Honduras,5/7/20,1685,105,224,6,49
Honduras,5/8/20,1771,107,86,2,50
Honduras,5/9/20,1830,108,59,1,51
Honduras,5/10/20,1972,108,142,0,52
Honduras,5/11/20,2100,116,128,8,53
Honduras,5/12/20,2080,121,-20,5,54
Honduras,5/13/20,2255,123,175,2,55
Honduras,5/14/20,2318,133,63,10,56
Honduras,5/15/20,2460,134,142,1,57
Honduras,5/16/20,2565,138,105,4,58
Honduras,5/17/20,2646,142,81,4,59
Honduras,5/18/20,2798,146,152,4,60
Honduras,5/19/20,2955,147,157,1,61
Honduras,5/20/20,2955,147,0,0,62
Honduras,5/21/20,3204,156,249,9,63
Honduras,5/22/20,3477,167,273,11,64
Honduras,5/23/20,3477,167,0,0,65
Honduras,5/24/20,3950,180,473,13,66
