country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Lebanon,3/6/20,22,0,6,0,1
Lebanon,3/7/20,22,0,0,0,2
Lebanon,3/8/20,32,0,10,0,3
Lebanon,3/9/20,32,0,0,0,4
Lebanon,3/10/20,41,1,9,1,5
Lebanon,3/11/20,61,3,20,2,6
Lebanon,3/12/20,61,3,0,0,7
Lebanon,3/13/20,77,3,16,0,8
Lebanon,3/14/20,93,3,16,0,9
Lebanon,3/15/20,110,3,17,0,10
Lebanon,3/16/20,110,3,0,0,11
Lebanon,3/17/20,120,3,10,0,12
Lebanon,3/18/20,133,3,13,0,13
Lebanon,3/19/20,157,4,24,1,14
Lebanon,3/20/20,163,4,6,0,15
Lebanon,3/21/20,187,4,24,0,16
Lebanon,3/22/20,248,4,61,0,17
Lebanon,3/23/20,267,4,19,0,18
Lebanon,3/24/20,318,4,51,0,19
Lebanon,3/25/20,333,6,15,2,20
Lebanon,3/26/20,368,6,35,0,21
Lebanon,3/27/20,391,8,23,2,22
Lebanon,3/28/20,412,8,21,0,23
Lebanon,3/29/20,438,10,26,2,24
Lebanon,3/30/20,446,11,8,1,25
Lebanon,3/31/20,470,12,24,1,26
Lebanon,4/1/20,479,14,9,2,27
Lebanon,4/2/20,494,16,15,2,28
Lebanon,4/3/20,508,17,14,1,29
Lebanon,4/4/20,520,17,12,0,30
Lebanon,4/5/20,527,18,7,1,31
Lebanon,4/6/20,541,19,14,1,32
Lebanon,4/7/20,548,19,7,0,33
Lebanon,4/8/20,576,19,28,0,34
Lebanon,4/9/20,582,19,6,0,35
Lebanon,4/10/20,609,20,27,1,36
Lebanon,4/11/20,619,20,10,0,37
Lebanon,4/12/20,630,20,11,0,38
Lebanon,4/13/20,632,20,2,0,39
Lebanon,4/14/20,641,21,9,1,40
Lebanon,4/15/20,658,21,17,0,41
Lebanon,4/16/20,663,21,5,0,42
Lebanon,4/17/20,668,21,5,0,43
Lebanon,4/18/20,672,21,4,0,44
Lebanon,4/19/20,673,21,1,0,45
Lebanon,4/20/20,677,21,4,0,46
Lebanon,4/21/20,677,21,0,0,47
Lebanon,4/22/20,682,22,5,1,48
Lebanon,4/23/20,688,22,6,0,49
Lebanon,4/24/20,696,22,8,0,50
Lebanon,4/25/20,704,24,8,2,51
Lebanon,4/26/20,707,24,3,0,52
Lebanon,4/27/20,710,24,3,0,53
Lebanon,4/28/20,717,24,7,0,54
Lebanon,4/29/20,721,24,4,0,55
Lebanon,4/30/20,725,24,4,0,56
Lebanon,5/1/20,729,24,4,0,57
Lebanon,5/2/20,733,25,4,1,58
Lebanon,5/3/20,737,25,4,0,59
Lebanon,5/4/20,740,25,3,0,60
Lebanon,5/5/20,741,25,1,0,61
Lebanon,5/6/20,750,25,9,0,62
Lebanon,5/7/20,784,25,34,0,63
Lebanon,5/8/20,796,26,12,1,64
Lebanon,5/9/20,809,26,13,0,65
Lebanon,5/10/20,845,26,36,0,66
Lebanon,5/11/20,859,26,14,0,67
Lebanon,5/12/20,870,26,11,0,68
Lebanon,5/13/20,878,26,8,0,69
Lebanon,5/14/20,886,26,8,0,70
Lebanon,5/15/20,891,26,5,0,71
Lebanon,5/16/20,902,26,11,0,72
Lebanon,5/17/20,911,26,9,0,73
Lebanon,5/18/20,931,26,20,0,74
Lebanon,5/19/20,954,26,23,0,75
Lebanon,5/20/20,961,26,7,0,76
Lebanon,5/21/20,1024,26,63,0,77
Lebanon,5/22/20,1086,26,62,0,78
Lebanon,5/23/20,1097,26,11,0,79
Lebanon,5/24/20,1114,26,17,0,80
Lebanon,5/25/20,1119,26,5,0,81
Lebanon,5/26/20,1140,26,21,0,82
