country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Ireland,3/9/20,21,0,2,0,1
Ireland,3/10/20,34,0,13,0,2
Ireland,3/11/20,43,1,9,1,3
Ireland,3/12/20,43,1,0,0,4
Ireland,3/13/20,90,1,47,0,5
Ireland,3/14/20,129,2,39,1,6
Ireland,3/15/20,129,2,0,0,7
Ireland,3/16/20,169,2,40,0,8
Ireland,3/17/20,223,2,54,0,9
Ireland,3/18/20,292,2,69,0,10
Ireland,3/19/20,557,3,265,1,11
Ireland,3/20/20,683,3,126,0,12
Ireland,3/21/20,785,3,102,0,13
Ireland,3/22/20,906,4,121,1,14
Ireland,3/23/20,1125,6,219,2,15
Ireland,3/24/20,1329,7,204,1,16
Ireland,3/25/20,1564,9,235,2,17
Ireland,3/26/20,1819,19,255,10,18
Ireland,3/27/20,2121,22,302,3,19
Ireland,3/28/20,2415,36,294,14,20
Ireland,3/29/20,2615,46,200,10,21
Ireland,3/30/20,2910,54,295,8,22
Ireland,3/31/20,3235,71,325,17,23
Ireland,4/1/20,3447,85,212,14,24
Ireland,4/2/20,3849,98,402,13,25
Ireland,4/3/20,4273,120,424,22,26
Ireland,4/4/20,4604,137,331,17,27
Ireland,4/5/20,4994,158,390,21,28
Ireland,4/6/20,5364,174,370,16,29
Ireland,4/7/20,5709,210,345,36,30
Ireland,4/8/20,6074,235,365,25,31
Ireland,4/9/20,6574,263,500,28,32
Ireland,4/10/20,8089,287,1515,24,33
Ireland,4/11/20,8928,320,839,33,34
Ireland,4/12/20,9655,334,727,14,35
Ireland,4/13/20,10647,365,992,31,36
Ireland,4/14/20,11479,406,832,41,37
Ireland,4/15/20,12547,444,1068,38,38
Ireland,4/16/20,13271,486,724,42,39
Ireland,4/17/20,13980,530,709,44,40
Ireland,4/18/20,14758,571,778,41,41
Ireland,4/19/20,15251,610,493,39,42
Ireland,4/20/20,15652,687,401,77,43
Ireland,4/21/20,16040,730,388,43,44
Ireland,4/22/20,16671,769,631,39,45
Ireland,4/23/20,17607,794,936,25,46
Ireland,4/24/20,18184,1014,577,220,47
Ireland,4/25/20,18561,1063,377,49,48
Ireland,4/26/20,19262,1087,701,24,49
Ireland,4/27/20,19648,1102,386,15,50
Ireland,4/28/20,19877,1159,229,57,51
Ireland,4/29/20,20253,1190,376,31,52
Ireland,4/30/20,20612,1232,359,42,53
Ireland,5/1/20,20833,1265,221,33,54
Ireland,5/2/20,21176,1286,343,21,55
Ireland,5/3/20,21506,1303,330,17,56
Ireland,5/4/20,21772,1319,266,16,57
Ireland,5/5/20,21983,1339,211,20,58
Ireland,5/6/20,22248,1375,265,36,59
Ireland,5/7/20,22385,1403,137,28,60
Ireland,5/8/20,22541,1429,156,26,61
Ireland,5/9/20,22760,1446,219,17,62
Ireland,5/10/20,22996,1458,236,12,63
Ireland,5/11/20,23135,1467,139,9,64
Ireland,5/12/20,23242,1488,107,21,65
Ireland,5/13/20,23401,1497,159,9,66
Ireland,5/14/20,23827,1506,426,9,67
Ireland,5/15/20,23956,1518,129,12,68
Ireland,5/16/20,24048,1533,92,15,69
Ireland,5/17/20,24112,1543,64,10,70
Ireland,5/18/20,24200,1547,88,4,71
Ireland,5/19/20,24251,1561,51,14,72
Ireland,5/20/20,24315,1571,64,10,73
Ireland,5/21/20,24391,1583,76,12,74
Ireland,5/22/20,24506,1592,115,9,75
Ireland,5/23/20,24582,1604,76,12,76
Ireland,5/24/20,24639,1608,57,4,77
Ireland,5/25/20,24698,1606,59,-2,78
Ireland,5/26/20,24735,1615,37,9,79
Ireland,5/27/20,24803,1631,68,16,80
Ireland,5/28/20,24841,1639,38,8,81
