country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Mongolia,4/14/20,30,0,13,0,1
Mongolia,4/15/20,30,0,0,0,2
Mongolia,4/16/20,31,0,1,0,3
Mongolia,4/17/20,31,0,0,0,4
Mongolia,4/18/20,31,0,0,0,5
Mongolia,4/19/20,32,0,1,0,6
Mongolia,4/20/20,33,0,1,0,7
Mongolia,4/21/20,34,0,1,0,8
Mongolia,4/22/20,35,0,1,0,9
Mongolia,4/23/20,36,0,1,0,10
Mongolia,4/24/20,37,0,1,0,11
Mongolia,4/25/20,37,0,0,0,12
Mongolia,4/26/20,38,0,1,0,13
Mongolia,4/27/20,38,0,0,0,14
Mongolia,4/28/20,38,0,0,0,15
Mongolia,4/29/20,38,0,0,0,16
Mongolia,4/30/20,38,0,0,0,17
Mongolia,5/1/20,38,0,0,0,18
Mongolia,5/2/20,39,0,1,0,19
Mongolia,5/3/20,39,0,0,0,20
Mongolia,5/4/20,40,0,1,0,21
Mongolia,5/5/20,41,0,1,0,22
Mongolia,5/6/20,41,0,0,0,23
Mongolia,5/7/20,41,0,0,0,24
Mongolia,5/8/20,42,0,1,0,25
Mongolia,5/9/20,42,0,0,0,26
Mongolia,5/10/20,42,0,0,0,27
Mongolia,5/11/20,42,0,0,0,28
Mongolia,5/12/20,42,0,0,0,29
Mongolia,5/13/20,42,0,0,0,30
Mongolia,5/14/20,98,0,56,0,31
Mongolia,5/15/20,98,0,0,0,32
Mongolia,5/16/20,135,0,37,0,33
Mongolia,5/17/20,136,0,1,0,34
Mongolia,5/18/20,140,0,4,0,35
Mongolia,5/19/20,140,0,0,0,36
Mongolia,5/20/20,140,0,0,0,37
Mongolia,5/21/20,140,0,0,0,38
Mongolia,5/22/20,141,0,1,0,39
Mongolia,5/23/20,141,0,0,0,40
Mongolia,5/24/20,141,0,0,0,41
Mongolia,5/25/20,141,0,0,0,42
Mongolia,5/26/20,141,0,0,0,43
Mongolia,5/27/20,148,0,7,0,44
Mongolia,5/28/20,161,0,13,0,45
Mongolia,5/29/20,179,0,18,0,46
Mongolia,5/30/20,179,0,0,0,47
